"","V1","V2","V3","V4","V5","V6"
"1","Nebraska","West Virginia","31","1"," A -35"," A -24"
"2","Ohio State","Fresno State","24","1","",""
"3","Georgia Tech","Arizona","-5","2","",""
"4","Houston","Kansas","-22","2"," H -21"," A 10"
"5","North Carolina State","Bowling Green State","5","2","",""
"6","Northern Illinois","Oklahoma State","-17","2","",""
"7","Illinois","Washington State","-1","2","",""
"8","Alabama","Chattanooga","29","2","",""
"9","Arizona State","Oregon State","6","2"," H 1 A 21 H -7 H -36"," H -6 A 14 H 18 A -9"
"10","Arkansas","Southern Methodist","20","2","",""
"11","Mississippi","Auburn","-5","2"," A 3 H -24 A 24 H 13"," A 0 A -3 H 17 H 4"
"12","Baylor","Louisiana Tech","41","2"," A -34 H 39"," H -21 H 25"
"13","Hawaii","Brigham Young","-1","2"," H -15 A 6 H -17 A 15"," A -2 A -6 H 2 H 7"
"14","Clemson","Furman","21","2","",""
"15","Colorado","Louisiana-Monroe","35","2","",""
"16","Air Force","Colorado State","-13","2"," H -24 A -40 A -1 A -17 H 7"," A -7 H 38 H 2 H 11 H -14"
"17","Duke","Maryland","33","2"," A -15 H 6 A -25 A 39 H 3 A 1"," H 15 A 13 H 24 H -32 A 25 H -2"
"18","Florida","New Mexico State","49","2","",""
"19","Florida State","Virginia","24","2"," A -32 A -42 H 13 H 17 H 39 A -31"," H 25 A -36 H 24 H 3 A 3 A -17"
"20","Fresno State","San Jose State","32","2"," H -27"," H -32"
"21","South Carolina","Georgia","-3","2"," A -14 A -3 H -9 A 31"," A -4 H -13 H -18 A 38"
"22","Indiana","Cincinnati","25","2"," H 21 A 49"," H 0 A 31"
"23","Iowa","Central Michigan","31","2","",""
"24","Kansas State","Louisiana-Lafayette","28","2","",""
"25","Kentucky","Louisville","6","2","",""
"26","Miami (FL)","Georgia Southern","56","2","",""
"27","Michigan","Boston College","8","2"," A -2"," H 19"
"28","Memphis","Mississippi State","-11","2"," H 1 H 13 H 9 A 11"," H 10 H 44 H 46 H 3"
"29","Nevada","Northern Arizona","3","2","",""
"30","Nevada-Las Vegas","Eastern Michigan","14","2"," A 12"," H -1"
"31","North Carolina","Texas Christian","10","2"," H 49 A -4"," A -2 A -21"
"32","Iowa State","Northern Iowa","-14","2","",""
"33","Northwestern","Notre Dame","-27","2"," A 0 A -4 H -18"," H 19 H 12 A -1"
"34","Syracuse","Oklahoma","-1","2","",""
"35","Oregon","Portland State","42","2","",""
"36","Pacific","California-Davis","17","2","",""
"37","Minnesota","Penn State","-53","2"," A 11 H -6 H -4 A 16"," A -6 H 28 A -4 A -7"
"38","Rutgers","Kent State","22","2","",""
"39","San Diego State","Navy","42","2"," H -1"," A 22"
"40","Southern California","Washington","7","2"," H -15 A -8 A -7 H 61 A 12"," A 11 H 14 A 18 H 12 H 27"
"41","Tulane","Southern Mississippi","-15","2"," A 10 A 13"," A 8 H 17"
"42","Akron","Temple","-25","2","",""
"43","Pittsburgh","Texas","-2","2"," A 4"," H 14"
"44","Louisiana State","Texas A&amp;M","-5","2"," H -2"," H 24"
"45","Texas Tech","New Mexico","6","2"," H 28"," A 3"
"46","Toledo","Indiana State","3","2","",""
"47","Missouri","Tulsa","-3","2"," A -9"," A 7"
"48","UCLA","Tennessee","2","2"," H -21"," H 1"
"49","Utah State","Utah","-15","2"," A 25"," A -14"
"50","Vanderbilt","Wake Forest","21","2","",""
"51","Virginia Tech","Arkansas State","27","2","",""
"52","West Virginia","Ball State","2","2","",""
"53","Miami (OH)","Western Michigan","-3","2"," A -4 H 36 A -21 A 2 H 3"," H 19 H 13 H 12 A 7 A 3"
"54","Wyoming","Texas-El Paso","23","2"," H 10 A 34 A 14 H -17 A 11"," A -7 A 45 A 0 H -40 A 38"
"55","Texas Tech","Nebraska","-26","3","",""
"56","Western Michigan","Western Illinois","36","3","",""
"57","Alabama","Vanderbilt","10","3"," A -7 H 1 H 11"," A 36 A -13 H -6"
"58","Arizona","New Mexico State","44","3","",""
"59","Army","Holy Cross","46","3","",""
"60","Auburn","Louisiana-Monroe","32","3"," H 27 A 0"," A -7 A 64"
"61","San Jose State","Baylor","-34","3"," A -21"," H 41"
"62","Akron","Bowling Green State","-45","3"," A 16 A 36 H -23 A 24 A 10"," A -6 H 11 A -15 A -17 H 23"
"63","Air Force","Brigham Young","-24","3"," H -13 A -40 A -1 H 35 A 12"," H -7 A -6 H 7 A -2 A -7"
"64","Central Michigan","Nevada-Las Vegas","12","3"," A -1"," H 14"
"65","Colorado State","Utah State","25","3"," A -7 H -14"," A 28 H -15"
"66","Duke","East Carolina","3","3","",""
"67","Florida","Kentucky","66","3"," H 24 H -3 H 38 H 31 A -17"," A 4 A 27 H -4 H -14 H -18"
