Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Aug 22 2002,Thu,Colorado State,35,@,Virginia,29,Jim Thorpe Classic (Charlottesville VA)
2,1,Aug 23 2002,Fri,(25) Wisconsin,23,,Fresno State,21,John Thompson Classic (Madison WI)
3,1,Aug 24 2002,Sat,(3) Florida State,38,,Iowa State,31,Eddie Robinson Classic (Kansas City MO)
4,1,Aug 24 2002,Sat,(10) Nebraska,48,,Arizona State,10,BCA Classic (Lincoln NE)
5,1,Aug 24 2002,Sat,North Carolina State,34,,New Mexico,14,BCA Classic (Raleigh NC)
6,1,Aug 24 2002,Sat,(13) Ohio State,45,,Texas Tech,21,Pigskin Classic (Columbus OH)
7,1,Aug 25 2002,Sun,(16) Virginia Tech,63,,Arkansas State,7,Hispanic Coaches Classic (Blacksburg VA)
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
8,1,Aug 29 2002,Thu,Bowling Green State,41,,Tennessee Tech,7,
9,1,Aug 29 2002,Thu,Brigham Young,42,,Syracuse,21,
10,1,Aug 29 2002,Thu,Central Michigan,34,,Sam Houston State,10,
11,1,Aug 29 2002,Thu,Fresno State,16,,San Diego State,14,
12,1,Aug 29 2002,Thu,Kent State,34,,New Hampshire,7,
13,1,Aug 29 2002,Thu,Lehigh,37,@,Buffalo,26,
14,1,Aug 29 2002,Thu,Northern Illinois,42,,Wake Forest,41,
15,1,Aug 29 2002,Thu,Oregon State,49,,Eastern Kentucky,10,
16,1,Aug 29 2002,Thu,South Florida,51,,Florida Atlantic,10,
17,1,Aug 29 2002,Thu,Temple,34,,Richmond,7,Philadelphia PA
18,1,Aug 29 2002,Thu,Toledo,44,,Cal Poly,16,
19,1,Aug 29 2002,Thu,Western Michigan,48,,Indiana State,17,
20,1,Aug 30 2002,Fri,(1) Oklahoma,37,@,Tulsa,0,
21,1,Aug 31 2002,Sat,Air Force,52,,Northwestern,3,
22,1,Aug 31 2002,Sat,Alabama,39,,Middle Tennessee State,34,Birmingham AL
23,1,Aug 31 2002,Sat,Arizona,37,,Northern Arizona,3,
24,1,Aug 31 2002,Sat,Arizona State,38,,Eastern Washington,2,
25,1,Aug 31 2002,Sat,Boise State,38,,Idaho,21,
26,1,Aug 31 2002,Sat,Boston College,24,,Connecticut,16,
27,1,Aug 31 2002,Sat,California,70,,Baylor,22,
28,1,Aug 31 2002,Sat,Colorado State,19,,(7) Colorado,14,Denver CO
29,1,Aug 31 2002,Sat,Duke,23,,East Carolina,16,
30,1,Aug 31 2002,Sat,(6) Florida,51,,Alabama-Birmingham,3,
31,1,Aug 31 2002,Sat,(5) Florida State,40,,Virginia,19,
32,1,Aug 31 2002,Sat,(8) Georgia,31,,Clemson,28,
33,1,Aug 31 2002,Sat,Georgia Tech,45,,Vanderbilt,3,
34,1,Aug 31 2002,Sat,Hawaii,61,,Eastern Illinois,36,
35,1,Aug 31 2002,Sat,Houston,24,@,Rice,10,
36,1,Aug 31 2002,Sat,Indiana,25,,William &amp; Mary,17,
37,1,Aug 31 2002,Sat,Iowa,57,,Akron,21,
38,1,Aug 31 2002,Sat,Iowa State,45,,Kansas,3,
39,1,Aug 31 2002,Sat,Kansas State,48,,Western Kentucky,3,
40,1,Aug 31 2002,Sat,Louisiana Tech,39,,Oklahoma State,36,Shreveport LA
41,1,Aug 31 2002,Sat,(19) Marshall,50,,Appalachian State,17,
42,1,Aug 31 2002,Sat,Memphis,52,,Murray State,6,
43,1,Aug 31 2002,Sat,(1) Miami (FL),63,,Florida A&amp;M,17,
44,1,Aug 31 2002,Sat,Miami (OH),27,@,North Carolina,21,
45,1,Aug 31 2002,Sat,(13) Michigan,31,,(11) Washington,29,
46,1,Aug 31 2002,Sat,(18) Michigan State,56,,Eastern Michigan,7,
47,1,Aug 31 2002,Sat,Minnesota,42,,Texas State,0,
48,1,Aug 31 2002,Sat,Mississippi,31,,Louisiana-Monroe,3,
49,1,Aug 31 2002,Sat,Missouri,33,,Illinois,20,St. Louis MO
50,1,Aug 31 2002,Sat,Navy,38,@,Southern Methodist,7,
51,1,Aug 31 2002,Sat,(9) Nebraska,31,,Troy,16,
52,1,Aug 31 2002,Sat,New Mexico,38,,Weber State,24,
53,1,Aug 31 2002,Sat,(25) North Carolina State,34,,East Tennessee State,0,
54,1,Aug 31 2002,Sat,Notre Dame,22,,(21) Maryland,0,Kick-off Classic (East Rutherford NJ)
55,1,Aug 31 2002,Sat,(15) Oregon,36,,Mississippi State,13,
56,1,Aug 31 2002,Sat,(24) Penn State,27,,Central Florida,24,
57,1,Aug 31 2002,Sat,Pittsburgh,27,,Ohio,14,
58,1,Aug 31 2002,Sat,Purdue,51,,Illinois State,10,
59,1,Aug 31 2002,Sat,San Jose State,33,@,Arkansas State,14,Little Rock AR
60,1,Aug 31 2002,Sat,(22) South Carolina,34,,New Mexico State,24,
61,1,Aug 31 2002,Sat,Southern Mississippi,55,,Jackson State,7,
62,1,Aug 31 2002,Sat,(4) Tennessee,47,,Wyoming,7,Nashville TN
63,1,Aug 31 2002,Sat,(3) Texas,27,,North Texas,0,
64,1,Aug 31 2002,Sat,(23) Texas A&amp;M,31,,Louisiana-Lafayette,7,
65,1,Aug 31 2002,Sat,Texas-El Paso,42,,Sacramento State,12,
66,1,Aug 31 2002,Sat,Tulane,37,,Southern,19,
67,1,Aug 31 2002,Sat,Utah,23,@,Utah State,3,
68,1,Aug 31 2002,Sat,Villanova,37,@,Rutgers,19,
69,1,Aug 31 2002,Sat,(12) Washington State,31,,Nevada,7,Seattle WA
70,1,Aug 31 2002,Sat,West Virginia,56,,Chattanooga,7,
71,1,Aug 31 2002,Sat,Wisconsin,27,@,Nevada-Las Vegas,7,
72,1,Sep 1 2002,Sun,Kentucky,22,@,(17) Louisville,17,
73,1,Sep 1 2002,Sun,(16) Virginia Tech,26,,(14) Louisiana State,8,
74,1,Sep 2 2002,Mon,Cincinnati,36,,Texas Christian,29,
75,1,Sep 2 2002,Mon,(18) Southern California,24,,Auburn,17,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
76,2,Sep 5 2002,Thu,Oregon State,35,@,Temple,3,Philadelphia PA
77,2,Sep 6 2002,Fri,Brigham Young,35,,Hawaii,32,
78,2,Sep 7 2002,Sat,Air Force,38,,New Mexico,31,
79,2,Sep 7 2002,Sat,Alabama-Birmingham,27,,Troy,26,
80,2,Sep 7 2002,Sat,Arizona State,46,,Central Florida,13,
81,2,Sep 7 2002,Sat,Arkansas,41,,Boise State,14,
