Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
85,2,Sep 2 2017,Sat,Vanderbilt,28,@,Middle Tennessee State,6,
86,2,Sep 2 2017,Sat,Virginia,28,,William & Mary,10,
87,2,Sep 2 2017,Sat,(24) Washington State,31,,Montana State,0,
88,2,Sep 2 2017,Sat,Western Kentucky,31,,Eastern Kentucky,17,
89,2,Sep 3 2017,Sun,UCLA,45,,Texas A&M,44,
90,2,Sep 3 2017,Sun,(21) Virginia Tech,31,,(22) West Virginia,24,X
91,2,Sep 4 2017,Mon,(25) Tennessee,42,,Georgia Tech,41,X
92,3,Sep 7 2017,Thu,Utah State,51,,Idaho State,13,
93,3,Sep 8 2017,Fri,Florida International,17,,Alcorn State,10,
94,3,Sep 8 2017,Fri,Purdue,44,,Ohio,21,
95,3,Sep 9 2017,Sat,Akron,52,,Arkansas-Pine Bluff,3,
96,3,Sep 9 2017,Sat,(1) Alabama,41,,Fresno State,10,
97,3,Sep 9 2017,Sat,Appalachian State,54,,Savannah State,7,
98,3,Sep 9 2017,Sat,Army,21,,Buffalo,17,
99,3,Sep 9 2017,Sat,Ball State,51,,Alabama-Birmingham,31,
100,3,Sep 9 2017,Sat,California,33,,Weber State,20,
101,3,Sep 9 2017,Sat,Central Michigan,45,@,Kansas,27,
102,3,Sep 9 2017,Sat,(3) Clemson,14,,(13) Auburn,6,
103,3,Sep 9 2017,Sat,Colorado,37,,Texas State,3,
104,3,Sep 9 2017,Sat,Colorado State,38,,Abilene Christian,10,
105,3,Sep 9 2017,Sat,Duke,41,,Northwestern,17,
106,3,Sep 9 2017,Sat,Eastern Michigan,16,@,Rutgers,13,
107,3,Sep 9 2017,Sat,(15) Georgia,20,@,(24) Notre Dame,19,
108,3,Sep 9 2017,Sat,Georgia Tech,37,,Jacksonville State,10,
109,3,Sep 9 2017,Sat,Houston,19,@,Arizona,16,
110,3,Sep 9 2017,Sat,Illinois,20,,Western Kentucky,7,
111,3,Sep 9 2017,Sat,Indiana,34,@,Virginia,17,
112,3,Sep 9 2017,Sat,Iowa,44,@,Iowa State,41,
113,3,Sep 9 2017,Sat,(19) Kansas State,55,,Charlotte,7,
114,3,Sep 9 2017,Sat,Kent State,38,,Howard,31,
115,3,Sep 9 2017,Sat,Kentucky,27,,Eastern Kentucky,16,
116,3,Sep 9 2017,Sat,(12) Louisiana State,45,,Chattanooga,10,
117,3,Sep 9 2017,Sat,(17) Louisville,47,@,North Carolina,35,
118,3,Sep 9 2017,Sat,Maryland,63,,Towson,17,
119,3,Sep 9 2017,Sat,Miami (OH),31,,Austin Peay,10,
120,3,Sep 9 2017,Sat,(8) Michigan,36,,Cincinnati,14,
121,3,Sep 9 2017,Sat,Michigan State,28,,Western Michigan,14,
122,3,Sep 9 2017,Sat,Middle Tennessee State,30,@,Syracuse,23,
