"","V1","V2","V3","V4","V5","V6"
"1","0","0","0","0","0","0"
"2","Hawaii","Arizona","7","1"," H 3 A 32"," H -18 H -24"
"3","Alabama-Birmingham","Alabama State","5","2","",""
"4","Arizona State","Kent State","23","2","",""
"5","Bowling Green State","Morgan State","43","2","",""
"6","Buffalo","Robert Morris","28","2","",""
"7","Western Kentucky","Central Arkansas","-7","2","",""
"8","Central Florida","Florida A&M","62","2","",""
"9","Central Michigan","Albany","17","2","",""
"10","Charlotte","Gardner-Webb","21","2","",""
"11","Cincinnati","UCLA","10","2","",""
"12","Clemson","Georgia Tech","38","2"," A -1 A -45"," H -16 H 2"
"13","Connecticut","Wagner","3","2","",""
"14","Minnesota","South Dakota State","7","2","",""
"15","San Jose State","Northern Colorado","17","2","",""
"16","Texas A&M","Texas State","34","2","",""
"17","Tulane","Florida International","28","2","",""
"18","Brigham Young","Utah","-18","2"," H 3 H -26 H 32"," A 7 A -5 H 31"
"19","Army","Rice","7","2"," A -18"," A 4"
"20","0","0","0","0","0","0"
"21","Michigan State","Tulsa","21","2","",""
"22","Nevada","Purdue","3","2","",""
"23","Oregon State","Oklahoma State","-16","2","",""
"24","Rutgers","Massachusetts","27","2"," H 10"," H -42"
"25","Wake Forest","Utah State","3","2","",""
"26","South Florida","Wisconsin","-49","2","",""
"27","Air Force","Colgate","41","2","",""
"28","0","0","0","0","0","0"
"29","Appalachian State","East Tennessee State","35","2","",""
"30","Arkansas","Portland State","7","2","",""
"31","0","0","0","0","0","0"
"32","Baylor","Stephen F. Austin","39","2","",""
"33","Florida State","Boise State","-5","2","",""
"34","Boston College","Virginia Tech","7","2"," H -3 A 33"," H 19 A 1"
"35","California","California-Davis","14","2","",""
"36","Coastal Carolina","Eastern Michigan","-7","2","",""
"37","Vanderbilt","Georgia","-24","2"," H 7 A 17 H -24"," H 27 H -3 H 21"
"38","Tennessee","Georgia State","-8","2","",""
"39","Illinois","Akron","39","2"," H -3"," H -28"
"40","0","0","0","0","0","0"
"41","Iowa","Miami (OH)","24","2","",""
"42","Iowa State","Northern Iowa","3","2","",""
"43","Kansas","Indiana State","7","2","",""
"44","Kansas State","Nicholls State","35","2","",""
"45","Kentucky","Toledo","14","2"," H 21"," H 3"
"46","Louisiana State","Georgia Southern","52","2","",""
"47","Louisiana-Monroe","Grambling State","22","2","",""
"48","Marshall","Virginia Military Institute","39","2","",""
"49","Maryland","Howard","79","2","",""
"50","Memphis","Mississippi","5","2","",""
"51","Michigan","Middle Tennessee State","19","2"," H 7"," A 45"
"52","0","0","0","0","0","0"
"53","Navy","Holy Cross","38","2","",""
"54","Nebraska","South Alabama","14","2","",""
"55","Nevada-Las Vegas","Southern Utah","33","2","",""
"56","New Mexico","Sam Houston State","8","2","",""
"57","0","0","0","0","0","0"
"58","North Carolina State","East Carolina","28","2","",""
"59","North Texas","Abilene Christian","20","2","",""
"60","Northern Illinois","Illinois State","14","2","",""
"61","Ohio","Rhode Island","21","2","",""
"62","Ohio State","Florida Atlantic","24","2","",""
"63","Old Dominion","Norfolk State","3","2","",""
"64","Penn State","Idaho","72","2","",""
"65","San Diego State","Weber State","6","2","",""
"66","Southern California","Fresno State","8","2","",""
"67","Arkansas State","Southern Methodist","-7","2"," H 24"," H 30"
"68","Southern Mississippi","Alcorn State","28","2","",""
"69","Stanford","Northwestern","10","2","",""
"70","Liberty","Syracuse","-24","2","",""
"71","Temple","Bucknell","44","2","",""
"72","Texas","Louisiana Tech","31","2","",""
"73","Texas Christian","Arkansas-Pine Bluff","32","2","",""
"74","Texas Tech","Montana State","35","2","",""
"75","Texas-El Paso","Houston Baptist","2","2","",""
"76","Texas-San Antonio","Incarnate Word","28","2","",""
"77","Troy","Campbell","29","2","",""
"78","Pittsburgh","Virginia","-16","2"," A -3 H -4 A -10 H 7"," H 34 A 8 H 5 A -7"
"79","Washington","Eastern Washington","33","2","",""
"80","Washington State","New Mexico State","51","2","",""
"81","West Virginia","James Madison","7","2","",""
"82","Western Michigan","Monmouth","35","2","",""
"83","Wyoming","Missouri","6","2","",""
"84","Oklahoma","Houston","18","2","",""
"85","Louisville","Notre Dame","-18","2"," H 2 H 7"," H 33 H 15"
"86","Arizona State","Sacramento State","12","3","",""
"87","Boise State","Marshall","7","3","",""
"88","Virginia","William & Mary","35","3","",""
"89","Rice","Wake Forest","-20","3","",""
"90","Alabama","New Mexico State","52","3"," H 28"," A 38"
"91","Akron","Alabama-Birmingham","-11","3","",""
"92","Appalachian State","Charlotte","15","3","",""
"93","Arizona","Northern Arizona","24","3","",""
"94","Nevada-Las Vegas","Arkansas State","-26","3","",""
"95","Auburn","Tulane","18","3","",""
"96","Ball State","Fordham","28","3","",""
"97","Baylor","Texas-San Antonio","49","3"," A -8"," H 4"
"98","Boston College","Richmond","32","3","",""
"99","Tennessee","Brigham Young","-3","3","",""
"100","Washington","California","-1","3"," H 14 A 10 H -4 H -5 A -12"," H -24 A -4 A 10 A 35 H -4"
"101","Florida Atlantic","Central Florida","-34","3","",""
"102","Clemson","Texas A&M","14","3","",""
