"","V1","V2","V3","V4","V5","V6"
"1","Northwestern","Oklahoma","24","1","",""
"2","Syracuse","Wisconsin","34","1","",""
"3","Central Michigan","Northern Illinois","34","2"," H -7 H -31 A 3"," H -28 A 27 H -7"
"4","Cincinnati","Tulsa","10","2","",""
"5","Kansas","Alabama-Birmingham","24","2"," A 27"," A 4"
"6","Ohio","Kent State","24","2"," H 24 A -40 H 24 A -4 H -24"," A 23 A -3 H 9 A 10 H -36"
"7","Ohio State","Wyoming","14","2","",""
"8","Western Michigan","Temple","20","2","",""
"9","Air Force","Idaho","4","2","",""
"10","Alabama","Houston","25","2"," H 14"," A 33"
"11","Arizona State","New Mexico State","31","2","",""
"12","Boise State","Cal State Northridge","-40","2","",""
"13","Colorado State","Nevada","32","2"," A -7 A -26"," H -4 H 17"
"14","Florida","Southern Mississippi","15","2"," H 13"," A 24"
"15","Fresno State","Portland State","28","2","",""
"16","Georgia","Arkansas State","31","2","",""
"17","Hawaii","Minnesota","14","2","",""
"18","Kentucky","Louisville","14","2","",""
"19","Louisiana Tech","Bowling Green State","7","2","",""
"20","Louisiana-Monroe","Nicholls State","28","2","",""
"21","Baylor","Miami (FL)","-31","2","",""
"22","Miami (OH)","Ball State","17","2"," H 29 H 24"," H 17 H -26"
"23","Mississippi","Central Florida","1","2"," A 10"," A 27"
"24","Mississippi State","Memphis","3","2","",""
"25","Nebraska","Akron","45","2","",""
"26","New Mexico","Northern Arizona","23","2","",""
"27","Syracuse","North Carolina State","-1","2","",""
"28","Iowa State","Oklahoma State","-7","2"," A 24 A 39 H -5"," H -1 A 3 H 4"
"29","Pittsburgh","Louisiana-Lafayette","32","2","",""
"30","Tennessee","Texas Tech","35","2","",""
"31","Utah","Utah State","-7","2"," H 5"," H -3"
"32","Vanderbilt","North Texas","17","2","",""
"33","Rutgers","Virginia Tech","-40","2"," H -14 A 48 H -47 H -7 A 42"," H 10 A 13 H 28 A 7 A -10"
"34","Washington State","UCLA","3","2"," A -11 H 26 H 1 H 10"," A -8 H 18 H 13 A -20"
"35","West Virginia","Marshall","11","2","",""
"36","Virginia","Auburn","-11","3","",""
"37","Oregon","Arizona","7","3"," A 9 H -11 H -8 A -3"," H 6 A 1 A 13 H -30"
"38","San Diego State","Navy","14","3"," A 6"," H -3"
"39","Rice","Air Force","-29","3","",""
"40","Arkansas","Louisiana-Monroe","12","3"," H 4 H 10"," A 1 A 14"
"41","Ball State","James Madison","18","3","",""
"42","Fresno State","Baylor","-2","3","",""
"43","Bowling Green State","Miami (OH)","7","3"," A -3 A 24 H -15 A 9"," H 29 A -24 A 7 A -36"
"44","Houston","California","-32","3"," A 56"," A 18"
"45","Clemson","Appalachian State","11","3","",""
"46","Colorado","Colorado State","10","3"," H 1"," A -7"
"47","Florida","Central Michigan","76","3","",""
"48","Southern California","Florida State","-7","3","",""
"49","Hawaii","Cal State Northridge","13","3","",""
"50","Idaho","Portland State","46","3","",""
"51","Iowa","Northern Iowa","66","3","",""
"52","Kansas","Texas Christian","7","3","",""
"53","Northern Illinois","Kansas State","-40","3"," A 25 H -5"," H 58 H 3"
"54","Louisiana State","Texas-El Paso","52","3","",""
"55","Army","Marshall","-10","3"," H -24"," A 24"
"56","Memphis","Alabama-Birmingham","21","3"," A 3"," A 4"
"57","Michigan State","Western Michigan","32","3","",""
"58","Mississippi","Southern Methodist","8","3"," H 10"," H 22"
"59","Mississippi State","Kentucky","8","3"," H -15 H 20 A 47 H 14 A -12"," H -35 A 14 A 10 H 35 H 6"
"60","Missouri","Eastern Michigan","20","3","",""
"61","Nevada","Nevada-Las Vegas","17","3"," A 32 H -4"," H -26 A 12"
"62","New Mexico","New Mexico State","37","3"," A -18 A -3"," A 8 A 31"
"63","North Carolina","Indiana","17","3","",""
"64","Duke","North Carolina State","-31","3"," A 6 H -24 A 3 H -14 A 9 H -3"," H 17 A 13 H 7 A 1 H -2 A 10"
"65","Notre Dame","Georgia Tech","4","3"," H 32"," A -28"
"66","Maryland","Ohio","-7","3","",""
"67","Oklahoma","Syracuse","2","3","",""
"68","Louisiana-Lafayette","Oklahoma State","-24","3"," A 45 A 66 H -7"," H -24 A 3 H 31"
"69","Oregon State","North Texas","26","3","",""
"70","Penn State","Pittsburgh","17","3"," H 42"," A 4"
"71","South Carolina","Central Florida","2","3"," A 20 H -17"," A 7 A 27"
"72","Illinois","Southern Mississippi","-17","3"," A 12"," H 18"
"73","Stanford","San Jose State","16","3"," A -3"," A 14"
"74","Temple","Boston College","7","3"," H -10 H 4 A 53 A 32 H 42"," A 10 H 1 A 7 H -1 A -14"
"75","UCLA","Tennessee","-6","3","",""
"76","Texas","Rutgers","34","3","",""
"77","Texas A&amp;M","Sam Houston State","53","3","",""
"78","Toledo","Purdue","14","3"," A 32"," H 14"
"79","Tulane","Cincinnati","14","3"," A -31 A 21 H 12"," H 19 H -7 H 3"
"80","Louisville","Utah","-6","3","",""
"81","Utah State","Idaho State","34","3","",""
"82","Wake Forest","Northwestern","7","3"," A -14"," H 4"
"83","Brigham Young","Washington","-22","3"," A -3"," H 12"
"84","West Virginia","East Carolina","7","3"," A 30"," A 56"
"85","Wisconsin","Boise State","4","3","",""
"86","Wyoming","Iowa State","46","3"," A 1"," H -5"
"87","Youngstown State","Kent State","21","3","",""
"88","Vanderbilt","Alabama","-20","4"," A 12 H -1 H -11"," A -9 H -27 A 6"
