"","V1","V2","V3","V4","V5","V6"
"1","Georgia State","Abilene Christian","1","1","",""
"2","Akron","Howard","41","1","",""
"3","Arizona State","Weber State","31","1","",""
"4","Central Michigan","Chattanooga","4","1","",""
"5","Louisiana-Monroe","Wake Forest","7","1","",""
"6","Minnesota","Eastern Illinois","22","1","",""
"7","0","0","0","0","0","0"
"8","New Mexico State","Cal Poly","18","1","",""
"9","Northern Illinois","Presbyterian","52","1","",""
"10","0","0","0","0","0","0"
"11","San Jose State","North Dakota","32","1","",""
"12","Vanderbilt","Temple","-30","1","",""
"13","South Carolina","Texas A&M","-24","1"," H -1 A 7"," H -7 A -3"
"14","Tulsa","Tulane","7","1"," A 20 A 24 A 10"," H -31 A 7 A -7"
"15","Utah","Idaho State","42","1","",""
"16","Arizona","Nevada-Las Vegas","45","1","",""
"17","Connecticut","Brigham Young","-25","1"," H -17 H 8"," A 25 A 7"
"18","0","0","0","0","0","0"
"19","Michigan State","Jacksonville State","38","1","",""
"20","Syracuse","Villanova","1","1","",""
"21","Houston","Texas-San Antonio","-20","1","",""
"22","Western Kentucky","Bowling Green State","28","1","",""
"23","Air Force","Nicholls State","28","1","",""
"24","0","0","0","0","0","0"
"25","Alabama-Birmingham","Troy","38","1","",""
"26","Arkansas State","Montana State","27","1","",""
"27","Auburn","Arkansas","24","1"," H 34 A 15 A -4"," H 17 A 7 H 30"
"28","Ball State","Colgate","20","1","",""
"29","Florida International","Bethune-Cookman","-2","1","",""
"30","0","0","0","0","0","0"
"31","Buffalo","Duquesne","10","1","",""
"32","Northwestern","California","-7","1","",""
"33","Duke","Elon","39","1","",""
"34","East Carolina","North Carolina Central","45","1","",""
"35","Eastern Michigan","Morgan State","3","1","",""
"36","0","0","0","0","0","0"
"37","Georgia","Clemson","24","1","",""
"38","Georgia Tech","Wofford","19","1","",""
"39","Illinois","Youngstown State","11","1","",""
"40","Indiana","Indiana State","18","1","",""
"41","Iowa","Northern Iowa","8","1","",""
"42","Kansas State","Stephen F. Austin","39","1","",""
"43","Kentucky","Tennessee-Martin","45","1","",""
"44","Louisiana","Southern","39","1","",""
"45","0","0","0","0","0","0"
"46","Miami (OH)","Marshall","-15","1"," A 10"," A -31"
"47","Maryland","James Madison","45","1","",""
"48","Memphis","Austin Peay","63","1","",""
"49","Michigan","Appalachian State","38","1","",""
"50","Middle Tennessee State","Savannah State","54","1","",""
"51","Mississippi State","Southern Mississippi","49","1"," A 5"," A 40"
"52","Missouri","South Dakota State","20","1","",""
"53","Nebraska","Florida Atlantic","48","1","",""
"54","Nevada","Southern Utah","9","1","",""
"55","North Carolina","Liberty","27","1","",""
"56","North Carolina State","Georgia Southern","1","1"," H -33"," A 4"
"57","Iowa State","North Dakota State","-20","1","",""
"58","Notre Dame","Rice","31","1","",""
"59","Kent State","Ohio","-3","1"," A 3 A 10"," H -7 H -18"
"60","0","0","0","0","0","0"
"61","Oklahoma","Louisiana Tech","32","1","",""
"62","Old Dominion","Hampton","13","1","",""
"63","Oregon","South Dakota","49","1","",""
"64","Oregon State","Portland State","15","1","",""
"65","0","0","0","0","0","0"
"66","Pittsburgh","Delaware","62","1","",""
"67","Purdue","Western Michigan","9","1"," H -21"," A -12"
"68","San Diego State","Northern Arizona","31","1","",""
"69","South Florida","Western Carolina","5","1","",""
"70","Southern California","Fresno State","39","1"," A 3"," A 32"
"71","Stanford","California-Davis","45","1","",""
"72","Texas","North Texas","31","1","",""
"73","Texas Christian","Samford","34","1","",""
"74","Texas State","Arkansas-Pine Bluff","65","1","",""
"75","Texas Tech","Central Arkansas","7","1","",""
"76","New Mexico","Texas-El Paso","-7","1"," A -3 A -12"," H 18 A -34"
"77","Toledo","New Hampshire","34","1","",""
"78","Virginia","UCLA","-8","1","",""
"79","Virginia Tech","William & Mary","25","1","",""
"80","Hawaii","Washington","-1","1"," H -8 A 9"," H 24 A -15"
"81","Wyoming","Montana","5","1","",""
"82","Baylor","Southern Methodist","45","1"," H 3"," H -56"
"83","Tennessee","Utah State","31","1"," H 15"," A 7"
