Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Aug 26 1995,Sat,(14) Michigan,18,,(17) Virginia,17,
2,1,Aug 27 1995,Sun,(12) Ohio State,38,,(22) Boston College,6,
3,2,Aug 31 1995,Thu,Appalachian State,24,@,Wake Forest,22,
4,2,Aug 31 1995,Thu,Ball State,17,@,Miami (OH),15,
5,2,Aug 31 1995,Thu,Iowa State,36,,Ohio,21,
6,2,Aug 31 1995,Thu,Louisiana Tech,28,@,Bowling Green State,21,
7,2,Aug 31 1995,Thu,(2) Nebraska,64,@,Oklahoma State,21,
8,2,Aug 31 1995,Thu,North Carolina State,33,,Marshall,16,
9,2,Aug 31 1995,Thu,Southern Mississippi,45,,Northern Illinois,13,
10,2,Aug 31 1995,Thu,Western Michigan,28,,Weber State,21,
11,2,Sep 2 1995,Sat,Air Force,38,,Brigham Young,12,
12,2,Sep 2 1995,Sat,(11) Alabama,33,@,Vanderbilt,25,
13,2,Sep 2 1995,Sat,(19) Arizona,41,,Pacific,9,
14,2,Sep 2 1995,Sat,Arkansas State,21,,Utah State,17,
15,2,Sep 2 1995,Sat,(6) Auburn,46,,Mississippi,13,
16,2,Sep 2 1995,Sat,Baylor,37,@,Tulsa,5,
17,2,Sep 2 1995,Sat,Clemson,55,,Western Carolina,9,
18,2,Sep 2 1995,Sat,(14) Colorado,43,@,(21) Wisconsin,7,
19,2,Sep 2 1995,Sat,Colorado State,31,,Montana State,10,
20,2,Sep 2 1995,Sat,Eastern Michigan,49,@,Akron,29,
21,2,Sep 2 1995,Sat,(5) Florida,45,,Houston,21,
22,2,Sep 2 1995,Sat,(1) Florida State,70,,Duke,26,
23,2,Sep 2 1995,Sat,Fresno State,31,,Louisiana-Monroe,17,
24,2,Sep 2 1995,Sat,Georgia,42,,South Carolina,23,
25,2,Sep 2 1995,Sat,Georgia Tech,51,,Furman,7,
26,2,Sep 2 1995,Sat,Kansas,23,,Cincinnati,18,
27,2,Sep 2 1995,Sat,Kansas State,34,,Temple,7,
28,2,Sep 2 1995,Sat,Kent State,17,,Youngstown State,14,
29,2,Sep 2 1995,Sat,Louisville,13,@,Kentucky,10,
30,2,Sep 2 1995,Sat,Maryland,29,@,Tulane,10,
31,2,Sep 2 1995,Sat,(13) Michigan,38,@,(25) Illinois,14,
32,2,Sep 2 1995,Sat,Mississippi State,28,,Memphis,18,
33,2,Sep 2 1995,Sat,Missouri,28,,North Texas,7,
34,2,Sep 2 1995,Sat,Nevada,38,,Louisiana-Lafayette,14,
35,2,Sep 2 1995,Sat,New Mexico,45,,Northern Arizona,21,
36,2,Sep 2 1995,Sat,New Mexico State,45,,Texas-El Paso,17,
37,2,Sep 2 1995,Sat,Northwestern,17,@,(9) Notre Dame,15,
38,2,Sep 2 1995,Sat,Oregon,27,@,Utah,20,
39,2,Sep 2 1995,Sat,Oregon State,14,,Idaho,7,
40,2,Sep 2 1995,Sat,Pittsburgh,17,,Washington State,13,
41,2,Sep 2 1995,Sat,Purdue,26,@,(23) West Virginia,24,
