"","V1","V2","V3","V4","V5","V6"
"1","Michigan","Virginia","1","1","",""
"2","0","0","0","0","0","0"
"3","Wake Forest","Appalachian State","-2","2","",""
"4","Miami (OH)","Ball State","-2","2"," A -39 A -21 H 0 H 16 A -28"," A -15 H 20 A 3 H -5 A -3"
"5","Iowa State","Ohio","15","2","",""
"6","Bowling Green State","Louisiana Tech","-7","2","",""
"7","Oklahoma State","Nebraska","-43","2"," H -6 A -4 A 24 H -13 H -5"," H 24 H 57 H 59 A -23 A -38"
"8","North Carolina State","Marshall","17","2","",""
"9","Southern Mississippi","Northern Illinois","32","2"," A -3 H 4 A 3"," A 35 H -13 H -36"
"10","Western Michigan","Weber State","7","2","",""
"11","Air Force","Brigham Young","26","2"," H 24 H -7 A -3 A 1"," H 3 A -7 A -17 H -17"
"12","Vanderbilt","Alabama","-8","2"," H -28 H -11 A 11"," H -1 A -31 A -14"
"13","Arizona","Pacific","32","2"," A -5 H -4"," H 13 A 38"
"14","Arkansas State","Utah State","4","2"," A 5 H 14 A -7"," A -42 A 2 H 35"
"15","Auburn","Mississippi","33","2"," A 6 H -11 A -6"," A 29 A 18 H 8"
"16","Tulsa","Baylor","-32","2"," A 43"," H -15"
"17","Clemson","Western Carolina","46","2","",""
"18","Wisconsin","Colorado","-36","2","",""
"19","Colorado State","Montana State","21","2","",""
"20","Akron","Eastern Michigan","-20","2"," H 3 A 4 H -6 A 34"," H 10 H -10 H 11 A 6"
"21","Florida","Houston","24","2","",""
"22","Florida State","Duke","44","2"," A -19 H 60 H 59 H 32 A 5 H 42"," A 17 H -3 H 16 H -16 A 14 A 13"
"23","Fresno State","Louisiana-Monroe","14","2","",""
"24","Georgia","South Carolina","19","2"," A 3 A -11 H 9 H -35"," A 35 H 38 H -5 H -56"
"25","Georgia Tech","Furman","44","2","",""
"26","Kansas","Cincinnati","5","2"," A 34"," H -2"
"27","Kansas State","Temple","27","2","",""
"28","Kent State","Youngstown State","3","2"," A 11"," H -21"
"29","Kentucky","Louisville","-3","2","",""
"30","Tulane","Maryland","-19","2"," H 26 A 20"," A -3 A 31"
"31","Illinois","Michigan","-24","2"," A -7 H -6 H -3 H 34"," A -17 A 3 H -6 H 35"
"32","Mississippi State","Memphis","10","2"," A 5"," A 7"
"33","Missouri","North Texas","21","2"," H -4 A 19"," A 41 H -17"
"34","Nevada","Louisiana","24","2"," A -21 A -4 A -16"," H 17 H 7 H 42"
"35","New Mexico","Northern Arizona","24","2","",""
"36","New Mexico State","Texas-El Paso","28","2"," A 12"," H 5"
"37","Notre Dame","Northwestern","-2","2","",""
"38","Utah","Oregon","-7","2"," H -7"," H -7"
"39","Oregon State","Idaho","7","2","",""
"40","Pittsburgh","Washington State","4","2","",""
"41","West Virginia","Purdue","-2","2","",""
"42","Rice","Nevada-Las Vegas","38","2","",""
"43","San Diego State","California","24","2"," H 24 H 29"," H -1 H 33"
"44","Southern Methodist","Arkansas","3","2","",""
"45","San Jose State","Stanford","-14","2"," A 38"," A 1"
"46","North Carolina","Syracuse","-11","2","",""
"47","Tennessee","East Carolina","20","2"," H 42"," A -2"
"48","Hawaii","Texas","-21","2","",""
"49","Texas A&M","Louisiana State","16","2"," A -7"," H 45"
"50","UCLA","Miami (FL)","23","2","",""
"51","Virginia","William & Mary","24","2","",""
"52","Washington","Arizona State","3","2"," A -10 A -10 H 0 H -2 A -24"," H 9 H -2 A 31 A -11 H 4"
"53","Arizona","Georgia Tech","1","3","",""
"54","Virginia Tech","Boston College","-6","3"," H 6 A -10 A -27 H 24"," H -3 H 17 H -12 A 29"
"55","Air Force","Wyoming","24","3"," H 26 H -7 A 1 A -11"," A 3 H -7 H -6 H 28"
"56","Alabama","Southern Mississippi","4","3"," H -27"," A 42"
"57","Arizona State","Texas-El Paso","25","3","",""
"58","Arkansas","South Carolina","30","3"," A -28 H -18 H 5"," H 38 A 35 A -26"
"59","Army","Lehigh","33","3","",""
"60","Auburn","Chattanooga","66","3","",""
"61","Ball State","Western Illinois","13","3","",""
"62","Utah State","Boise State","-24","3","",""
"63","Missouri","Bowling Green State","-7","3","",""
"64","Central Michigan","Weber State","8","3","",""
"65","Colorado","Colorado State","28","3","",""
"66","Duke","Rutgers","10","3"," H -21"," H 10"
"67","Syracuse","East Carolina","-3","3"," H 17 H 22"," H 10 H 3"
"68","Kentucky","Florida","-35","3"," A -5 H -21 H 8 A 9 A 4"," A -56 A -11 A -18 A -35 H 31"
"69","Clemson","Florida State","-19","3"," A -15 H -19 A -21 A -17 A -21 H 7 H 17"," H 59 A 5 H 60 H 42 H 32 A -16 H 44"
"70","California","Fresno State","-1","3"," A 24 A 17"," A 24 A 24"
"71","Indiana","Western Michigan","14","3","",""
"72","Iowa","Northern Iowa","21","3","",""
"73","North Texas","Kansas","-17","3"," A 21 A 41"," H 19 A -21"
"74","Cincinnati","Kansas State","-2","3"," A 5 A -36"," H 34 H 44"
"75","Louisiana","Alabama-Birmingham","35","3","",""
"76","Mississippi State","Louisiana State","-18","3"," A 28 H -26 H 10 A 5"," H 6 A 0 A 8 A 7"
"77","Houston","Louisiana Tech","-12","3","",""
"78","Louisiana-Monroe","Nicholls State","13","3","",""
"79","Northern Illinois","Louisville","-13","3"," A 32"," A 4"
"80","Maryland","North Carolina","14","3"," H 13 A 28 A -3 H -17 A 31 H -3"," H 4 A 2 H 24 A 7 A -7 H 5"
"81","Miami (FL)","Florida A&M","46","3","",""
"82","Kent State","Miami (OH)","-39","3"," A 0 A 11 H -15 H -11"," A -28 A -4 H -2 A -21"
"83","Michigan","Memphis","17","3","",""
"84","Mississippi","Indiana State","46","3","",""
"85","Southern Methodist","Navy","-31","3","",""
"86","Michigan State","Nebraska","-40","3","",""
"87","New Mexico State","Nevada","-21","3"," H 35 A 17 H -13 A -2"," A -4 H 24 A -5 A -16"
"88","Nevada-Las Vegas","Arkansas State","5","3"," A 48 A 38 H -42"," A -7 H 14 H 4"
"89","Purdue","Notre Dame","-7","3"," A 28 H -15"," A 19 H -2"
"90","Ohio","Illinois State","8","3","",""
"91","Oklahoma","San Diego State","16","3","",""
"92","Oregon","Illinois","3","3"," A -4"," H 2"
"93","Pacific","Oregon State","13","3"," A 32"," H -5"
"94","Penn State","Texas Tech","1","3","",""
"95","Pittsburgh","Eastern Michigan","36","3"," H -32"," A 28"
"96","Southern California","San Jose State","38","3"," A -10 H 1"," A 33 H -14"
"97","Utah","Stanford","-7","3"," H -7"," A -7"
"98","Tennessee","Georgia","3","3"," A 25 A -27 H 35 A -3"," H -35 H -31 H 19 H 9"
"99","Texas Christian","Iowa State","17","3"," A 18"," A 27"
"100","Toledo","East Tennessee State","21","3","",""
"101","Tulane","Wake Forest","26","3"," H -19"," H -3"
"102","Tulsa","Oklahoma State","1","3"," H 29"," A 20"
"103","Brigham Young","UCLA","-14","3"," A 8"," A 4"
"104","North Carolina State","Virginia","-5","3"," A 60 H -21 A -3 H -17 A 8 A -29"," H 5 A -19 H 14 A -3 H 27 H 18"
"105","Washington State","Montana","17","3","",""
"106","West Virginia","Temple","11","3"," A 3 A -12 A 22 A 5"," A 10 H -1 A 17 A 24"
"107","Kansas","Texas Christian","18","4"," H 7 H 27"," H 10 H 17"
"108","Western Michigan","Toledo","-10","4"," A 10 H 4 H 17 A -10"," H 3 H 34 A -19 H 6"
"109","Alabama","Arkansas","-1","4"," A -8 H -27 H 5"," A -28 H -18 H 5"
"110","Arkansas State","Southern Illinois","5","4","",""
"111","Bowling Green State","Akron","38","4"," A 6 H -19 A 17 H 26"," H 3 A 34 A 4 H -6"
"112","Brigham Young","San Diego State","12","4"," H 3 H 38 A -17 H -17"," H -3 A -39 H 9 A -3"
"113","Virginia Tech","Cincinnati","-16","4","",""
"114","Wake Forest","Clemson","-15","4"," A 18 H -3 A 59 A 24 A 16 H -1"," H -19 A -17 H -19 H 7 H 17 A -21"
"115","Colorado","Louisiana-Monroe","52","4"," H 21"," A 9"
"116","Air Force","Colorado State","-7","4"," H 26 H 24 A -3 H 10 A 1"," H -7 A -7 H -8 H 46 A -5"
"117","Army","Duke","-2","4","",""
"118","East Carolina","Central Michigan","13","4","",""
"119","Eastern Michigan","Nevada-Las Vegas","45","4","",""
"120","Florida","Tennessee","25","4"," A -35 A -35 A -56"," A -3 H 3 H 35"
"121","Florida State","North Carolina State","60","4"," H 44 A -19 H 59 H 32 A 5 H 42"," A -3 H -21 A -29 A 8 H -5 H -17"
"122","Fresno State","Pacific","32","4","",""
"123","Georgia","New Mexico State","27","4","",""
"124","Illinois","Arizona","2","4"," A 3"," H -4"
"125","Iowa State","Iowa","-17","4","",""
"126","Ohio","Kent State","0","4"," H -17 A -6 H -3 A 26 H -28"," H -46 A 8 H -15 H -11 H -39"
"127","Indiana","Kentucky","-7","4","",""
"128","Louisiana State","Auburn","6","4"," A -18 H -18 A 8 H 29"," H 28 H -11 A -21 H 33"
"129","Maryland","West Virginia","14","4","",""
"130","Memphis","Louisiana","14","4"," A 7 A -15"," A 11 A -4"
"131","Northwestern","Miami (OH)","-2","4"," A -6"," A 19"
"132","Boston College","Michigan","-10","4"," A 4"," A 3"
"133","Louisville","Michigan State","-23","4","",""
"134","Minnesota","Ball State","24","4"," H 1"," A 22"
"135","Baylor","Mississippi State","-9","4","",""
"136","Nebraska","Arizona State","49","4","",""
"137","North Texas","Oregon State","3","4","",""
"138","San Jose State","Northern Illinois","-1","4"," H 2 H 38 A 14"," A 35 H 48 H -7"
"139","Notre Dame","Vanderbilt","41","4","",""
"140","Ohio State","Washington","10","4"," H 19"," H -8"
"141","Oklahoma","Southern Methodist","14","4","",""
"142","Oklahoma State","Missouri State","28","4","",""
"143","UCLA","Oregon","-7","4"," A 9 H 7 A -14 H 17 A 4 H -24"," H 19 A -4 H -7 A -22 H -11 A -2"
"144","Penn State","Temple","52","4","",""
"145","Rutgers","Navy","10","4"," A 10 H -28"," A -21 H -14"
"146","South Carolina","Louisiana Tech","47","4"," H 38"," A 23"
"147","Southern California","Houston","35","4","",""
"148","Utah State","Southern Mississippi","-3","4"," H 35"," H 32"
"149","Texas","Pittsburgh","11","4","",""
"150","Texas A&M","Tulsa","43","4"," A -15"," H -32"
"151","Texas Tech","Missouri","27","4","",""
"152","Texas-El Paso","Valdosta State","10","4","",""
"153","Rice","Tulane","-2","4"," H -5"," A 5"
"154","New Mexico","Utah","-27","4"," H -3 A 17 A -8 A 9"," H 1 H 4 H -5 H -3"
"155","Virginia","Georgia Tech","27","4"," A -5 A -19 H 18 A 5 H 14 H 5 A -3"," H 8 H -21 A -1 H 2 A -16 A 32 H 28"
"156","Stanford","Wisconsin","0","4","",""
"157","Wyoming","Hawaii","46","4"," A 24 A 3 H -7 A -3 H 28"," H -17 A 38 A 22 H -39 H 5"
"158","Louisville","North Carolina","-7","5"," H 31"," A 14"
"159","Arizona State","Oregon State","9","5"," A 3 A 31 H -2 A -9"," H -10 H -18 A 21 H -1"
"160","Arkansas","Memphis","7","5"," H 5 H 11"," A 10 H 14"
"161","Ball State","Western Michigan","10","5"," A 3 H 20 H -5 A -3 A -15"," H -10 H 17 A -10 A -17 A -46"
"162","North Carolina State","Baylor","-14","5","",""
"163","California","San Jose State","33","5"," A 24 H -10"," A 29 A 38"
"164","Central Michigan","Bowling Green State","6","5"," A 3 H -4 H -12 A 8"," H 38 H -21 H -19 A 20"
"165","Colorado","Texas A&M","8","5","",""
"166","Eastern Michigan","Ohio","11","5"," A -20 A -5 A 16 H -10"," A -6 H -3 H -28 H -17"
"167","Florida State","Central Florida","32","5","",""
