"","V1","V2","V3","V4","V5","V6"
"1","Brigham Young","Portland State","14","1","",""
"2","Colorado State","Oregon State","31","1","",""
"3","Massachusetts","Hawaii","-3","1","",""
"4","San Jose State","South Florida","-20","1","",""
"5","0","0","0","0","0","0"
"6","0","0","0","0","0","0"
"7","Arizona State","New Mexico State","6","2","",""
"8","Arkansas","Florida A&M","42","2","",""
"9","Central Michigan","Rhode Island","3","2","",""
"10","Cincinnati","Austin Peay","12","2"," A -4"," A 21"
"11","Connecticut","Holy Cross","7","2","",""
"12","Idaho","Sacramento State","22","2","",""
"13","Memphis","Louisiana-Monroe","8","2","",""
"14","Minnesota","Buffalo","10","2","",""
"15","Indiana","Ohio State","-28","2"," A 31 A 8 A 3 A -10 H 41"," H 1 H 45 H 48 H 38 A -56"
"16","Georgia State","Tennessee State","-7","2","",""
"17","Toledo","Elon","34","2","",""
"18","Utah","North Dakota","21","2","",""
"19","Wake Forest","Presbyterian","44","2","",""
"20","Army","Fordham","58","2","",""
"21","Northern Illinois","Boston College","-3","2","",""
"22","0","0","0","0","0","0"
"23","Eastern Michigan","Charlotte","17","2","",""
"24","Florida Atlantic","Navy","-23","2","",""
"25","Syracuse","Central Connecticut State","43","2","",""
"26","Rutgers","Washington","-16","2","",""
"27","Wisconsin","Utah State","49","2"," A -34"," H 16"
"28","Air Force","Virginia Military Institute","62","2","",""
"29","0","0","0","0","0","0"
"30","Alabama-Birmingham","Alabama A&M","31","2","",""
"31","Arizona","Northern Arizona","38","2","",""
"32","Auburn","Georgia Southern","34","2","",""
"33","Boise State","Troy","11","2","",""
"34","North Carolina","California","-5","2","",""
"35","Central Florida","Florida International","44","2","",""
"36","Clemson","Kent State","53","2"," A -26"," A 39"
"37","Coastal Carolina","Massachusetts","10","2"," A 8"," H 3"
"38","Duke","North Carolina Central","53","2","",""
"39","Fresno State","Incarnate Word","66","2","",""
"40","Georgia","Appalachian State","21","2","",""
"41","Hawaii","Western Carolina","23","2","",""
"42","Nevada-Las Vegas","Howard","-3","2","",""
"43","Illinois","Ball State","3","2"," H 13"," A 12"
"44","Iowa","Wyoming","21","2","",""
"45","Iowa State","Northern Iowa","18","2","",""
"46","East Carolina","James Madison","-20","2","",""
"47","Kansas","Southeast Missouri State","22","2","",""
"48","Kansas State","Central Arkansas","36","2","",""
"49","Southern Mississippi","Kentucky","-7","2"," A 14"," H 3"
