"","V1","V2","V3","V4","V5","V6"
"117","Arkansas","Tennessee","-10","3"," A 21 A 11"," A -11 H -2"
"118","Texas","North Carolina","30","3","",""
"119","Southern Methodist","Texas Christian","-28","3","",""
"120","Texas Tech","New Mexico","12","3"," A -44"," A 3"
"121","Texas-El Paso","Texas Southern","46","3","",""
"122","Temple","Toledo","-26","3"," H 19"," H 1"
"123","Kansas","UCLA","-24","3","",""
"124","Virginia Tech","Western Michigan","31","3","",""
"125","Wake Forest","Appalachian State","10","3","",""
"126","Washington","Michigan","5","3","",""
"127","Boise State","Washington State","-21","3","",""
"128","West Virginia","Ohio","17","3"," H 20"," H -10"
"129","0","0","0","0","0","0"
"130","Nebraska","Rice","45","4","",""
"131","Mississippi State","South Carolina","-2","4"," A 52 H 3 A 7"," H -37 H 36 H 1"
"132","Alabama","Arkansas","21","4"," A 3 H -11 H 7"," A -2 H -10 H 3"
"133","Alabama-Birmingham","Army","52","4"," H -14 H 7 H 21 A -22"," H -3 H 7 A 18 H 14"
"134","Arizona","Nevada-Las Vegas","17","4"," A -13"," H 28"
"135","Baylor","New Mexico","3","4"," H -44"," A 12"
"136","Boise State","Texas-El Paso","25","4"," A 31 H 31 A 6 A -7 H 50"," A 10 H 16 H -23 A 59 H -12"
"137","Navy","Boston College","-17","4"," A 19 A 6"," H 13 A -31"
"138","Bowling Green State","Temple","19","4","",""
"139","Connecticut","Buffalo","-17","4"," A -1 H 19"," H -16 A 4"
"140","Tulane","Central Florida","-7","4"," A 7"," H 17"
"141","Colorado","Kansas","11","4"," A -10 A 34 H 14 A -13"," A 34 A 59 H -4 H -42"
"142","East Carolina","William &amp; Mary","15","4","",""
"143","Kentucky","Florida","-34","4"," A 36 H -4 A 3 A -26"," A -37 A -29 H 52 H 58"
"144","Tulsa","Fresno State","-19","4"," A 31 H -21 A 36 A 27 H -10"," H -5 A 4 H 19 H 28 A -25"
"145","Illinois","Louisville","24","4","",""
"146","Eastern Michigan","Indiana State","-7","4","",""
"147","Ohio","Iowa State","-3","4","",""
"148","Arkansas State","Jacksonville State","-3","4","",""
"149","Kansas State","New Mexico State","64","4","",""
"150","Wake Forest","Maryland","-7","4"," A 24 A -7 H -7 A -4 A -1 H -5"," A 21 H 42 H 17 H 20 H 16 A -3"
"151","Memphis","South Florida","8","4"," A -19"," H 39"
"152","Miami (OH)","Cincinnati","7","4","",""
"153","Michigan","Western Michigan","17","4"," H 18"," A 14"
"154","Notre Dame","Michigan State","-7","4","",""
"155","Louisiana-Monroe","Middle Tennessee State","-18","4"," H -31 H 2 A 5 A 4 H -32 A -9"," H 4 A 3 A -17 H 12 H 37 H 48"
"156","Nevada","Hawaii","8","4"," A 3 A 42 H 21 A 19 H -47"," H -3 H -7 A -7 H 24 H 4"
"157","North Carolina","Florida State","32","4"," A 16 A -8 H 6 A -35 H -1 H 35"," H 21 H -6 A -36 A -14 H 24 A -42"
"158","Southern Methodist","North Carolina State","-9","4","",""
"159","Northern Illinois","Sam Houston State","25","4","",""
"160","Ball State","Northern Iowa","-3","4","",""
"161","Duke","Northwestern","-37","4","",""
"162","Texas Christian","Northwestern State","-3","4","",""
"163","Oregon","Southern California","2","4"," A -35 A -41 H -7 H 18"," A -7 A -41 H -5 H 31"
"164","Purdue","Akron","19","4"," A 26"," A 14"
"165","Colorado State","San Diego State","-7","4"," A -2 H 2 A 22 H 7"," A 28 A 14 H -38 H -24"
"166","Louisiana-Lafayette","Southern Mississippi","-25","4","",""
"167","Stanford","Arizona State","23","4"," A -5 H -6 A -7 A 14 A -14"," A 31 H -12 A 18 H -2 H -13"
"168","Syracuse","Auburn","17","4","",""
"169","Houston","Texas","-27","4","",""
