"","V1","V2","V3","V4","V5","V6"
"1","Arizona State","Northern Arizona","57","1","",""
"2","Ball State","Eastern Michigan","11","1"," A 2 H 6 A -11 A -8 A -7 H 25"," H -27 A -6 H -3 H 10 H -5 A 31"
"3","Brigham Young","Washington State","24","1"," A 3 H -18"," A 43 A 13"
"4","Akron","Central Florida","-42","1"," A 3"," H 13"
"5","Central Michigan","Southeast Missouri State","11","1","",""
"6","Connecticut","Massachusetts","37","1"," A 6 H 7"," A 38 H -10"
"7","Idaho","Eastern Washington","-17","1","",""
"8","Kent State","Towson","20","1","",""
"9","Middle Tennessee State","McNeese State","-6","1","",""
"10","Nevada-Las Vegas","Minnesota","-3","1","",""
"11","New Mexico State","Sacramento State","30","1","",""
"12","Vanderbilt","South Carolina","-4","1"," A 45 A -4 H -14 A -40 H 23"," H 28 H 21 A 33 A -21 H 3"
"13","Rice","UCLA","-25","1","",""
"14","Utah","Northern Colorado","41","1","",""
"15","Utah State","Southern Utah","31","1","",""
"16","Florida Atlantic","Wagner","4","1","",""
"17","Michigan State","Boise State","4","1","",""
"18","Stanford","San Jose State","3","1","",""
"19","Temple","Villanova","31","1","",""
"20","0","0","0","0","0","0"
"21","Air Force","Idaho State","28","1","",""
"22","0","0","0","0","0","0"
"23","Arizona","Toledo","7","1","",""
"24","Arkansas","Jacksonville State","25","1","",""
"25","0","0","0","0","0","0"
"26","0","0","0","0","0","0"
"27","Duke","Florida International","20","1","",""
"28","East Carolina","Appalachian State","22","1","",""
"29","Florida","Bowling Green State","13","1","",""
"30","Florida State","Murray State","66","1","",""
"31","Fresno State","Weber State","27","1","",""
"32","Georgia","Buffalo","22","1","",""
"33","Illinois","Western Michigan","17","1"," H -14"," A 5"
"34","Indiana","Indiana State","7","1","",""
"35","0","0","0","0","0","0"
"36","Iowa State","Tulsa","15","1","",""
"37","Kansas","South Dakota State","14","1","",""
"38","Kansas State","Missouri State","42","1","",""
"39","Louisiana State","North Texas","27","1","",""
"40","Louisiana-Lafayette","Lamar","40","1","",""
"41","Maryland","William &amp; Mary","1","1","",""
"42","Boston College","Miami (FL)","-9","1"," A 44 A 20 H -7"," H -13 A -6 H 18"
"43","Mississippi","Central Arkansas","22","1","",""
"44","Mississippi State","Jackson State","47","1","",""
"45","Missouri","Southeastern Louisiana","52","1","",""
"46","Nebraska","Southern Mississippi","29","1","",""
"47","California","Nevada","-7","1","",""
"48","New Mexico","Southern","45","1","",""
"49","North Carolina","Elon","62","1","",""
"50","Syracuse","Northwestern","-1","1"," A 7"," A -8"
"51","0","0","0","0","0","0"
"52","Penn State","Ohio","-10","1","",""
"53","Ohio State","Miami (OH)","46","1","",""
"54","Texas-El Paso","Oklahoma","-17","1","",""
"55","Oklahoma State","Savannah State","84","1","",""
"56","Oregon","Arkansas State","23","1","",""
"57","Purdue","Eastern Kentucky","42","1","",""
"58","Tulane","Rutgers","-12","1","",""
"59","South Florida","Chattanooga","21","1","",""
"60","Southern California","Hawaii","39","1","",""
"61","Memphis","Tennessee-Martin","-3","1","",""
"62","Texas","Wyoming","20","1"," H 45"," A -5"
"63","Houston","Texas State","-17","1"," H -7"," H -7"
"64","Texas Tech","Northwestern State","38","1","",""
"65","South Alabama","Texas-San Antonio","-2","1","",""
"66","Alabama-Birmingham","Troy","-10","1","",""
"67","Virginia","Richmond","24","1","",""
"68","Wake Forest","Liberty","3","1","",""
"69","Washington","San Diego State","9","1","",""
"70","West Virginia","Marshall","35","1","",""
"71","Western Kentucky","Austin Peay","39","1","",""
"72","Wisconsin","Northern Iowa","5","1","",""
"73","Pittsburgh","Youngstown State","-14","1","",""
"74","Baylor","Southern Methodist","35","1"," H -28"," H -8"
"75","Louisville","Kentucky","18","1","",""
"76","Virginia Tech","Georgia Tech","3","1"," A 14 H 21 A 21 A 18 A -7"," A -18 H 18 A 16 H -6 H 20"
"77","0","0","0","0","0","0"
"78","Cincinnati","Pittsburgh","24","2"," A 3 H 11 A -24 H -7"," H -10 A 1 H 30 H 21"
"79","Utah State","Utah","7","2"," A 3"," H 3"
"80","Alabama","Western Kentucky","35","2"," H 33"," H -9"
"81","Arizona","Oklahoma State","21","2","",""
"82","Arizona State","Illinois","31","2","",""
"83","Arkansas State","Memphis","5","2","",""
"84","Boston College","Maine","31","2","",""
"85","Bowling Green State","Idaho","8","2","",""
"86","Brigham Young","Weber State","32","2","",""
"87","Buffalo","Morgan State","22","2","",""
"88","California","Southern Utah","19","2","",""
"89","Clemson","Ball State","25","2","",""
"90","Texas A&amp;M","Florida","-3","2"," H -5"," H 8"
"91","Florida International","Akron","3","2"," A 13"," H -42"
"92","Florida State","Savannah State","55","2","",""
"93","Missouri","Georgia","-21","2"," A 21 H -4 H 23 A -3"," A 28 H 45 A -5 H 7"
"94","Georgia Tech","Presbyterian","56","2","",""
"95","Eastern Michigan","Illinois State","-17","2","",""
"96","Massachusetts","Indiana","-39","2","",""
"97","Iowa","Iowa State","-3","2","",""
"98","Kansas State","Miami (FL)","39","2","",""
"99","Kentucky","Kent State","33","2","",""
"100","Louisiana State","Washington","38","2","",""
"101","Houston","Louisiana Tech","-7","2"," H -17"," A -7"
"102","Troy","Louisiana-Lafayette","-13","2"," A -7 A -21 H -5 H 1 H -7"," A 7 H 22 H 4 H 28 H -23"
"103","0","0","0","0","0","0"
"104","Louisville","Missouri State","28","2","",""
"105","Marshall","Western Carolina","28","2","",""
"106","Temple","Maryland","-9","2"," A -3"," H -3"
"107","Miami (OH)","Southern Illinois","16","2","",""
"108","Michigan","Air Force","6","2","",""
"109","Central Michigan","Michigan State","-34","2"," A -1 A -3"," H -3 H 16"
"110","Middle Tennessee State","Florida Atlantic","14","2"," H -14 A -4 H 17 A -5 A -8 H 3"," A 21 H -10 H -6 A -9 A 3 H 7"
"111","Minnesota","New Hampshire","37","2","",""
"112","Mississippi","Texas-El Paso","18","2"," H 39"," H 4"
"113","Mississippi State","Auburn","18","2"," H -25 A 20 H 31"," H -42 H -2 H -17"
"114","Connecticut","North Carolina State","-3","2"," A -3"," A -2"
"115","Colorado State","North Dakota State","-15","2","",""
"116","North Texas","Texas Southern","27","2","",""
"117","Nevada-Las Vegas","Northern Arizona","-3","2","",""
"118","Northern Illinois","Tennessee-Martin","28","2","",""
"119","Northwestern","Vanderbilt","10","2","",""
"120","Notre Dame","Purdue","3","2"," H 7"," H -31"
"121","Ohio","New Mexico State","27","2","",""
"122","Ohio State","Central Florida","15","2","",""
"123","Oklahoma","Florida A&amp;M","56","2","",""
"124","Oregon","Fresno State","17","2"," H 56"," H 55"
"125","Oregon State","Wisconsin","3","2","",""
"126","Kansas","Rice","-1","2","",""
"127","Rutgers","Howard","26","2","",""
"128","Colorado","Sacramento State","-2","2","",""
"129","San Diego State","Army","35","2"," H 19"," H 20"
"130","San Jose State","California-Davis","32","2","",""
"131","South Alabama","Nicholls State","6","2","",""
"132","South Carolina","East Carolina","38","2"," H 43"," A -7"
"133","Nevada","South Florida","-1","2","",""
"134","0","0","0","0","0","0"
"135","Southern Methodist","Stephen F. Austin","52","2","",""
"136","Stanford","Duke","37","2","",""
"137","Tennessee","Georgia State","38","2","",""
"138","Texas","New Mexico","45","2"," H 20 A -9"," H -5 A 35"
"139","Texas Christian","Grambling State","56","2","",""
"140","Texas State","Texas Tech","-48","2"," A 21"," H 35"
"141","Texas-San Antonio","Texas A&amp;M-Commerce","11","2","",""
"142","Wyoming","Toledo","-3","2","",""
"143","Tulsa","Tulane","35","2"," A -7 H 22 H 4"," H 10 A 4 H -2"
"144","UCLA","Nebraska","6","2","",""
"145","Virginia","Penn State","1","2","",""
"146","Virginia Tech","Austin Peay","35","2","",""
"147","Wake Forest","North Carolina","1","2"," H -7 A -6 A 31"," A 3 A -24 H 8"
"148","Washington State","Eastern Washington","4","2","",""
"149","Western Michigan","Eastern Illinois","31","2","",""
"150","0","0","0","0","0","0"
"151","South Florida","Rutgers","-10","3"," A 9 H -1 H 7 A 17"," A -25 H 8 H 16 A -7"
"152","Nevada-Las Vegas","Washington State","-8","3","",""
"153","Akron","Morgan State","60","3","",""
"154","Arkansas","Alabama","-52","3"," A 31"," H 31"
"155","Arizona","South Carolina State","56","3","",""
"156","Auburn","Louisiana-Monroe","3","3","",""
"157","Indiana","Ball State","-2","3","",""
"158","Baylor","Sam Houston State","25","3","",""
"159","Boise State","Miami (OH)","27","3","",""
"160","Wyoming","Cal Poly","-2","3","",""
"161","Central Florida","Florida International","13","3"," A -42"," H 3"
"162","Cincinnati","Delaware State","16","3","",""
"163","Clemson","Furman","34","3","",""
"164","Maryland","Connecticut","-3","3"," A -9 H -2"," H -3 H -3"
"165","Duke","North Carolina Central","37","3","",""
"166","Southern Mississippi","East Carolina","-10","3"," A 7 H -8 H -1"," A 20 A -7 H 10"
"167","Tennessee","Florida","-17","3"," A 3 H -3 A 23"," H 33 H 7 A -14"
"168","Florida State","Wake Forest","52","3"," H 12 A 1 H 44 H 41 A -27"," H -29 A 31 H 14 H -7 A 5"
"169","Fresno State","Colorado","55","3"," A 17"," A 56"
"170","Georgia","Florida Atlantic","36","3","",""
"171","Georgia Tech","Virginia","36","3"," H -6 A -20 A -18 H 18"," H 1 H -7 H -24 A 25"
"172","Hawaii","Lamar","52","3","",""
"173","Illinois","Charleston Southern","44","3","",""
"174","Iowa","Northern Iowa","11","3","",""
"175","Iowa State","Western Illinois","34","3","",""
"176","Kansas State","North Texas","14","3","",""
"177","Louisiana State","Idaho","49","3","",""
"178","Louisiana Tech","Rice","19","3"," H 24"," H 20"
"179","Louisville","North Carolina","5","3","",""
"180","Miami (FL)","Bethune-Cookman","28","3","",""
"181","Michigan","Massachusetts","50","3","",""
"182","Memphis","Middle Tennessee State","-18","3","",""
"183","Minnesota","Western Michigan","5","3"," A -14"," A 17"
"184","Troy","Mississippi State","-6","3"," A -21 A 7"," H 20 H 10"
"185","Missouri","Arizona State","4","3","",""
"186","Nebraska","Arkansas State","29","3","",""
"187","Nevada","Northwestern State","11","3","",""
"188","North Carolina State","South Alabama","24","3","",""
"189","Army","Northern Illinois","-1","3"," H -8"," A -12"
"190","Northwestern","Boston College","9","3","",""
