"","V1","V2","V3","V4","V5","V6"
"1","Alabama-Birmingham","Central Arkansas","10","1","",""
"2","Southern Mississippi","South Alabama","-11","1"," H -42"," H -3"
"3","Army","Middle Tennessee State","42","1"," A -12"," A 2"
"4","Marshall","Eastern Kentucky","59","1","",""
"5","Memphis","Arkansas State","13","1","",""
"6","North Texas","Houston Baptist","26","1","",""
"7","Texas State","Southern Methodist","-7","1","",""
"8","Texas-El Paso","Stephen F. Austin","10","1"," A 31"," A 14"
"9","Navy","Brigham Young","-52","1"," H -16"," A -17"
"10","Miami (FL)","Alabama-Birmingham","17","2","",""
"11","Appalachian State","Charlotte","15","2","",""
"12","Kansas State","Arkansas State","-4","2","",""
"13","Army","Louisiana-Monroe","30","2"," H 1"," H -5"
"14","Wake Forest","Clemson","-24","2"," H 17 A -24"," H 18 H 26"
"15","Kansas","Coastal Carolina","-15","2","",""
"16","Georgia Southern","Campbell","1","2"," A 14"," A 22"
"17","Florida State","Georgia Tech","-3","2"," A 16 A 32 A 16"," H -18 H 19 A 10"
"18","Iowa State","Louisiana","-17","2","",""
"19","Louisville","Western Kentucky","14","2","",""
"20","North Carolina","Syracuse","25","2"," A -4 H 27 A -32 H 6"," H -3 H -7 H -14 H -24"
"21","Notre Dame","Duke","14","2"," A -18 A -14 A -14"," A 23 H -20 H -32"
"22","Oklahoma","Missouri State","48","2","",""
"23","Pittsburgh","Austin Peay","55","2","",""
"24","South Florida","Citadel","21","2","",""
"25","Texas","Texas-El Paso","56","2","",""
"26","Texas Tech","Houston Baptist","2","2","",""
"27","Texas State","Texas-San Antonio","-3","2"," A 38"," A 7"
"28","South Alabama","Tulane","-3","2"," A -11"," A -42"
"29","West Virginia","Eastern Kentucky","46","2","",""
"30","Coastal Carolina","Campbell","22","3"," H 14 H 11"," A 1 A 31"
"31","Duke","Boston College","-20","3"," A 14 H -7 A -14 H -32 A 23"," H -14 A 26 A -3 H -4 H 21"
"32","Georgia Tech","Central Florida","-28","3","",""
"33","Cincinnati","Austin Peay","35","3","",""
"34","Clemson","Citadel","49","3","",""
"35","Western Kentucky","Liberty","-6","3"," H 3 H 17"," H 21 H 2"
"36","Georgia State","Louisiana","-3","3"," A 7 H -51 H 18 A -17"," H 7 H -3 A -50 H 28"
"37","Southern Mississippi","Louisiana Tech","-1","3"," A -10 H -3"," A -11 A 1"
"38","Marshall","Appalachian State","10","3","",""
"39","Louisville","Miami (FL)","-13","3"," A 3 H 32 H -7 A 14"," H 12 H 42 A -1 H 5"
"40","Tulane","Navy","-3","3"," A 18 H -3 H 35 A -17 A 6"," H -16 A 14 H 2 A -4 H -13"
"41","North Carolina State","Wake Forest","3","3"," A 21 A -17 A 27 A -7"," H 7 H 17 A 6 A -24"
"42","Notre Dame","South Florida","52","3","",""
"43","Oklahoma State","Tulsa","9","3","",""
"44","Pittsburgh","Syracuse","11","3"," H 3 H -1 A 1 A 35"," A 30 H -7 H -3 A 26"
"45","North Texas","Southern Methodist","-30","3","",""
"46","Louisiana-Monroe","Texas State","-21","3"," H -5 A 24 H -18 H -50"," A 2 A 10 H -21 H -10"
"47","Texas-El Paso","Abilene Christian","4","3","",""
"48","Texas-San Antonio","Stephen F. Austin","14","3"," H 31"," A 10"
"49","Middle Tennessee State","Troy","-33","3","",""
"50","South Alabama","Alabama-Birmingham","-32","4"," A 28"," H -4"
"51","Texas-San Antonio","Middle Tennessee State","2","4"," H -12"," A 42"
"52","Missouri","Alabama","-19","4"," A 23 H 4 H 10 H -35"," A -31 A -38 H 60 H 17"
"53","Appalachian State","Campbell","31","4"," A 11"," A 22"
"54","Auburn","Kentucky","16","4"," A 21 A -7 H 13 A 29"," H -11 H -1 A -27 A 60"
"55","Baylor","Kansas","33","4"," A 6 H -10 A 7 H 1 A 13"," A 21 H -36 H -30 A 41 A 53"
"56","Boston College","Texas State","3","4","",""
"57","Brigham Young","Troy","41","4"," H 38"," H 20"
"58","East Carolina","Central Florida","-23","4"," A 4 H -17 A 38 A -25"," H -8 H 17 H -3 H 25"
"59","Cincinnati","Army","14","4","",""
"60","Mississippi","Florida","-16","4"," A -1 A 12 A -33 H 17"," H 24 H 28 A -21 H 14"
"61","Arkansas","Georgia","-27","4"," A -7 A 2 H 11"," H 7 H 21 H 23"
"62","Texas Christian","Iowa State","-3","4"," A -2 H -7 H -19 A -10 H 16 A -36 H 7"," A -3 H 45 H 7 H 7 H 16 A -30 A 3"
"63","Oklahoma","Kansas State","-3","4"," A 7 A -19 A -34 H 53 H 28"," A 45 A -7 H 10 H 41 H -2"
"64","Liberty","Florida International","2","4","",""
"65","Louisiana","Georgia Southern","2","4"," A -3 H -3 A -10 H 28 A -50"," A 6 A 14 H 2 H 7 A -5"
"66","Louisiana Tech","Houston Baptist","28","4"," A -11"," A 26"
"67","Miami (FL)","Florida State","42","4"," A -13 H 12 A -3"," A 32 H -24 A 16"
"68","Louisiana State","Mississippi State","-10","4"," A -34 A 37 A -3 A 13 H -38"," H 7 H -14 H -7 H -14 A 41"
