"","V1","V2","V3","V4","V5","V6"
"1","Arizona State","Temple","47","1","",""
"2","Cincinnati","Eastern Michigan","2","1"," A 28"," H -1"
"3","Connecticut","Buffalo","38","1"," H 19 H -2"," A 31 H -14"
"4","Marshall","William & Mary","12","1","",""
"5","Tulsa","Minnesota","-31","1","",""
"6","Louisiana-Monroe","Northwestern State","-4","1","",""
"7","Houston","Oregon","-14","1","",""
"8","South Carolina","Central Florida","9","1","",""
"9","Toledo","Western Illinois","48","1","",""
"10","Wake Forest","Vanderbilt","-4","1","",""
"11","Washington State","Idaho","12","1"," A -34"," A 48"
"12","Central Michigan","Indiana","-7","1","",""
"13","Utah","Arizona","3","1","",""
"14","Washington","Air Force","-3","1","",""
"15","Alabama","Middle Tennessee State","19","1","",""
"16","Arkansas","Missouri State","32","1","",""
"17","Southern Methodist","Baylor","-5","1"," A 58"," A 3"
"18","Brigham Young","Boston College","-17","1","",""
"19","California","Sacramento State","38","1","",""
"20","Clemson","Texas A&M","1","1","",""
"21","Colorado","Colorado State","3","1","",""
"22","East Carolina","Duke","3","1"," A 10"," H -38"
"23","Florida","Wyoming","18","1","",""
"24","Georgia","Boise State","35","1","",""
"25","Auburn","Georgia Tech","-9","1","",""
"26","Illinois","Rutgers","3","1","",""
"27","Iowa","Ball State","56","1","",""
"28","Iowa State","Illinois State","11","1","",""
"29","Kansas","Florida Atlantic","11","1","",""
"30","Kansas State","Florida International","14","1"," H 47 A 39"," H -3 A 53"
"31","0","0","0","0","0","0"
"32","Michigan","Northern Illinois","16","1"," H 55 A -16"," H 16 A 1"
"33","Michigan State","Kent State","35","1","",""
"34","Mississippi State","Murray State","32","1","",""
"35","Missouri","Arkansas State","27","1"," H 31 A -7"," H 6 A 10"
"36","Nebraska","Maine","18","1","",""
"37","Northwestern","Ohio","24","1","",""
"38","Pittsburgh","Notre Dame","-21","1"," H 17"," H 24"
"39","Ohio State","Miami (OH)","20","1","",""
"40","Oklahoma State","Montana State","5","1","",""
"41","Oregon State","Portland State","27","1","",""
"42","Penn State","South Florida","10","1"," H 18"," H 15"
"43","San Jose State","Eastern Washington","11","1","",""
"44","Hawaii","Southern California","-46","1","",""
"45","Tennessee","Alabama-Birmingham","7","1"," H 4"," A -17"
"46","Texas","Louisiana","57","1","",""
"47","Oklahoma","Texas Christian","-7","1","",""
"48","New Mexico State","Texas-El Paso","-17","1"," A 17"," H 8"
"49","Troy","Cal Poly","17","1","",""
"50","San Diego State","UCLA","-23","1","",""
"51","Virginia","Western Michigan","12","1"," H 48"," A -3"
"52","Wisconsin","Bowling Green State","14","1"," H 65"," H 63"
"53","Kentucky","Louisville","-7","1","",""
"54","North Carolina State","Virginia Tech","-4","1"," A -3 A 20"," H 44 H 20"
"55","Syracuse","West Virginia","-8","1"," A 19 H -22 H -6"," H 32 A -13 A -38"
"56","Florida State","Miami (FL)","3","1"," H 17 A -31 A 21"," A -30 H 45 A -6"
"57","Memphis","Mississippi","-4","1"," A 4"," A 17"
"58","New Mexico","Nevada-Las Vegas","2","1"," A 21 H -3 A -3 A -23 A -4"," A 48 H -41 A 25 H 3 H -10"
"59","Florida Atlantic","Oklahoma State","-20","2"," A 3"," H 10"
"60","Ohio","Pittsburgh","6","2","",""
"61","Nevada","Washington State","-34","2"," H 48"," H 12"
"62","Air Force","San Diego State","12","2"," H -1 A 3 A 18 H 35 H -38 A 21"," H 13 A -9 A -20 A 3 H -3 H 21"
"63","Alabama","Southern Mississippi","9","2","",""
"64","Troy","Alabama-Birmingham","-20","2","",""
"65","Arizona","Northern Arizona","19","2","",""
"66","Arkansas State","Tennessee-Martin","49","2","",""
"67","Auburn","Mississippi State","28","2"," A -17 A 3 A -22 A -1"," A 34 H -30 A 6 H -13"
"68","Baylor","Samford","34","2","",""
"69","Boston College","Army","37","2","",""
"70","Ball State","Bowling Green State","-9","2"," A -3 A 17 H 6"," H -31 H 24 H -10"
"71","Brigham Young","Eastern Illinois","35","2","",""
"72","Washington","California","-39","2"," A 4 A 24 H -27 H -8 A -24"," A 7 A 7 H -25 H -3 H 28"
"73","Miami (OH)","Central Michigan","-1","2"," A 11 H 28 A -1"," H -3 A -14 H -3"
"74","Maryland","Clemson","-4","2"," A -10 A -31 A 8 H -15"," A 4 H 30 H 21 H -3"
"75","Colorado","New Mexico State","39","2","",""
"76","Connecticut","Liberty","59","2","",""
"77","Eastern Michigan","Louisiana","21","2","",""
"78","Florida","Louisiana Tech","38","2","",""
"79","Florida State","Citadel","52","2","",""
"80","Fresno State","Weber State","38","2","",""
"81","Georgia","South Carolina","2","2"," A -13 A -17 H 3 H -1 H 32"," A -1 H 7 A -4 A 41 H 28"
"82","Georgia Tech","North Carolina","6","2"," H -3 A -25 A 10 A -4"," A -7 H 3 H 2 A 18"
"83","Houston","Sam Houston State","21","2","",""
"84","Illinois","San Jose State","21","2","",""
"85","Indiana","Nicholls State","4","2","",""
"86","Iowa State","Iowa","20","2","",""
"87","Kansas","Appalachian State","28","2","",""
"88","Marshall","Kansas State","-2","2","",""
"89","Kent State","Southeast Missouri State","21","2","",""
"90","Kentucky","Idaho State","12","2","",""
"91","Arizona State","Louisiana State","-4","2","",""
"92","Michigan State","Hawaii","28","2","",""
"93","Minnesota","Colorado State","32","2","",""
"94","Nebraska","Wake Forest","28","2","",""
"95","Nevada-Las Vegas","Idaho","3","2"," A 8 A 7"," A 48 H 14"
"96","Missouri","New Mexico","-10","2","",""
"97","Middle Tennessee State","North Texas","-7","2"," A -21 H -3 H -3 A -10"," A 3 H -3 H -5 H -3"
"98","Northwestern","Northern Illinois","1","2"," H -16"," A 16"
"99","Michigan","Notre Dame","-7","2"," A -3"," H -3"
"100","Oklahoma","Tulsa","16","2","",""
"101","Oregon","Montana","33","2","",""
"102","Oregon State","Boise State","3","2"," H 27"," H 7"
"103","Penn State","Cincinnati","18","2"," H 10"," A 15"
"104","Purdue","Akron","25","2","",""
"105","Rutgers","Villanova","32","2","",""
"106","South Florida","Florida A&M","34","2","",""
"107","Southern Methodist","Texas Christian","11","2","",""
"108","Navy","Stanford","-3","2","",""
"109","Syracuse","Buffalo","31","2"," A 19 H -22"," A 38 H -14"
"110","Ohio State","Texas","-3","2","",""
"111","Texas Tech","Florida International","53","2"," H 39"," A 14"
"112","Toledo","Western Michigan","33","2"," A -25 H 27 A -20 H 23 A 4"," A -3 A -8 H -3 H 10 H 7"
"113","UCLA","Rice","42","2","",""
"114","Utah","Utah State","24","2"," A -10"," H 7"
"115","Arkansas","Vanderbilt","-4","2"," A 3 H -4 A -11"," H -17 A 7 H 8"
"116","Duke","Virginia Tech","-45","2"," A 31 A 45 H -25"," A -38 H -20 H 44"
"117","West Virginia","Wofford","28","2","",""
"118","Wisconsin","Temple","65","2"," H 14"," A 63"
"119","Wyoming","Louisiana-Monroe","38","2","",""
"120","Texas Christian","Utah","3","3"," H 21 A -14 A -38 A -3 H 27"," H -4 H 30 H 3 H -9 A 4"
"121","Texas-El Paso","Houston","3","3"," A 7 H 3"," H -15 A -7"
"122","Middle Tennessee State","Akron","-10","3","",""
"123","South Carolina","Alabama","-23","3"," A -1 A -4 H 8"," H 3 H 11 H 28"
"124","Alabama-Birmingham","Jacksonville State","7","3","",""
"125","Arizona State","Northwestern","31","3","",""
"126","Auburn","Ball State","60","3","",""
"127","Army","Baylor","-10","3"," H -7"," A -10"
"128","California","Illinois","15","3","",""
"129","Stanford","California-Davis","-3","3","",""
"130","Cincinnati","Western Carolina","4","3","",""
"131","Duke","Virginia Military Institute","26","3","",""
"132","Florida","Tennessee","9","3"," A 28 A 4 H 7 A 8"," A 3 A -3 H -4 H -1"
"133","Boston College","Florida State","-11","3"," A -3 H 11 H 5 H 20"," A 21 A 5 H 17 H -5"
"134","Georgia","Louisiana-Monroe","37","3"," H 3"," A 29"
"135","Georgia Tech","Connecticut","15","3","",""
"136","Indiana","Kentucky","24","3","",""
"137","Iowa","Northern Iowa","24","3","",""
"138","Kansas","Louisiana Tech","20","3","",""
"139","Louisiana","Northwestern State","21","3","",""
"140","Louisville","Oregon State","36","3","",""
"141","Memphis","Chattanooga","45","3","",""
"142","Clemson","Miami (FL)","-6","3"," A 4 H 30 A 1 H 29 H 21"," A -30 A -31 H -4 H 45 A 3"
"143","Kent State","Miami (OH)","-17","3"," A 7 H -31 H -10 H -4"," A -1 A 11 H -28 H 41"
"144","Michigan","Eastern Michigan","55","3"," H 16"," A 16"
"145","Notre Dame","Michigan State","-3","3"," A -7 A -21"," H -3 A 7"
"146","Minnesota","Florida Atlantic","39","3","",""
"147","0","0","0","0","0","0"
"148","Missouri","Troy","31","3"," H 27"," A 6"
"149","Nebraska","Pittsburgh","1","3","",""
"150","Nevada","Nevada-Las Vegas","8","3"," H 48 A -6"," H 3 A 7"
"151","New Mexico","New Mexico State","17","3"," A 8"," H -17"
"152","North Carolina State","Eastern Kentucky","44","3","",""
"153","Northern Illinois","Tennessee Tech","39","3","",""
"154","Ohio State","San Diego State","21","3","",""
"155","Oklahoma State","Arkansas State","10","3"," A -20 H -7"," H 3 A 27"
"156","Oregon","Fresno State","3","3"," H -32"," A 8"
"157","Penn State","Central Michigan","37","3","",""
"158","Arizona","Purdue","-7","3","",""
"159","Buffalo","Rutgers","-14","3"," A 38 A 31"," A -2 A -22"
"160","South Florida","Central Florida","17","3","",""
"161","Southern California","Arkansas","53","3","",""
"162","Southern Mississippi","McNeese State","28","3","",""
"163","Texas","Rice","41","3","",""
"164","Texas A&M","Southern Methodist","58","3"," H 3"," H -5"
"165","Texas Tech","Sam Houston State","59","3","",""
"166","Temple","Toledo","-25","3"," H -3"," H 33"
"167","North Texas","Tulsa","-52","3","",""
"168","UCLA","Oklahoma","17","3","",""
"169","Vanderbilt","Mississippi","8","3"," A -4 H -28 H -5"," H -11 H -33 H 6"
"170","Syracuse","Virginia","-3","3"," A 24"," H 5"
"171","Virginia Tech","Ohio","45","3","",""
"172","Wake Forest","East Carolina","10","3"," A -38"," H 3"
"173","Washington","Idaho","28","3","",""
"174","Washington State","Grambling State","41","3","",""
"175","Maryland","West Virginia","-12","3"," H -19"," H -17"
"176","Western Michigan","Southern Illinois","6","3","",""
"177","North Carolina","Wisconsin","-9","3","",""
"178","Air Force","Wyoming","-1","3"," A 3 A 18 H 35 H -38 A 21"," A 30 A 8 H 25 H -14 H -14"
"179","Boise State","Bowling Green State","28","4","",""
"180","Florida Atlantic","Louisiana-Monroe","-7","4"," H -21 A 3 A 14 H 3"," A -3 H 4 H 24 A -5"
"181","Texas A&M","Texas State","13","4","",""
"182","Utah","Air Force","3","4"," A 3 A 4 H -9 A -10 H 30"," H -38 A 18 H 12 H 35 H -1"
"183","New Mexico State","California","-28","4","",""
"184","Army","Iowa State","-7","4"," H -10"," H -10"
"185","Akron","Northern Illinois","6","4"," H -14 A 28 A 6"," A -3 H 11 H -14"
"186","Alabama","Arkansas","11","4"," A -23 A -3 A -17"," H -4 A -11 H 34"
"187","Oregon State","Arizona State","-18","4"," H 11 A 23 A -8 H -3"," A -3 A 10 H 24 A 10"
"188","Arkansas State","Florida International","42","4"," A 4 H 3 H 3 H 6"," A -2 A 21 H 46 A 5"
"189","Auburn","Western Kentucky","23","4","",""
"190","Clemson","Boston College","-3","4"," A 4 A -21 H 21"," H 5 H 20 H -11"
"191","Central Florida","Marshall","10","4"," A 21 H 10 A -10 A -6"," H -3 A -1 H -5 H 1"
"192","Colorado State","Nevada","21","4","",""
"193","Central Michigan","Eastern Michigan","-3","4"," A -1 H 4 H -3 A 7"," H -1 A 27 A 16 H -8"
"194","Kentucky","Florida","-21","4"," A 28 H 6 A -5"," A 8 H 26 H 7"
"195","Mississippi State","Georgia","-13","4"," A 28 A 6 A 34"," H -1 H 32 H 3"
"196","Idaho","Hawaii","-24","4"," H 14 A 48 H -30 A -1 H -3 A 35"," H 27 A 10 H -14 H 21 A 32 H -3"
"197","Kansas State","North Texas","47","4"," H 14"," A -3"
"198","Wake Forest","Maryland","-10","4"," H 4 A 17 A 5"," H -4 A 8 H -15"
"199","Miami (FL)","Colorado","20","4","",""
"200","Illinois","Michigan State","-47","4"," A 23 A 38 A 34"," H 31 A 11 A 7"
"201","Minnesota","Purdue","7","4"," A 30 H -4 H 23"," A 18 A 11 H 7"
"202","North Carolina State","North Carolina","-7","4"," A -3 A 20"," A 6 H 2"
"203","Washington","Notre Dame","-19","4"," H -27"," H -3"
"204","Ohio","Kent State","3","4"," A 24 A -14"," H -10 H -4"
"205","Ohio State","Iowa","25","4"," A -31 H 38 H 41"," H 17 H 28 A 1"
"206","Northwestern","Penn State","-5","4"," H 3 A -5 H -16 A 41"," H 21 H 18 A 2 H 7"
"207","Pittsburgh","Youngstown State","41","4","",""
"208","San Diego State","San Jose State","31","4","",""
"209","South Carolina","Troy","25","4","",""
"210","South Florida","Louisville","31","4"," A 14 A -14 A -27 H 15"," H 22 H 51 H 24 A -24"
"211","Oregon","Southern California","-32","4"," A -24 A -14 H 24 A -7 H 7 A -3"," H 30 A -10 A -27 H 21 A -25 H 42"
"212","Brigham Young","Texas Christian","-1","4"," A 21 A -3 H 10 H 21 A -14"," A -3 H 21 H 27 A -38 A -14"
"213","Texas Tech","Indiana State","56","4","",""
"214","Texas-El Paso","New Mexico","8","4"," A -17"," H 17"
"215","Southern Methodist","Tulane","-21","4"," A 3 A 7 H 20"," H -1 H -24 A 8"
"216","Tulsa","Memphis","6","4"," H -7 A -17 A 3 H 32"," A -15 A -2 H 7 H 3"
"217","Utah State","Nevada-Las Vegas","7","4"," A 24 A 14 H -6"," H -10 H 3 A 8"
"218","Vanderbilt","Richmond","24","4","",""
"219","Virginia","Duke","31","4"," H 5 H 10 H -38"," H -31 H -25 H -45"
"220","Virginia Tech","Georgia Tech","44","4"," A -4 A -45 H -20 A -38"," H -3 A -25 A -4 A 10"
"221","West Virginia","East Carolina","5","4","",""
"222","Temple","Western Michigan","-3","4"," H -25 A 63 A 48"," A 33 A -31 A 12"
