Rk,Wk,Date,Time,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
79,2,Sep 3 2016,12:30 PM,Virginia Tech,36,,Liberty,13,
80,2,Sep 3 2016,2:00 PM,(14) Washington,48,,Rutgers,13,
81,2,Sep 3 2016,12:00 PM,West Virginia,26,,Missouri,11,
82,2,Sep 3 2016,12:00 PM,Western Michigan,22,@,Northwestern,21,
83,2,Sep 3 2016,3:30 PM,Wisconsin,16,,(5) Louisiana State,14,x
84,2,Sep 3 2016,10:30 PM,Wyoming,40,,Northern Illinois,34,
85,2,Sep 4 2016,3:30 PM,Old Dominion,54,,Hampton,21,
86,2,Sep 4 2016,7:30 PM,Texas,50,,(10) Notre Dame,47,
87,2,Sep 5 2016,8:00 PM,(4) Florida State,45,,(11) Mississippi,34,x
88,3,Sep 9 2016,8:00 PM,(13) Louisville,62,@,Syracuse,28,
89,3,Sep 10 2016,2:00 PM,Air Force,48,,Georgia State,14,
90,3,Sep 10 2016,3:30 PM,(1) Alabama,38,,Western Kentucky,10,
91,3,Sep 10 2016,3:30 PM,Appalachian State,31,,Old Dominion,7,
92,3,Sep 10 2016,10:45 PM,Arizona,31,,Grambling State,21,
93,3,Sep 10 2016,10:00 PM,Arizona State,68,,Texas Tech,55,
94,3,Sep 10 2016,7:00 PM,Arkansas,41,@,(15) Texas Christian,38,
95,3,Sep 10 2016,12:00 PM,Army,31,,Rice,14,
96,3,Sep 10 2016,7:30 PM,Auburn,51,,Arkansas State,14,
97,3,Sep 10 2016,3:30 PM,(23) Baylor,40,,Southern Methodist,13,
98,3,Sep 10 2016,10:15 PM,Boise State,31,,Washington State,28,
99,3,Sep 10 2016,12:00 PM,Boston College,26,@,Massachusetts,7,
100,3,Sep 10 2016,3:30 PM,Bowling Green State,27,,North Dakota,26,
101,3,Sep 10 2016,12:00 PM,Central Michigan,30,@,(22) Oklahoma State,27,
102,3,Sep 10 2016,6:00 PM,Charlotte,47,,Elon,14,
103,3,Sep 10 2016,12:00 PM,Cincinnati,38,@,Purdue,20,
104,3,Sep 10 2016,12:30 PM,(2) Clemson,30,,Troy,24,
105,3,Sep 10 2016,5:30 PM,Colorado,56,,Idaho State,7,
106,3,Sep 10 2016,4:00 PM,Colorado State,23,,Texas-San Antonio,14,
107,3,Sep 10 2016,12:00 PM,East Carolina,33,,North Carolina State,30,
108,3,Sep 10 2016,3:30 PM,Eastern Illinois,21,@,Miami (OH),17,
109,3,Sep 10 2016,3:30 PM,Florida,45,,Kentucky,7,
110,3,Sep 10 2016,12:30 PM,(3) Florida State,52,,Charleston Southern,8,
111,3,Sep 10 2016,10:00 PM,Fresno State,31,,Sacramento State,3,
112,3,Sep 10 2016,12:00 PM,(9) Georgia,26,,Nicholls State,24,
113,3,Sep 10 2016,7:00 PM,Georgia Southern,24,@,South Alabama,9,
114,3,Sep 10 2016,3:00 PM,Georgia Tech,35,,Mercer,10,
115,3,Sep 10 2016,11:59 PM,Hawaii,41,,Tennessee-Martin,36,
116,3,Sep 10 2016,12:00 PM,(6) Houston,42,,Lamar,0,
117,3,Sep 10 2016,3:30 PM,Illinois State,9,@,Northwestern,7,
118,3,Sep 10 2016,4:00 PM,Indiana,30,,Ball State,20,
119,3,Sep 10 2016,7:30 PM,(16) Iowa,42,,Iowa State,3,
120,3,Sep 10 2016,7:30 PM,(21) Louisiana State,34,,Jacksonville State,13,
121,3,Sep 10 2016,7:00 PM,Louisiana Tech,53,,South Carolina State,24,
122,3,Sep 10 2016,7:00 PM,Louisiana-Lafayette,30,,McNeese State,22,
123,3,Sep 10 2016,6:00 PM,Marshall,62,,Morgan State,0,
124,3,Sep 10 2016,12:00 PM,Maryland,41,@,Florida International,14,
125,3,Sep 10 2016,6:00 PM,(25) Miami (FL),38,,Florida Atlantic,10,
126,3,Sep 10 2016,12:00 PM,(5) Michigan,51,,Central Florida,14,
127,3,Sep 10 2016,12:00 PM,Minnesota,58,,Indiana State,28,
128,3,Sep 10 2016,4:00 PM,(19) Mississippi,38,,Wofford,13,
129,3,Sep 10 2016,7:00 PM,Mississippi State,27,,South Carolina,14,
130,3,Sep 10 2016,7:30 PM,Missouri,61,,Eastern Michigan,21,
131,3,Sep 10 2016,3:30 PM,Navy,28,,Connecticut,24,
132,3,Sep 10 2016,12:00 PM,Nebraska,52,,Wyoming,17,
133,3,Sep 10 2016,8:00 PM,New Mexico State,32,,New Mexico,31,
134,3,Sep 10 2016,7:30 PM,North Carolina,48,@,Illinois,23,
135,3,Sep 10 2016,6:00 PM,North Carolina A&T,39,@,Kent State,36,
136,3,Sep 10 2016,7:00 PM,North Texas,41,,Bethune-Cookman,20,
137,3,Sep 10 2016,3:30 PM,(18) Notre Dame,39,,Nevada,10,
138,3,Sep 10 2016,2:30 PM,Ohio,37,@,Kansas,21,
139,3,Sep 10 2016,3:30 PM,(4) Ohio State,48,,Tulsa,3,
140,3,Sep 10 2016,7:00 PM,(14) Oklahoma,59,,Louisiana-Monroe,17,
141,3,Sep 10 2016,10:30 PM,(24) Oregon,44,,Virginia,26,
142,3,Sep 10 2016,12:00 PM,Pittsburgh,42,,Penn State,39,
143,3,Sep 10 2016,12:00 PM,Rutgers,52,,Howard,14,
144,3,Sep 10 2016,10:30 PM,San Diego State,45,,California,40,
145,3,Sep 10 2016,4:30 PM,San Jose State,66,,Portland State,35,
146,3,Sep 10 2016,7:00 PM,South Florida,48,,Northern Illinois,17,
147,3,Sep 10 2016,2:00 PM,Southern California,45,,Utah State,7,
148,3,Sep 10 2016,7:00 PM,Southern Mississippi,56,,Savannah State,0,
149,3,Sep 10 2016,1:00 PM,Temple,38,,Stony Brook,0,
150,3,Sep 10 2016,8:00 PM,(17) Tennessee,45,,Virginia Tech,24,x
151,3,Sep 10 2016,7:00 PM,(11) Texas,41,,Texas-El Paso,7,
152,3,Sep 10 2016,12:00 PM,(20) Texas A&amp;M,67,,Prairie View A&amp;M,0,
153,3,Sep 10 2016,7:00 PM,Toledo,45,,Maine,3,
154,3,Sep 10 2016,8:00 PM,Tulane,66,,Southern,21,
155,3,Sep 10 2016,8:00 PM,UCLA,42,,Nevada-Las Vegas,21,
156,3,Sep 10 2016,7:30 PM,Utah,20,,Brigham Young,19,
157,3,Sep 10 2016,4:00 PM,Vanderbilt,47,,Middle Tennessee State,24,
158,3,Sep 10 2016,3:30 PM,Wake Forest,24,@,Duke,14,
159,3,Sep 10 2016,5:00 PM,(8) Washington,59,,Idaho,14,
160,3,Sep 10 2016,2:00 PM,West Virginia,38,,Youngstown State,21,
161,3,Sep 10 2016,7:00 PM,Western Michigan,70,,North Carolina Central,21,
162,3,Sep 10 2016,3:30 PM,(10) Wisconsin,54,,Akron,10,
163,4,Sep 15 2016,7:30 PM,(6) Houston,40,@,Cincinnati,16,
164,4,Sep 16 2016,9:30 PM,Arizona State,32,@,Texas-San Antonio,28,
165,4,Sep 16 2016,8:00 PM,(21) Baylor,38,@,Rice,10,
166,4,Sep 16 2016,9:00 PM,Utah State,34,,Arkansas State,20,
167,4,Sep 17 2016,12:00 PM,Akron,65,@,Marshall,38,
168,4,Sep 17 2016,3:30 PM,(1) Alabama,48,@,(19) Mississippi,43,
169,4,Sep 17 2016,10:45 PM,Arizona,47,,Hawaii,28,
170,4,Sep 17 2016,7:30 PM,(24) Arkansas,42,,Texas State,3,
171,4,Sep 17 2016,7:00 PM,Army,66,@,Texas-El Paso,14,
172,4,Sep 17 2016,3:00 PM,Ball State,41,,Eastern Kentucky,14,
173,4,Sep 17 2016,10:30 PM,California,50,,(11) Texas,43,
174,4,Sep 17 2016,3:00 PM,Central Michigan,44,,Nevada-Las Vegas,21,
175,4,Sep 17 2016,12:00 PM,(5) Clemson,59,,South Carolina State,0,
176,4,Sep 17 2016,4:00 PM,Colorado State,47,,Northern Colorado,21,
177,4,Sep 17 2016,1:30 PM,Connecticut,13,,Virginia,10,
178,4,Sep 17 2016,6:00 PM,Eastern Michigan,37,@,Charlotte,19,
179,4,Sep 17 2016,7:30 PM,(23) Florida,32,,North Texas,0,
180,4,Sep 17 2016,7:30 PM,(16) Georgia,28,@,Missouri,27,
181,4,Sep 17 2016,6:00 PM,Georgia Southern,23,,Louisiana-Monroe,21,
182,4,Sep 17 2016,12:30 PM,Georgia Tech,38,,Vanderbilt,7,
183,4,Sep 17 2016,2:30 PM,Kansas State,63,,Florida Atlantic,7,
184,4,Sep 17 2016,3:30 PM,Kent State,27,,Monmouth,7,
185,4,Sep 17 2016,4:00 PM,Kentucky,62,,New Mexico State,42,
186,4,Sep 17 2016,7:00 PM,(20) Louisiana State,23,,Mississippi State,20,
187,4,Sep 17 2016,7:00 PM,Louisiana-Lafayette,28,,South Alabama,23,
188,4,Sep 17 2016,12:00 PM,(10) Louisville,63,,(2) Florida State,20,
189,4,Sep 17 2016,7:00 PM,Maryland,30,@,Central Florida,24,
190,4,Sep 17 2016,3:30 PM,Massachusetts,21,,Florida International,13,
191,4,Sep 17 2016,12:00 PM,Memphis,43,,Kansas,7,
192,4,Sep 17 2016,12:00 PM,(25) Miami (FL),45,@,Appalachian State,10,
193,4,Sep 17 2016,3:30 PM,(4) Michigan,45,,Colorado,28,
194,4,Sep 17 2016,7:30 PM,(12) Michigan State,36,@,(18) Notre Dame,28,
195,4,Sep 17 2016,12:00 PM,Middle Tennessee State,41,@,Bowling Green State,21,
196,4,Sep 17 2016,7:00 PM,Navy,21,@,Tulane,14,
197,4,Sep 17 2016,3:30 PM,Nebraska,35,,(22) Oregon,32,
198,4,Sep 17 2016,9:00 PM,Nevada,38,,Buffalo,14,
199,4,Sep 17 2016,3:30 PM,North Carolina,56,,James Madison,28,
200,4,Sep 17 2016,6:00 PM,North Carolina State,49,,Old Dominion,22,
201,4,Sep 17 2016,12:00 PM,North Dakota State,23,@,(13) Iowa,21,
202,4,Sep 17 2016,8:00 PM,Northwestern,24,,Duke,13,
203,4,Sep 17 2016,9:10 PM,(3) Ohio State,45,@,(14) Oklahoma,24,
204,4,Sep 17 2016,3:30 PM,Oklahoma State,45,,Pittsburgh,38,
205,4,Sep 17 2016,5:00 PM,Oregon State,37,,Idaho State,7,
206,4,Sep 17 2016,12:00 PM,Penn State,34,,Temple,27,
207,4,Sep 17 2016,12:00 PM,Rutgers,37,,New Mexico,28,
208,4,Sep 17 2016,3:30 PM,San Diego State,42,@,Northern Illinois,28,
209,4,Sep 17 2016,4:00 PM,South Carolina,20,,East Carolina,15,
210,4,Sep 17 2016,3:30 PM,South Florida,45,@,Syracuse,20,
211,4,Sep 17 2016,7:00 PM,Southern Methodist,29,,Liberty,14,
212,4,Sep 17 2016,8:00 PM,(7) Stanford,27,,Southern California,10,
213,4,Sep 17 2016,12:00 PM,(15) Tennessee,28,,Ohio,19,
214,4,Sep 17 2016,7:00 PM,(17) Texas A&amp;M,29,@,Auburn,16,
215,4,Sep 17 2016,12:00 PM,Texas Christian,41,,Iowa State,20,
216,4,Sep 17 2016,7:00 PM,Texas Tech,59,,Louisiana Tech,45,
217,4,Sep 17 2016,3:00 PM,Toledo,52,,Fresno State,17,
218,4,Sep 17 2016,7:00 PM,Troy,37,@,Southern Mississippi,31,
219,4,Sep 17 2016,2:00 PM,Tulsa,58,,North Carolina A&T,21,
220,4,Sep 17 2016,10:15 PM,UCLA,17,@,Brigham Young,14,
221,4,Sep 17 2016,10:30 PM,Utah,34,@,San Jose State,17,
222,4,Sep 17 2016,3:30 PM,Virginia Tech,49,,Boston College,0,
223,4,Sep 17 2016,6:30 PM,Wake Forest,38,,Delaware,21,
224,4,Sep 17 2016,8:00 PM,(8) Washington,41,,Portland State,3,
225,4,Sep 17 2016,2:00 PM,Washington State,56,,Idaho,6,
226,4,Sep 17 2016,3:30 PM,Western Kentucky,31,@,Miami (OH),24,
227,4,Sep 17 2016,4:00 PM,Western Michigan,34,@,Illinois,10,
228,4,Sep 17 2016,12:00 PM,(9) Wisconsin,23,,Georgia State,17,
229,4,Sep 17 2016,4:00 PM,Wyoming,45,,California-Davis,22,
230,5,Sep 22 2016,7:30 PM,(5) Clemson,26,@,Georgia Tech,7,
231,5,Sep 23 2016,7:30 PM,Eastern Michigan,27,,Wyoming,24,
232,5,Sep 23 2016,8:00 PM,Texas Christian,33,@,Southern Methodist,3,
233,5,Sep 23 2016,9:00 PM,(24) Utah,31,,Southern California,27,
234,5,Sep 24 2016,10:15 PM,Air Force,27,@,Utah State,20,
235,5,Sep 24 2016,12:00 PM,(1) Alabama,48,,Kent State,0,
236,5,Sep 24 2016,3:30 PM,Appalachian State,45,@,Akron,38,
237,5,Sep 24 2016,10:00 PM,Arizona State,51,,California,41,
238,5,Sep 24 2016,6:00 PM,Auburn,18,,(18) Louisiana State,13,
239,5,Sep 24 2016,6:00 PM,Ball State,31,@,Florida Atlantic,27,
240,5,Sep 24 2016,7:30 PM,(16) Baylor,35,,Oklahoma State,24,
241,5,Sep 24 2016,3:30 PM,Boise State,38,@,Oregon State,24,
242,5,Sep 24 2016,1:00 PM,Boston College,42,,Wagner,10,
243,5,Sep 24 2016,7:00 PM,Buffalo,23,,Army,20,
244,5,Sep 24 2016,7:00 PM,Central Arkansas,28,@,Arkansas State,23,
245,5,Sep 24 2016,7:00 PM,Central Florida,53,@,Florida International,14,
246,5,Sep 24 2016,3:30 PM,Cincinnati,27,,Miami (OH),20,
247,5,Sep 24 2016,5:30 PM,Colorado,41,@,Oregon,38,
248,5,Sep 24 2016,3:30 PM,Duke,38,@,Notre Dame,35,
249,5,Sep 24 2016,12:00 PM,(13) Florida State,55,@,South Florida,35,
250,5,Sep 24 2016,7:00 PM,(6) Houston,64,@,Texas State,3,
251,5,Sep 24 2016,9:00 PM,Idaho,33,@,Nevada-Las Vegas,30,
252,5,Sep 24 2016,12:00 PM,Iowa,14,@,Rutgers,7,
253,5,Sep 24 2016,12:00 PM,Iowa State,44,,San Jose State,10,
