Rk,Wk,Date,Time,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
345,6,Oct 1 2016,12:30 PM,Virginia,34,@,Duke,20,
346,6,Oct 1 2016,9:30 PM,Washington State,51,,Oregon,33,
347,6,Oct 1 2016,3:30 PM,West Virginia,17,,Kansas State,16,
348,6,Oct 1 2016,7:00 PM,Western Kentucky,50,,Houston Baptist,3,
349,6,Oct 1 2016,7:00 PM,Western Michigan,49,@,Central Michigan,10,
350,6,Oct 1 2016,10:15 PM,Wyoming,38,@,Colorado State,17,
351,7,Oct 5 2016,8:00 PM,Arkansas State,27,,Georgia Southern,26,
352,7,Oct 6 2016,8:00 PM,Memphis,34,,Temple,27,
353,7,Oct 7 2016,9:00 PM,(19) Boise State,49,@,New Mexico,21,
354,7,Oct 7 2016,7:30 PM,(3) Clemson,56,@,Boston College,10,
355,7,Oct 7 2016,8:00 PM,Old Dominion,36,,Massachusetts,16,
357,7,Oct 7 2016,8:00 PM,Tulsa,43,,Southern Methodist,40,
358,7,Oct 8 2016,3:00 PM,Akron,35,,Miami (OH),13,
359,7,Oct 8 2016,7:00 PM,(1) Alabama,49,@,(16) Arkansas,30,
360,7,Oct 8 2016,10:30 PM,Arizona State,23,,UCLA,20,
361,7,Oct 8 2016,12:00 PM,Auburn,38,@,Mississippi State,14,
362,7,Oct 8 2016,3:30 PM,Brigham Young,31,@,Michigan State,14,
363,7,Oct 8 2016,3:30 PM,Central Michigan,24,,Ball State,21,
365,7,Oct 8 2016,10:00 PM,Colorado State,31,,Utah State,24,
366,7,Oct 8 2016,11:30 AM,Connecticut,20,,Cincinnati,9,
367,7,Oct 8 2016,3:30 PM,Duke,13,,Army,6,
368,7,Oct 8 2016,8:00 PM,Florida International,35,@,Texas-El Paso,21,
369,7,Oct 8 2016,8:00 PM,(23) Florida State,20,@,(10) Miami (FL),19,
371,7,Oct 8 2016,3:30 PM,Georgia State,41,,Texas State,21,
372,7,Oct 8 2016,4:30 PM,Hawaii,34,@,San Jose State,17,
373,7,Oct 8 2016,7:00 PM,Idaho,34,@,Louisiana-Monroe,31,
374,7,Oct 8 2016,12:00 PM,Iowa,14,@,Minnesota,7,
375,7,Oct 8 2016,7:00 PM,Kansas State,44,,Texas Tech,38,
376,7,Oct 8 2016,3:30 PM,Kent State,44,@,Buffalo,20,
377,7,Oct 8 2016,4:00 PM,Kentucky,20,,Vanderbilt,13,
379,7,Oct 8 2016,12:00 PM,Louisiana Tech,55,,Western Kentucky,52,
381,7,Oct 8 2016,7:00 PM,(4) Michigan,78,@,Rutgers,0,
382,7,Oct 8 2016,3:00 PM,Navy,46,,(6) Houston,40,
383,7,Oct 8 2016,7:00 PM,Nevada,27,,Fresno State,22,
384,7,Oct 8 2016,12:00 PM,North Carolina State,10,,Notre Dame,3,
385,7,Oct 8 2016,7:00 PM,North Texas,38,,Marshall,21,
386,7,Oct 8 2016,2:00 PM,Ohio,30,,Bowling Green State,24,
387,7,Oct 8 2016,3:30 PM,(2) Ohio State,38,,Indiana,17,
388,7,Oct 8 2016,12:00 PM,(20) Oklahoma,45,,Texas,40,x
389,7,Oct 8 2016,3:30 PM,Oklahoma State,38,,Iowa State,31,
390,7,Oct 8 2016,9:00 PM,Oregon State,47,,California,44,
391,7,Oct 8 2016,12:00 PM,Penn State,38,,Maryland,14,
392,7,Oct 8 2016,12:30 PM,Pittsburgh,37,,Georgia Tech,34,
393,7,Oct 8 2016,3:30 PM,Purdue,34,@,Illinois,31,
394,7,Oct 8 2016,10:30 PM,San Diego State,26,,Nevada-Las Vegas,7,
395,7,Oct 8 2016,12:00 PM,South Florida,38,,East Carolina,22,
396,7,Oct 8 2016,4:00 PM,Southern California,21,,(21) Colorado,17,
397,7,Oct 8 2016,3:30 PM,(8) Texas A&amp;M,45,,(9) Tennessee,38,
398,7,Oct 8 2016,12:00 PM,Texas Christian,24,@,Kansas,23,
399,7,Oct 8 2016,12:00 PM,Texas-San Antonio,55,,Southern Mississippi,32,
400,7,Oct 8 2016,3:00 PM,Toledo,35,@,Eastern Michigan,20,
401,7,Oct 8 2016,10:00 PM,(24) Utah,36,,Arizona,23,
402,7,Oct 8 2016,3:30 PM,(25) Virginia Tech,34,@,(17) North Carolina,3,
403,7,Oct 8 2016,7:00 PM,Wake Forest,28,,Syracuse,9,
404,7,Oct 8 2016,7:30 PM,(5) Washington,70,@,Oregon,21,
405,7,Oct 8 2016,10:30 PM,Washington State,42,@,(15) Stanford,16,
406,7,Oct 8 2016,6:30 PM,Western Michigan,45,,Northern Illinois,30,
407,7,Oct 8 2016,3:30 PM,Wyoming,35,,Air Force,26,
408,7,Oct 9 2016,12:00 PM,Charlotte,28,@,Florida Atlantic,23,
409,7,Oct 9 2016,2:30 PM,Georgia,28,@,South Carolina,14,
410,8,Oct 12 2016,8:00 PM,Appalachian State,24,@,Louisiana-Lafayette,0,
412,8,Oct 14 2016,10:15 PM,Brigham Young,28,,Mississippi State,21,
413,8,Oct 14 2016,7:00 PM,(7) Louisville,24,,Duke,14,
414,8,Oct 14 2016,8:00 PM,Memphis,24,@,Tulane,14,
415,8,Oct 14 2016,10:00 PM,San Diego State,17,@,Fresno State,3,
416,8,Oct 15 2016,3:30 PM,(1) Alabama,49,@,(9) Tennessee,10,
417,8,Oct 15 2016,7:00 PM,(22) Arkansas,34,,(12) Mississippi,30,
418,8,Oct 15 2016,7:00 PM,Arkansas State,17,,South Alabama,7,
419,8,Oct 15 2016,12:00 PM,Army,62,,Lafayette,7,
420,8,Oct 15 2016,3:30 PM,Ball State,31,@,Buffalo,21,
421,8,Oct 15 2016,3:30 PM,(11) Baylor,49,,Kansas,7,
422,8,Oct 15 2016,10:15 PM,(15) Boise State,28,,Colorado State,23,
423,8,Oct 15 2016,3:30 PM,Central Michigan,34,@,Northern Illinois,28,
424,8,Oct 15 2016,12:00 PM,(3) Clemson,24,,North Carolina State,17,
425,8,Oct 15 2016,8:00 PM,Colorado,40,,Arizona State,16,
426,8,Oct 15 2016,2:00 PM,Eastern Michigan,27,@,Ohio,20,
427,8,Oct 15 2016,4:00 PM,(18) Florida,40,,Missouri,14,
428,8,Oct 15 2016,6:00 PM,Florida International,27,@,Charlotte,26,
429,8,Oct 15 2016,3:30 PM,(14) Florida State,17,,Wake Forest,6,
430,8,Oct 15 2016,12:30 PM,Georgia Tech,35,,Georgia Southern,24,
431,8,Oct 15 2016,7:00 PM,(13) Houston,38,,Tulsa,31,
432,8,Oct 15 2016,5:00 PM,Idaho,55,,New Mexico State,23,
433,8,Oct 15 2016,12:00 PM,Illinois,24,@,Rutgers,7,
434,8,Oct 15 2016,12:00 PM,Iowa,49,@,Purdue,35,
435,8,Oct 15 2016,7:30 PM,Louisiana State,45,,Southern Mississippi,10,
436,8,Oct 15 2016,3:30 PM,Louisiana Tech,56,@,Massachusetts,28,
437,8,Oct 15 2016,7:00 PM,Louisiana-Monroe,40,,Texas State,34,
438,8,Oct 15 2016,7:00 PM,Marshall,27,,Florida Atlantic,21,
439,8,Oct 15 2016,2:30 PM,Miami (OH),18,,Kent State,14,
440,8,Oct 15 2016,12:00 PM,Minnesota,31,@,Maryland,10,
441,8,Oct 15 2016,3:30 PM,(10) Nebraska,27,@,Indiana,22,
442,8,Oct 15 2016,11:59 PM,Nevada-Las Vegas,41,@,Hawaii,38,
443,8,Oct 15 2016,3:30 PM,New Mexico,45,,Air Force,40,x
444,8,Oct 15 2016,3:30 PM,North Carolina,20,@,(16) Miami (FL),13,
445,8,Oct 15 2016,3:30 PM,Northwestern,54,@,Michigan State,40,
446,8,Oct 15 2016,8:00 PM,(2) Ohio State,30,@,(8) Wisconsin,23,
447,8,Oct 15 2016,12:00 PM,(19) Oklahoma,38,,Kansas State,17,
448,8,Oct 15 2016,12:30 PM,Pittsburgh,45,@,Virginia,31,
449,8,Oct 15 2016,10:30 PM,San Jose State,14,,Nevada,10,
450,8,Oct 15 2016,7:00 PM,South Florida,42,,Connecticut,27,
451,8,Oct 15 2016,3:30 PM,Southern California,48,@,Arizona,14,
452,8,Oct 15 2016,7:30 PM,Stanford,17,@,Notre Dame,10,
453,8,Oct 15 2016,3:45 PM,Syracuse,31,,(17) Virginia Tech,17,
454,8,Oct 15 2016,7:30 PM,Temple,26,@,Central Florida,25,
455,8,Oct 15 2016,7:00 PM,Texas,27,,Iowa State,6,
456,8,Oct 15 2016,7:00 PM,Texas-San Antonio,14,@,Rice,13,
457,8,Oct 15 2016,3:30 PM,Toledo,42,,Bowling Green State,35,
458,8,Oct 15 2016,3:30 PM,Troy,31,,Georgia State,21,
459,8,Oct 15 2016,4:00 PM,(21) Utah,19,@,Oregon State,14,
460,8,Oct 15 2016,12:00 PM,Vanderbilt,17,@,Georgia,16,
461,8,Oct 15 2016,10:30 PM,Washington State,27,,UCLA,21,
462,8,Oct 15 2016,12:00 PM,(20) West Virginia,48,@,Texas Tech,17,
463,8,Oct 15 2016,2:30 PM,Western Kentucky,44,@,Middle Tennessee State,43,
464,8,Oct 15 2016,3:30 PM,(24) Western Michigan,41,@,Akron,0,
465,9,Oct 20 2016,10:15 PM,(14) Boise State,28,,Brigham Young,27,
466,9,Oct 20 2016,7:30 PM,Troy,28,@,South Alabama,21,
467,9,Oct 20 2016,7:00 PM,Virginia Tech,37,,Miami (FL),16,
468,9,Oct 21 2016,10:30 PM,California,52,,Oregon,49,
469,9,Oct 21 2016,10:30 PM,San Diego State,42,,San Jose State,3,
470,9,Oct 21 2016,7:00 PM,Temple,46,,South Florida,30,
471,9,Oct 22 2016,3:00 PM,Akron,35,@,Ball State,25,
472,9,Oct 22 2016,3:30 PM,(1) Alabama,33,,(6) Texas A&amp;M,14,
473,9,Oct 22 2016,3:30 PM,Appalachian State,37,,Idaho,19,
474,9,Oct 22 2016,6:00 PM,(21) Auburn,56,,(17) Arkansas,3,
475,9,Oct 22 2016,12:00 PM,Central Florida,24,@,Connecticut,16,
476,9,Oct 22 2016,5:30 PM,Charlotte,27,@,Marshall,24,
477,9,Oct 22 2016,7:00 PM,Cincinnati,31,,East Carolina,19,
478,9,Oct 22 2016,3:00 PM,Colorado,10,@,Stanford,5,
479,9,Oct 22 2016,5:30 PM,Colorado State,42,@,Nevada-Las Vegas,23,
480,9,Oct 22 2016,8:00 PM,Georgia Southern,22,@,New Mexico State,19,
481,9,Oct 22 2016,3:30 PM,Georgia State,31,,Tennessee-Martin,6,
482,9,Oct 22 2016,2:00 PM,Hawaii,34,@,Air Force,27,
483,9,Oct 22 2016,12:00 PM,Kansas State,24,,Texas,21,
484,9,Oct 22 2016,7:30 PM,Kentucky,40,,Mississippi State,38,
485,9,Oct 22 2016,9:00 PM,(25) Louisiana State,38,,(23) Mississippi,21,
486,9,Oct 22 2016,7:00 PM,Louisiana Tech,44,@,Florida International,24,
487,9,Oct 22 2016,7:00 PM,Louisiana-Lafayette,27,@,Texas State,3,
488,9,Oct 22 2016,12:00 PM,(7) Louisville,54,,North Carolina State,13,
489,9,Oct 22 2016,7:30 PM,Maryland,28,,Michigan State,17,
490,9,Oct 22 2016,12:00 PM,Miami (OH),40,@,Bowling Green State,26,
491,9,Oct 22 2016,3:30 PM,(3) Michigan,41,,Illinois,8,
492,9,Oct 22 2016,4:00 PM,Middle Tennessee State,51,@,Missouri,45,
493,9,Oct 22 2016,12:00 PM,Minnesota,34,,Rutgers,32,
494,9,Oct 22 2016,3:30 PM,(24) Navy,42,,Memphis,28,
495,9,Oct 22 2016,3:30 PM,(8) Nebraska,27,,Purdue,14,
496,9,Oct 22 2016,9:00 PM,New Mexico,59,,Louisiana-Monroe,17,
497,9,Oct 22 2016,3:00 PM,(22) North Carolina,35,@,Virginia,14,
498,9,Oct 22 2016,12:00 PM,North Texas,35,@,Army,18,
499,9,Oct 22 2016,3:30 PM,Northern Illinois,44,,Buffalo,7,
500,9,Oct 22 2016,12:00 PM,Northwestern,24,,Indiana,14,
501,9,Oct 22 2016,1:00 PM,Ohio,14,@,Kent State,10,
502,9,Oct 22 2016,8:00 PM,(16) Oklahoma,66,@,Texas Tech,59,
503,9,Oct 22 2016,12:00 PM,Oklahoma State,44,@,Kansas,20,
504,9,Oct 22 2016,8:00 PM,Penn State,24,,(2) Ohio State,21,
505,9,Oct 22 2016,3:30 PM,Rice,65,,Prairie View A&amp;M,44,
506,9,Oct 22 2016,12:00 PM,South Carolina,34,,Massachusetts,28,
507,9,Oct 22 2016,7:00 PM,Southern Methodist,38,,(11) Houston,16,
508,9,Oct 22 2016,12:30 PM,Syracuse,28,@,Boston College,20,
509,9,Oct 22 2016,7:00 PM,Texas-El Paso,52,@,Texas-San Antonio,49,
510,9,Oct 22 2016,12:00 PM,Toledo,31,,Central Michigan,17,
511,9,Oct 22 2016,3:45 PM,Tulsa,50,,Tulane,27,
512,9,Oct 22 2016,4:00 PM,(19) Utah,52,@,UCLA,45,
513,9,Oct 22 2016,10:30 PM,Utah State,38,,Fresno State,20,
514,9,Oct 22 2016,7:30 PM,Vanderbilt,35,,Tennessee State,17,
515,9,Oct 22 2016,6:30 PM,(5) Washington,41,,Oregon State,17,
516,9,Oct 22 2016,10:00 PM,Washington State,37,@,Arizona State,32,
517,9,Oct 22 2016,3:30 PM,(12) West Virginia,34,,Texas Christian,10,
518,9,Oct 22 2016,7:00 PM,Western Kentucky,59,,Old Dominion,24,
519,9,Oct 22 2016,3:30 PM,(20) Western Michigan,45,,Eastern Michigan,31,
520,9,Oct 22 2016,12:00 PM,(10) Wisconsin,17,@,Iowa,9,
521,9,Oct 22 2016,10:30 PM,Wyoming,42,@,Nevada,34,
522,10,Oct 27 2016,7:30 PM,Appalachian State,34,@,Georgia Southern,10,
523,10,Oct 27 2016,7:30 PM,Buffalo,41,,Akron,20,
524,10,Oct 27 2016,7:30 PM,Ohio,31,@,Toledo,26,
525,10,Oct 27 2016,10:30 PM,Southern California,45,,California,24,
526,10,Oct 27 2016,7:00 PM,(25) Virginia Tech,39,@,Pittsburgh,36,
527,10,Oct 28 2016,10:30 PM,Air Force,31,@,Fresno State,21,
528,10,Oct 28 2016,8:00 PM,San Diego State,40,@,Utah State,13,
529,10,Oct 28 2016,7:00 PM,South Florida,52,,(22) Navy,45,
530,10,Oct 29 2016,7:00 PM,Arkansas State,51,,Louisiana-Monroe,10,
531,10,Oct 29 2016,3:30 PM,Army,21,@,Wake Forest,13,
532,10,Oct 29 2016,7:15 PM,(15) Auburn,40,@,Mississippi,29,
533,10,Oct 29 2016,12:30 PM,Boston College,21,@,North Carolina State,14,
534,10,Oct 29 2016,8:00 PM,(3) Clemson,37,@,(12) Florida State,34,
535,10,Oct 29 2016,12:00 PM,East Carolina,41,,Connecticut,3,
536,10,Oct 29 2016,3:30 PM,(14) Florida,24,,Georgia,10,x
537,10,Oct 29 2016,12:00 PM,Georgia Tech,38,,Duke,35,
538,10,Oct 29 2016,12:00 PM,Houston,31,,Central Florida,24,
539,10,Oct 29 2016,3:30 PM,Indiana,42,,Maryland,36,
540,10,Oct 29 2016,12:00 PM,Kansas State,31,@,Iowa State,26,
541,10,Oct 29 2016,12:00 PM,Kent State,27,@,Central Michigan,24,
542,10,Oct 29 2016,12:00 PM,Kentucky,35,@,Missouri,21,
543,10,Oct 29 2016,7:00 PM,Louisiana Tech,61,,Rice,16,
544,10,Oct 29 2016,12:00 PM,(5) Louisville,32,@,Virginia,25,
545,10,Oct 29 2016,12:00 PM,Massachusetts,34,,Wagner,10,
546,10,Oct 29 2016,3:30 PM,Miami (OH),28,@,Eastern Michigan,15,
547,10,Oct 29 2016,12:00 PM,(2) Michigan,32,@,Michigan State,23,
548,10,Oct 29 2016,7:00 PM,Middle Tennessee State,42,@,Florida International,35,
549,10,Oct 29 2016,12:00 PM,Minnesota,40,@,Illinois,17,
550,10,Oct 29 2016,3:30 PM,Mississippi State,56,,Samford,41,
551,10,Oct 29 2016,11:59 PM,New Mexico,28,@,Hawaii,21,
552,10,Oct 29 2016,3:30 PM,Notre Dame,30,,Miami (FL),27,
553,10,Oct 29 2016,3:30 PM,(6) Ohio State,24,,Northwestern,20,
554,10,Oct 29 2016,7:00 PM,(16) Oklahoma,56,,Kansas,3,
555,10,Oct 29 2016,12:00 PM,Oklahoma State,37,,(10) West Virginia,20,
556,10,Oct 29 2016,8:00 PM,Old Dominion,31,@,Texas-El Paso,21,
557,10,Oct 29 2016,5:00 PM,Oregon,54,,Arizona State,35,
558,10,Oct 29 2016,12:00 PM,(24) Penn State,62,@,Purdue,24,
559,10,Oct 29 2016,10:30 PM,San Jose State,30,,Nevada-Las Vegas,24,
560,10,Oct 29 2016,5:00 PM,South Alabama,13,,Georgia State,10,
561,10,Oct 29 2016,7:15 PM,South Carolina,24,,(18) Tennessee,21,
562,10,Oct 29 2016,4:00 PM,Southern Methodist,35,@,Tulane,31,
563,10,Oct 29 2016,7:00 PM,Southern Mississippi,24,,Marshall,14,
564,10,Oct 29 2016,11:00 PM,Stanford,34,@,Arizona,10,
565,10,Oct 29 2016,3:30 PM,Temple,34,,Cincinnati,13,
566,10,Oct 29 2016,3:30 PM,Texas,35,,(8) Baylor,34,
567,10,Oct 29 2016,7:30 PM,(9) Texas A&amp;M,52,,New Mexico State,10,
568,10,Oct 29 2016,3:30 PM,Texas Tech,27,@,Texas Christian,24,
569,10,Oct 29 2016,7:00 PM,Texas-San Antonio,31,,North Texas,17,
570,10,Oct 29 2016,8:00 PM,Tulsa,59,@,Memphis,30,
571,10,Oct 29 2016,3:30 PM,(4) Washington,31,@,(17) Utah,24,
572,10,Oct 29 2016,10:45 PM,Washington State,35,@,Oregon State,31,
573,10,Oct 29 2016,3:30 PM,Western Kentucky,52,@,Florida Atlantic,3,
574,10,Oct 29 2016,7:00 PM,(11) Wisconsin,23,,(7) Nebraska,17,
575,10,Oct 29 2016,7:00 PM,Wyoming,30,,(13) Boise State,28,
576,11,Nov 1 2016,8:00 PM,Northern Illinois,45,,Bowling Green State,20,
577,11,Nov 1 2016,8:00 PM,(17) Western Michigan,52,@,Ball State,20,
578,11,Nov 2 2016,7:30 PM,Toledo,48,@,Akron,17,
579,11,Nov 3 2016,7:30 PM,Arkansas State,31,@,Georgia State,16,
580,11,Nov 3 2016,9:00 PM,(21) Colorado,20,,UCLA,10,
581,11,Nov 3 2016,6:00 PM,Ohio,34,,Buffalo,10,
582,11,Nov 3 2016,7:30 PM,(12) Oklahoma,34,@,Iowa State,24,
583,11,Nov 4 2016,10:15 PM,(24) Boise State,45,,San Jose State,31,
584,11,Nov 4 2016,6:00 PM,Miami (OH),37,,Central Michigan,17,
585,11,Nov 4 2016,7:00 PM,Temple,21,@,Connecticut,0,
586,11,Nov 5 2016,12:00 PM,Air Force,31,@,Army,12,
587,11,Nov 5 2016,8:00 PM,(1) Alabama,10,@,(15) Louisiana State,0,
588,11,Nov 5 2016,3:30 PM,Appalachian State,35,,Texas State,10,
589,11,Nov 5 2016,3:30 PM,Arkansas,31,,(10) Florida,10,
590,11,Nov 5 2016,12:00 PM,(11) Auburn,23,,Vanderbilt,16,
591,11,Nov 5 2016,3:30 PM,Brigham Young,20,@,Cincinnati,3,
592,11,Nov 5 2016,5:00 PM,Central Florida,37,,Tulane,6,
593,11,Nov 5 2016,3:30 PM,Charlotte,38,@,Southern Mississippi,27,
594,11,Nov 5 2016,3:30 PM,(3) Clemson,54,,Syracuse,0,
595,11,Nov 5 2016,3:30 PM,Colorado State,37,,Fresno State,0,
596,11,Nov 5 2016,3:30 PM,Florida Atlantic,42,@,Rice,25,
597,11,Nov 5 2016,7:00 PM,(19) Florida State,24,@,North Carolina State,20,
598,11,Nov 5 2016,7:30 PM,Georgia,27,@,Kentucky,24,
599,11,Nov 5 2016,5:00 PM,Idaho,23,@,Louisiana-Lafayette,13,
600,11,Nov 5 2016,12:00 PM,Illinois,31,,Michigan State,27,
601,11,Nov 5 2016,12:00 PM,Indiana,33,@,Rutgers,27,
602,11,Nov 5 2016,5:30 PM,Louisiana Tech,45,@,North Texas,24,
603,11,Nov 5 2016,5:00 PM,Louisiana-Monroe,42,,South Alabama,35,
604,11,Nov 5 2016,12:00 PM,(5) Louisville,52,@,Boston College,7,
605,11,Nov 5 2016,4:00 PM,Memphis,51,@,Southern Methodist,7,
606,11,Nov 5 2016,12:30 PM,Miami (FL),51,,Pittsburgh,28,
607,11,Nov 5 2016,3:30 PM,(2) Michigan,59,,Maryland,3,
608,11,Nov 5 2016,3:30 PM,Minnesota,44,,Purdue,31,
609,11,Nov 5 2016,12:00 PM,Mississippi,37,,Georgia Southern,27,
610,11,Nov 5 2016,12:00 PM,Mississippi State,35,,(7) Texas A&amp;M,28,
611,11,Nov 5 2016,11:30 AM,Navy,28,,Notre Dame,27,x
612,11,Nov 5 2016,10:15 PM,New Mexico,35,,Nevada,26,
613,11,Nov 5 2016,12:30 PM,(18) North Carolina,48,,Georgia Tech,20,
614,11,Nov 5 2016,8:00 PM,(6) Ohio State,62,,(9) Nebraska,3,
615,11,Nov 5 2016,3:30 PM,(22) Oklahoma State,43,@,Kansas State,37,
616,11,Nov 5 2016,7:00 PM,Old Dominion,38,,Marshall,14,
617,11,Nov 5 2016,7:30 PM,(20) Penn State,41,,Iowa,14,
618,11,Nov 5 2016,7:00 PM,San Diego State,55,,Hawaii,0,
619,11,Nov 5 2016,4:00 PM,South Carolina,31,,Missouri,21,
620,11,Nov 5 2016,7:00 PM,Southern California,45,,Oregon,20,
621,11,Nov 5 2016,3:30 PM,Stanford,26,,Oregon State,15,
622,11,Nov 5 2016,4:00 PM,Tennessee,55,,Tennessee Tech,0,
623,11,Nov 5 2016,12:00 PM,Texas,45,@,Texas Tech,37,
624,11,Nov 5 2016,3:30 PM,Texas Christian,62,@,(13) Baylor,22,
625,11,Nov 5 2016,8:00 PM,Texas-El Paso,42,,Houston Baptist,10,
626,11,Nov 5 2016,2:30 PM,Texas-San Antonio,45,@,Middle Tennessee State,25,
627,11,Nov 5 2016,3:30 PM,Troy,52,,Massachusetts,31,
628,11,Nov 5 2016,8:00 PM,Tulsa,45,,East Carolina,24,
629,11,Nov 5 2016,3:30 PM,(23) Virginia Tech,24,@,Duke,21,
630,11,Nov 5 2016,3:00 PM,Wake Forest,27,,Virginia,20,
631,11,Nov 5 2016,10:30 PM,(4) Washington,66,@,California,27,
632,11,Nov 5 2016,4:00 PM,(25) Washington State,69,,Arizona,7,
633,11,Nov 5 2016,7:00 PM,(14) West Virginia,48,,Kansas,21,
634,11,Nov 5 2016,5:30 PM,Western Kentucky,49,,Florida International,21,
635,11,Nov 5 2016,12:00 PM,(8) Wisconsin,21,@,Northwestern,7,
636,11,Nov 5 2016,10:15 PM,Wyoming,52,,Utah State,28,
637,12,Nov 8 2016,7:00 PM,Eastern Michigan,48,@,Ball State,41,
638,12,Nov 8 2016,7:30 PM,(14) Western Michigan,37,@,Kent State,21,
639,12,Nov 9 2016,8:00 PM,Bowling Green State,38,@,Akron,28,
640,12,Nov 9 2016,8:00 PM,Toledo,31,,Northern Illinois,24,
641,12,Nov 10 2016,7:30 PM,Duke,28,,(15) North Carolina,27,
642,12,Nov 10 2016,7:30 PM,Louisiana-Lafayette,33,@,Georgia Southern,26,
643,12,Nov 10 2016,9:30 PM,(13) Utah,49,@,Arizona State,26,
644,12,Nov 11 2016,7:30 PM,(20) Florida State,45,,Boston College,7,
645,12,Nov 12 2016,10:15 PM,Air Force,49,,Colorado State,46,
646,12,Nov 12 2016,12:00 PM,(1) Alabama,51,,Mississippi State,3,
647,12,Nov 12 2016,3:00 PM,Arkansas State,41,,New Mexico State,22,
648,12,Nov 12 2016,7:00 PM,(24) Boise State,52,@,Hawaii,16,
649,12,Nov 12 2016,3:00 PM,Brigham Young,37,,Southern Utah,7,
650,12,Nov 12 2016,12:00 PM,Central Florida,24,,Cincinnati,3,
651,12,Nov 12 2016,10:00 PM,(16) Colorado,49,@,Arizona,24,
652,12,Nov 12 2016,12:00 PM,(22) Florida,20,,South Carolina,7,
653,12,Nov 12 2016,6:00 PM,Florida Atlantic,35,,Texas-El Paso,31,
654,12,Nov 12 2016,3:30 PM,Georgia,13,,(8) Auburn,7,
655,12,Nov 12 2016,3:30 PM,Georgia Tech,30,@,(18) Virginia Tech,20,
656,12,Nov 12 2016,3:30 PM,Houston,30,,Tulane,18,
657,12,Nov 12 2016,4:00 PM,Idaho,47,@,Texas State,14,
658,12,Nov 12 2016,8:00 PM,Iowa,14,,(2) Michigan,13,
659,12,Nov 12 2016,12:00 PM,Iowa State,31,@,Kansas,24,
660,12,Nov 12 2016,7:00 PM,(19) Louisiana State,38,@,Arkansas,10,
661,12,Nov 12 2016,3:30 PM,Louisiana Tech,63,,Texas-San Antonio,35,
662,12,Nov 12 2016,2:00 PM,Louisiana-Monroe,37,@,Georgia State,23,
663,12,Nov 12 2016,7:00 PM,(5) Louisville,44,,Wake Forest,12,
664,12,Nov 12 2016,7:00 PM,Marshall,42,,Middle Tennessee State,17,
665,12,Nov 12 2016,2:00 PM,Miami (FL),34,@,Virginia,14,
666,12,Nov 12 2016,1:00 PM,Miami (OH),35,@,Buffalo,24,
667,12,Nov 12 2016,12:00 PM,Michigan State,49,,Rutgers,0,
668,12,Nov 12 2016,7:30 PM,Mississippi,29,@,(10) Texas A&amp;M,28,
669,12,Nov 12 2016,3:30 PM,Missouri,26,,Vanderbilt,17,
670,12,Nov 12 2016,12:00 PM,Navy,42,,Tulsa,40,
671,12,Nov 12 2016,7:30 PM,(21) Nebraska,24,,Minnesota,17,
672,12,Nov 12 2016,3:30 PM,Nevada-Las Vegas,69,,Wyoming,66,
673,12,Nov 12 2016,10:15 PM,New Mexico,24,@,Utah State,21,
674,12,Nov 12 2016,12:30 PM,North Carolina State,35,@,Syracuse,20,
675,12,Nov 12 2016,12:00 PM,Northwestern,45,@,Purdue,17,
676,12,Nov 12 2016,3:30 PM,Notre Dame,44,,Army,6,
677,12,Nov 12 2016,3:30 PM,(6) Ohio State,62,@,Maryland,3,
678,12,Nov 12 2016,12:00 PM,(9) Oklahoma,45,,(25) Baylor,24,
679,12,Nov 12 2016,3:30 PM,(17) Oklahoma State,45,,Texas Tech,44,
680,12,Nov 12 2016,3:30 PM,Old Dominion,51,,Southern Mississippi,35,
681,12,Nov 12 2016,12:00 PM,(12) Penn State,45,@,Indiana,31,
682,12,Nov 12 2016,3:30 PM,Pittsburgh,43,@,(3) Clemson,42,
683,12,Nov 12 2016,2:00 PM,Rice,22,@,Charlotte,21,
684,12,Nov 12 2016,10:30 PM,San Diego State,46,@,Nevada,16,
685,12,Nov 12 2016,7:00 PM,South Florida,49,@,Memphis,42,
686,12,Nov 12 2016,7:30 PM,Southern California,26,@,(4) Washington,13,
687,12,Nov 12 2016,12:00 PM,Southern Methodist,55,@,East Carolina,31,
688,12,Nov 12 2016,4:00 PM,Stanford,52,@,Oregon,27,
689,12,Nov 12 2016,12:00 PM,Tennessee,49,,Kentucky,36,
690,12,Nov 12 2016,3:30 PM,Troy,28,,Appalachian State,24,
691,12,Nov 12 2016,9:00 PM,UCLA,38,,Oregon State,24,
692,12,Nov 12 2016,10:30 PM,(23) Washington State,56,,California,21,
693,12,Nov 12 2016,12:00 PM,(11) West Virginia,24,@,Texas,20,
694,12,Nov 12 2016,3:30 PM,Western Kentucky,45,,North Texas,7,
695,12,Nov 12 2016,3:30 PM,(7) Wisconsin,48,,Illinois,3,
696,13,Nov 15 2016,7:00 PM,Bowling Green State,42,,Kent State,7,
697,13,Nov 15 2016,7:00 PM,Central Michigan,27,,Ohio,20,
698,13,Nov 16 2016,8:00 PM,Northern Illinois,31,@,Eastern Michigan,24,
699,13,Nov 16 2016,7:00 PM,Toledo,37,,Ball State,19,
700,13,Nov 17 2016,9:30 PM,Arkansas State,35,@,(25) Troy,3,
