"","V1","V2","V3","V4","V5","V6"
"1","Arizona","Texas-San Antonio","10","1","",""
"2","Ball State","Virginia Military Institute","12","1","",""
"3","Connecticut","Villanova","5","1","",""
"4","Tulane","Duke","-30","1"," A 55 A -3"," H 14 A -41"
"5","Central Florida","Florida International","-1","1","",""
"6","Fresno State","Abilene Christian","21","1","",""
"7","Georgia Tech","Alcorn State","63","1","",""
"8","Hawaii","Colorado","8","1","",""
"9","Nevada","California-Davis","14","1","",""
"10","Idaho","Ohio","-17","1","",""
"11","Central Michigan","Oklahoma State","-11","1","",""
"12","San Jose State","New Hampshire","30","1","",""
"13","0","0","0","0","0","0"
"14","Minnesota","Texas Christian","-6","1","",""
"15","Utah","Michigan","7","1"," H 15"," H 28"
"16","Utah State","Southern Utah","3","1","",""
"17","Wake Forest","Elon","38","1","",""
"18","Vanderbilt","Western Kentucky","-2","1"," A -4"," H 30"
"19","Southern Methodist","Baylor","-35","1"," A 19"," A 7"
"20","Boise State","Washington","3","1"," A 26"," H 14"
"21","Georgia State","Charlotte","-3","1","",""
"22","Army","Fordham","-2","1","",""
"23","Western Michigan","Michigan State","-13","1"," A 26 H 2"," A -3 H 20"
"24","Oregon State","Weber State","19","1","",""
"25","Syracuse","Rhode Island","47","1","",""
"26","Air Force","Morgan State","56","1","",""
"27","0","0","0","0","0","0"
"28","Appalachian State","Howard","49","1","",""
"29","Arkansas","Texas-El Paso","35","1"," H -11"," A 49"
"30","0","0","0","0","0","0"
"31","Boston College","Maine","21","1","",""
"32","Nebraska","Brigham Young","-5","1","",""
"33","Buffalo","Albany","37","1","",""
"34","California","Grambling State","59","1","",""
"35","Cincinnati","Alabama A&M","42","1","",""
"36","Clemson","Wofford","39","1","",""
"37","Colorado State","Savannah State","52","1","",""
"38","East Carolina","Towson","8","1","",""
"39","Florida","New Mexico State","48","1"," H 28"," A 49"
"40","Florida State","Texas State","43","1","",""
"41","Georgia","Louisiana-Monroe","37","1"," H -28 H 6"," A 34 H -20"
"42","Houston","Tennessee Tech","28","1","",""
"43","Illinois","Kent State","49","1","",""
"44","Indiana","Southern Illinois","1","1","",""
"45","Iowa","Illinois State","17","1","",""
"46","Iowa State","Northern Iowa","24","1","",""
"47","Kansas State","South Dakota","34","1","",""
"48","Kentucky","Louisiana","7","1","",""
"49","Louisiana Tech","Southern","47","1","",""
"50","Maryland","Richmond","29","1","",""
"51","Memphis","Missouri State","56","1","",""
"52","Miami (FL)","Bethune-Cookman","45","1","",""
"53","Miami (OH)","Presbyterian","19","1","",""
"54","Middle Tennessee State","Jackson State","56","1","",""
"55","Mississippi","Tennessee-Martin","73","1","",""
"56","Southern Mississippi","Mississippi State","-18","1"," A -34"," H 25"
"57","Missouri","Southeast Missouri State","31","1","",""
"58","Navy","Colgate","38","1","",""
"59","New Mexico","Mississippi Valley State","66","1","",""
"60","North Carolina State","Troy","28","1"," A -50"," H -6"
"61","Wyoming","North Dakota","-11","1","",""
"62","Northern Illinois","Nevada-Las Vegas","8","1","",""
"63","Northwestern","Stanford","10","1","",""
"64","Notre Dame","Texas","35","1","",""
"65","Oklahoma","Akron","38","1","",""
"66","Eastern Michigan","Old Dominion","-4","1","",""
"67","Oregon","Eastern Washington","19","1","",""
"68","Pittsburgh","Youngstown State","8","1","",""
"69","Washington State","Portland State","-7","1","",""
"70","Rice","Wagner","40","1","",""
"71","Rutgers","Norfolk State","50","1","",""
"72","San Diego State","San Diego","34","1","",""
"73","South Alabama","Gardner-Webb","10","1","",""
"74","Kansas","South Dakota State","-3","1","",""
"75","South Florida","Florida A&M","48","1","",""
"76","Southern California","Arkansas State","49","1"," H 50"," H 14"
"77","Temple","Penn State","17","1","",""
"78","0","0","0","0","0","0"
"79","0","0","0","0","0","0"
"80","Texas Tech","Sam Houston State","14","1","",""
"81","Tulsa","Florida Atlantic","3","1","",""
"82","UCLA","Virginia","18","1","",""
"83","West Virginia","Georgia Southern","44","1","",""
"84","Marshall","Purdue","10","1","",""
"85","Virginia Tech","Ohio State","-18","1","",""
"86","Western Kentucky","Louisiana Tech","3","2"," A -39 H 30 A -27 A -56"," A -25 H 29 H 43 H 10"
"87","Florida Atlantic","Miami (FL)","-24","2","",""
"88","Utah","Utah State","10","2"," A -21 A -11"," A -42 A 14"
"89","Air Force","San Jose State","21","2"," H 28 A -51 A 12"," H 26 A -19 H 10"
"90","Alabama","Middle Tennessee State","27","2","",""
"91","Nevada","Arizona","-24","2","",""
"92","Arizona State","Cal Poly","14","2","",""
"93","Auburn","Jacksonville State","7","2","",""
"94","Baylor","Lamar","35","2","",""
"95","Boston College","Howard","76","2","",""
"96","Maryland","Bowling Green State","-21","2","",""
"97","Brigham Young","Boise State","11","2","",""
"98","California","San Diego State","28","2","",""
"99","Central Michigan","Monmouth","21","2","",""
"100","Charlotte","Presbyterian","24","2","",""
"101","Clemson","Appalachian State","31","2","",""
"102","Colorado","Massachusetts","34","2","",""
"103","Connecticut","Army","5","2"," A -4"," H -3"
"104","Duke","North Carolina Central","55","2","",""
"105","Wyoming","Eastern Michigan","-19","2","",""
"106","Florida","East Carolina","7","2","",""
"107","Florida State","South Florida","20","2"," H 24"," H 21"
"108","Vanderbilt","Georgia","-17","2"," A 9 H 7 H 4"," H 32 H 3 H 24"
"109","Georgia Southern","Western Michigan","26","2","",""
"110","New Mexico State","Georgia State","-2","2"," H -45 A -10 A -3 H -24"," H 10 A -22 H -2 A 14"
"111","Georgia Tech","Tulane","55","2"," A 14"," H -30"
"112","Louisville","Houston","-3","2","",""
"113","Illinois","Western Illinois","44","2","",""
"114","Indiana","Florida International","14","2","",""
"115","Iowa State","Iowa","-14","2","",""
"116","Texas-San Antonio","Kansas State","-27","2"," A 55 H -3"," A 2 H 6"
"117","Kent State","Delaware State","32","2","",""
"118","South Carolina","Kentucky","-4","2"," A 32 A 14 H 9 A 3 H -10"," A 24 H 8 A 4 H -31 H -5"
"119","Louisiana","Northwestern State","27","2","",""
"120","Mississippi State","Louisiana State","-2","2"," A -8 H -25 A -1"," H 24 A 14 H -17"
"121","Louisiana-Monroe","Nicholls State","47","2","",""
"122","Kansas","Memphis","-32","2","",""
"123","Michigan","Oregon State","28","2"," A 7"," A 15"
"124","Michigan State","Oregon","3","2","",""
"125","Colorado State","Minnesota","-3","2","",""
"126","Mississippi","Fresno State","52","2","",""
"127","Arkansas State","Missouri","-7","2","",""
"128","Nebraska","South Alabama","39","2","",""
"129","North Carolina","North Carolina A&T","39","2","",""
"130","North Carolina State","Eastern Kentucky","35","2","",""
"131","Northern Illinois","Murray State","31","2","",""
"132","Northwestern","Eastern Illinois","41","2","",""
"133","Virginia","Notre Dame","-7","2"," A 7 H 6"," A -12 H 8"
"134","Ohio","Marshall","11","2"," H 27"," A -7"
"135","Ohio State","Hawaii","38","2","",""
"136","Tennessee","Oklahoma","-7","2","",""
"137","Oklahoma State","Central Arkansas","24","2","",""
"138","Old Dominion","Norfolk State","14","2","",""
"139","Penn State","Buffalo","13","2","",""
"140","Akron","Pittsburgh","-17","2","",""
"141","Purdue","Indiana State","24","2","",""
"142","Southern California","Idaho","50","2"," H 49"," A 14"
"143","Southern Methodist","North Texas","18","2","",""
"144","Southern Mississippi","Austin Peay","46","2","",""
"145","Stanford","Central Florida","24","2","",""
"146","Syracuse","Wake Forest","13","2"," A 24 A 24 H -10 A 13"," H -8 H -1 A 20 H -18"
"147","Cincinnati","Temple","-8","2"," A 7 H 24 H 45 A 38"," H 19 H 24 H 14 A 21"
"148","Texas","Rice","14","2","",""
"149","Texas A&M","Ball State","33","2","",""
"150","Texas Christian","Stephen F. Austin","63","2","",""
"151","Texas State","Prairie View A&M","39","2","",""
"152","Texas Tech","Texas-El Paso","49","2"," A -11"," A 35"
"153","0","0","0","0","0","0"
"154","Troy","Charleston Southern","28","2","",""
"155","New Mexico","Tulsa","-19","2","",""
"156","Nevada-Las Vegas","UCLA","-34","2","",""
"157","Virginia Tech","Furman","39","2","",""
"158","Washington","Sacramento State","49","2","",""
"159","Rutgers","Washington State","-3","2","",""
"160","West Virginia","Liberty","24","2","",""
"161","Wisconsin","Miami (OH)","58","2","",""
"162","Louisville","Clemson","-3","3"," A -7 A 20 H 3 A -1 H 24"," A -15 H 10 H 17 H 20 A -10"
"163","Arizona State","New Mexico","24","3","",""
"164","Boise State","Idaho State","52","3","",""
"165","Boston College","Florida State","-14","3"," H -3 A 17 A 3 H -16"," A -8 A 10 H 20 H 17"
"166","Akron","Savannah State","43","3","",""
"167","Arizona","Northern Arizona","64","3","",""
"168","Arkansas State","Missouri State","63","3","",""
"169","Eastern Michigan","Ball State","-11","3"," A 43 A 28 H -30 H -11"," H -14 A 18 A 47 H 10"
"170","Florida Atlantic","Buffalo","-18","3","",""
"171","Texas","California","-1","3","",""
"172","Miami (OH)","Cincinnati","-4","3","",""
"173","0","0","0","0","0","0"
"174","Kentucky","Florida","-5","3"," A -4 H 8 H -31 A 4"," A -10 A -18 H 1 H 2"
"175","Florida International","North Carolina Central","25","3","",""
"176","Central Florida","Furman","-1","3","",""
"177","Georgia","South Carolina","32","3"," A -17 A 7 H 3 H 24"," H 9 A 3 A 14 H -4"
"178","Georgia Southern","Citadel","35","3","",""
"179","Hawaii","California-Davis","20","3","",""
"180","Idaho","Wofford","3","3","",""
"181","Indiana","Western Kentucky","3","3"," H 14"," A -56"
"182","Iowa","Pittsburgh","3","3","",""
"183","Kansas State","Louisiana Tech","6","3"," A -27"," A -3"
"184","Louisiana State","Auburn","24","3"," A -2 H -17 A 21"," H -8 A 8 H -8"
"185","Marshall","Norfolk State","38","3","",""
"186","Maryland","South Florida","18","3","",""
"187","Bowling Green State","Memphis","-3","3","",""
"188","Miami (FL)","Nebraska","3","3","",""
"189","Michigan","Nevada-Las Vegas","21","3","",""
"190","Michigan State","Air Force","14","3","",""
"191","Middle Tennessee State","Charlotte","59","3"," H 8 H 3 A -7"," A 17 H -24 H -10"
"192","Minnesota","Kent State","3","3"," H 3 H 9"," A 27 A 49"
"193","Alabama","Mississippi","-6","3"," H 13 A -18 H 14"," H -1 H 20 H 21"
"194","Mississippi State","Northwestern State","49","3","",""
"195","Missouri","Connecticut","3","3","",""
"196","Navy","East Carolina","24","3"," A -10 H 12 H 41 A -23"," A 18 H -5 A -26 H 13"
"197","North Carolina","Illinois","34","3","",""
"198","Old Dominion","North Carolina State","-24","3","",""
"199","Duke","Northwestern","-9","3","",""
"200","Notre Dame","Georgia Tech","8","3"," A -7 A 2 A -12"," A 6 A 19 H -3"
"201","Ohio","Southeastern Louisiana","21","3","",""
"202","Ohio State","Northern Illinois","7","3"," H 26"," H 8"
"203","Oklahoma","Tulsa","14","3","",""
"204","Oklahoma State","Texas-San Antonio","55","3"," H 2"," H -27"
"205","Oregon","Georgia State","33","3","",""
"206","Oregon State","San Jose State","14","3","",""
"207","Penn State","Rutgers","25","3"," H 6 H 22 A 28 H -12"," A -10 A -3 H -42 A 33"
"208","North Texas","Rice","-14","3"," A 35 H -27 H 7 A 43"," H -55 H -39 A 10 H -25"
"209","San Diego State","South Alabama","-7","3","",""
"210","Texas State","Southern Mississippi","-6","3","",""
"211","Southern California","Stanford","-10","3"," H -5 A -6 H 8 A -3 A 20"," H 17 H 13 H 38 A -32 H -2"
"212","Syracuse","Central Michigan","3","3","",""
"213","Massachusetts","Temple","-2","3"," A 35"," H -4"
"214","Tennessee","Western Carolina","45","3","",""
"215","Texas A&M","Nevada","17","3","",""
"216","Texas Christian","Southern Methodist","19","3","",""
"217","Arkansas","Texas Tech","-11","3"," H 35"," H 49"
"218","New Mexico State","Texas-El Paso","-3","3","",""
"219","Toledo","Iowa State","7","3","",""
"220","Tulane","Maine","31","3","",""
"221","UCLA","Brigham Young","1","3","",""
"222","Fresno State","Utah","-21","3"," H -42"," H 10"
"223","Vanderbilt","Austin Peay","40","3","",""
"224","Virginia","William & Mary","6","3","",""
"225","Purdue","Virginia Tech","-27","3","",""
"226","Army","Wake Forest","-3","3","",""
"227","Washington","Utah State","14","3"," A 3 H -11"," H 26 A 10"
"228","Washington State","Wyoming","17","3","",""
"229","Western Michigan","Murray State","32","3","",""
"230","Wisconsin","Troy","25","3","",""
"231","Memphis","Cincinnati","7","4"," A -7 A -24 A 1 A 19"," A 38 H 11 A 3 H -8"
"232","Virginia","Boise State","-42","4","",""
"233","Oregon State","Stanford","-18","4"," A 37 A 21 H -4 H -41 A 30 H -45"," H 38 A -2 A -32 H 21 H 13 H 17"
"234","Louisiana","Akron","-21","4","",""
"235","Alabama","Louisiana-Monroe","34","4"," A -28"," A 37"
"236","Old Dominion","Appalachian State","-49","4","",""
"237","Eastern Michigan","Army","-22","4","",""
"238","Baylor","Rice","53","4","",""
"239","Boston College","Northern Illinois","3","4","",""
