"","V1","V2","V3","V4","V5","V6"
"1","Florida State","Brigham Young","26","1"," H 34"," A -3"
"2","Kansas State","Iowa","20","1"," H 46 H 1"," H -10 A 29"
"3","Louisiana Tech","Mississippi Valley State","53","1","",""
"4","Texas Tech","New Mexico","21","1","",""
"5","0","0","0","0","0","0"
"6","Wake Forest","Appalachian State","-4","2","",""
"7","San Diego State","Arizona State","-3","2"," H -12"," H 3"
"8","Auburn","Wyoming","14","2","",""
"9","North Texas","Baylor","-13","2"," A 6"," A 28"
"10","Marshall","Southeast Missouri State","56","2","",""
"11","Miami (FL)","McNeese State","47","2","",""
"12","Northwestern","Northern Illinois","18","2","",""
"13","Wisconsin","Western Michigan","12","2"," A -6"," A -6"
"14","Air Force","Cal State Northridge","49","2","",""
"15","Utah","Arizona","-14","2"," H -17 A -14"," H 6 H 14"
"16","Arkansas","Missouri State","38","2","",""
"17","New Mexico","Boise State","-17","2"," A -3"," A -3"
"18","Virginia","Brigham Young","-3","2"," A 34"," A 26"
"19","Clemson","Citadel","38","2","",""
"20","0","0","0","0","0","0"
"21","Duke","East Carolina","-38","2","",""
"22","Eastern Michigan","Connecticut","7","2","",""
"23","Florida","Ball State","21","2","",""
"24","Georgia","Georgia Southern","22","2","",""
"25","Georgia Tech","Central Florida","4","2","",""
"26","Illinois","Middle Tennessee State","29","2","",""
"27","Iowa State","Ohio","10","2","",""
"28","Kansas State","Louisiana Tech","44","2","",""
"29","Louisiana State","Western Carolina","58","2","",""
"30","Louisville","Kentucky","6","2","",""
"31","Vanderbilt","Miami (OH)","-3","2","",""
"32","Michigan","Bowling Green State","35","2","",""
"33","Minnesota","Louisiana-Monroe","37","2","",""
"34","Mississippi","Tulane","29","2","",""
"35","Memphis","Mississippi State","-14","2","",""
"36","Missouri","Western Illinois","30","2","",""
"37","Nebraska","San Jose State","36","2","",""
"38","North Carolina","Tulsa","21","2","",""
"39","North Carolina State","Arkansas State","7","2","",""
"40","Notre Dame","Texas A&M","14","2","",""
"41","Ohio State","Fresno State","33","2","",""
"42","Oklahoma","Texas-El Paso","41","2"," H 28 A -4"," H 17 A 28"
"43","Oregon","Nevada","29","2","",""
"44","Oregon State","Eastern Washington","2","2","",""
"45","Pittsburgh","Kent State","23","2"," A -18"," H -7"
"46","Purdue","Central Michigan","48","2"," H 35"," H -3"
"47","Rice","Houston","3","2"," H 29"," H 2"
"48","Rutgers","Villanova","13","2","",""
"49","Louisiana","Sam Houston State","-7","2","",""
"50","South Carolina","New Mexico State","31","2"," H 11"," A 37"
"51","South Florida","Jacksonville State","40","2","",""
"52","Southern Methodist","Kansas","14","2","",""
"53","Washington State","Stanford","-14","2"," A 6 H -3 A 29 A -6"," H -24 H 22 A 32 H 2"
"54","Syracuse","Buffalo","56","2","",""
"55","Navy","Temple","-11","2"," A 41 H -7"," A 28 A -34"
"56","Tennessee","Southern Mississippi","3","2"," H 10 A -2"," A -21 H 21"
"57","Texas Tech","Utah State","22","2"," H 6"," A -5"
"58","Penn State","Toledo","-18","2","",""
"59","UCLA","Alabama","11","2","",""
"60","Virginia Tech","Akron","29","2"," A -23"," H 11"
"61","Washington","Idaho","24","2"," A 7"," A 29"
"62","West Virginia","Boston College","20","2"," A -5 A 28 H -14 H -4 A -7"," H 28 H -14 A 12 H 7 H 29"
"63","Cincinnati","Army","6","2"," A 5 H 17 A 14 H 12 A -3"," H 4 A 1 A 21 H -20 H -10"
"64","Alabama-Birmingham","Chattanooga","5","3","",""
"65","East Carolina","Virginia Tech","-17","3"," H 17 A 18"," A -8 H 28"
"66","Air Force","Brigham Young","8","3"," A 21 A -17 H -6 H 4"," H 3 H 12 H 24 A 24"
"67","Alabama","Vanderbilt","18","3"," H 10 H 38"," H -16 H -5"
"68","Mississippi","Auburn","-8","3"," A -5 A -14 H -11 A 18"," H 33 H 2 H 17 H 3"
"69","Boise State","Northern Iowa","25","3","",""
"70","Army","Boston College","-38","3","",""
"71","California","Utah","3","3"," H -4"," H -17"
"72","Central Florida","Northwestern State","12","3","",""
"73","Central Michigan","Akron","10","3"," A 49"," A -3"
"74","Cincinnati","Syracuse","2","3","",""
"75","Clemson","Missouri","53","3","",""
"76","Colorado State","East Tennessee State","34","3","",""
"77","Connecticut","Colgate","30","3","",""
"78","Florida","Middle Tennessee State","55","3"," A 12"," A 26"
"79","Georgia Tech","Florida State","-5","3"," A 7 A -14 H 32 H 35 A -3 H 35 A -13"," A -44 H 49 A -29 H 49 H 47 H 34 A -52"
"80","San Diego State","Illinois","-36","3","",""
"81","Iowa State","Nevada-Las Vegas","15","3","",""
"82","Kentucky","South Florida","18","3","",""
"83","Louisiana State","Houston","15","3","",""
"84","Louisville","Grambling State","52","3","",""
"85","Maryland","Temple","7","3"," A 13"," H -5"
"86","Memphis","Louisiana-Monroe","28","3"," H -2"," A 67"
"87","Eastern Michigan","Miami (OH)","-17","3"," A 19 A 14"," H -5 H 14"
"88","Michigan","Rice","31","3","",""
"89","Michigan State","Marshall","10","3","",""
"90","Idaho","Montana","-7","3","",""
"91","Notre Dame","Nebraska","-3","3","",""
"92","Wake Forest","North Carolina","-21","3"," A 48 H -17 A 32 A 30 H -29"," H -14 A 11 H -14 H 3 A 49"
"93","Indiana","North Carolina State","-3","3","",""
"94","Northern Illinois","Illinois State","52","3","",""
"95","Northwestern","Duke","33","3","",""
"96","Minnesota","Ohio","-6","3","",""
"97","Arizona","Ohio State","-10","3","",""
"98","Oklahoma","Arkansas State","38","3","",""
"99","Tulsa","Oklahoma State","-10","3","",""
"100","New Mexico","Oregon State","-8","3"," H -1"," H 32"
"101","Penn State","Louisiana Tech","60","3","",""
"102","Bowling Green State","Pittsburgh","-18","3"," A 17 A -7"," A -7 H 23"
"103","Hawaii","Portland State","-25","3","",""
"104","Purdue","Kent State","35","3"," H 48"," A -3"
"105","Rutgers","Buffalo","59","3","",""
"106","Stanford","San Jose State","-13","3"," H 2"," A 10"
"107","South Carolina","Georgia","11","3"," H 31 A -3 H 20 A -16 H -3"," H 37 A -4 A -31 H 10 H 11"
"108","Southern California","Colorado","3","3","",""
"109","Texas","Louisiana","42","3"," A -12"," A 26"
"110","Texas A&M","Wyoming","48","3","",""
"111","Nevada","Texas Christian","-31","3"," A 37 H -19 H -23 A 20 H 6"," H 17 A 3 H 33 H 20 H 37"
"112","Texas Tech","North Texas","6","3"," H 22 H 26 H 28 A 5"," H -5 A -13 H -13 A 45"
"113","Texas-El Paso","Southern Methodist","17","3"," H 32 A -33 A -17 H 10 A -23 H 17"," A 15 H 4 H -25 A 7 H 14 A 29"
"114","Toledo","Weber State","51","3","",""
"115","UCLA","Fresno State","3","3"," A 8"," H 14"
"116","Utah State","Southern Utah","16","3","",""
"117","Virginia","Richmond","28","3","",""
"118","Washington","Miami (FL)","5","3","",""
"119","Ball State","Western Illinois","-10","3","",""
"120","Iowa","Western Michigan","-6","3"," H -6"," A 12"
"121","Wisconsin","Oregon","4","3","",""
"122","Brigham Young","Mississippi State","-16","4","",""
"123","Akron","Central Florida","11","4"," H -17"," A 20"
"124","Arizona","San Diego State","14","4"," A -14 H -24"," H -14 A 32"
"125","Arizona State","Colorado State","3","4"," A -3"," A -12"
"126","Arkansas","Boise State","7","4","",""
"127","Auburn","Louisiana State","17","4"," A -8 A 7 A 31"," A -11 H 7 A 32"
"128","Clemson","Wake Forest","48","4"," A -21 A -30 H 21 A -14 H -3 A 47"," H -17 H 2 A 30 H -21 A 32 H -29"
"129","Buffalo","Connecticut","-3","4"," A 35"," A -3"
"130","East Carolina","Tulane","20","4"," H 21 A -3 H 42"," A 4 A 3 H 18"
"131","Tennessee","Florida","-4","4"," A 7 A -3 H 39"," H 32 H 20 H 28"
"132","Florida State","North Carolina","49","4"," A -5 A -52 H 34 A -44 H 47 A -29"," H -14 H 3 A 11 H -18 H -14 A -21"
"133","Georgia Tech","Navy","27","4"," H 32"," H -23"
"134","Houston","Army","1","4"," A 17 A -3 A 18 A 42"," A 6 H -10 H 4 A 21"
"135","Illinois","California","2","4","",""
"136","Iowa","Iowa State","-10","4"," A 20 A 29"," A 46 H -22"
"137","Kansas","Alabama-Birmingham","3","4","",""
"138","Kansas State","Ball State","76","4","",""
"139","Kentucky","Indiana","7","4","",""
"140","Louisiana-Monroe","Nicholls State","6","4","",""
"141","Arkansas State","Memphis","-2","4","",""
"142","Missouri","Michigan State","-3","4","",""
"143","Middle Tennessee State","Murray State","16","4","",""
"144","Baylor","Minnesota","-25","4","",""
"145","Vanderbilt","Mississippi","-5","4"," A 18 A 33 A 10 A -4"," A 38 H -8 A 18 H 18"
"146","Nevada-Las Vegas","North Texas","38","4","",""
"147","New Mexico State","New Mexico","-3","4"," H -3"," H -17"
"148","North Carolina State","Southern Methodist","41","4","",""
