"","V1","V2","V3","V4","V5","V6"
"1","Arizona State","Northern Arizona","21","1","",""
"2","Ball State","Eastern Michigan","18","1"," A 11 H -14 A -3"," H -7 A 3 H 4"
"3","Boise State","Sacramento State","45","1","",""
"4","Central Michigan","Boston College","-7","1","",""
"5","Buffalo","Temple","6","1"," A 8 A 18 H 27"," H 14 A 22 H -11"
"6","Connecticut","Rhode Island","45","1","",""
"7","Iowa State","Toledo","2","1"," H -31"," H 6"
"8","Louisiana-Monroe","Alcorn State","18","1","",""
"9","Middle Tennessee State","Florida International","1","1"," A 14 A -35 A -14 A -14 A -28"," A 4 A 3 H -35 H -10 H -25"
"10","Kent State","Minnesota","-44","1"," A -11"," H 62"
"11","New Mexico State","Southeastern Louisiana","15","1","",""
"12","Miami (OH)","Northwestern","-18","1"," A 7"," H -21"
"13","Oregon State","Eastern Washington","39","1","",""
"14","Mississippi State","South Carolina","-15","1"," H -34 A 3 H -3 H -14"," H -7 H -18 A -7 H -6"
"15","San Diego State","Texas-El Paso","-7","1"," A 27"," A 13"
"16","Tulsa","Stephen F. Austin","38","1","",""
"17","Fresno State","Nevada","9","1"," H -12 A 1 H -31 H 5 H 34 A -7"," H 18 H 42 A 7 H 27 A -38 A -42"
"18","Alabama","Hawaii","8","1","",""
"19","Arizona","Brigham Young","3","1","",""
"20","Arkansas State","Army","8","1","",""
"21","Auburn","Washington State","26","1","",""
"22","Central Florida","Villanova","19","1","",""
"23","Cincinnati","Eastern Kentucky","31","1","",""
"24","Clemson","Florida Atlantic","48","1","",""
"25","Colorado State","Weber State","24","1","",""
"26","Florida","Southern Mississippi","27","1"," H 42"," A -5"
"27","Georgia","Western Kentucky","36","1","",""
"28","Rice","Houston","-1","1"," A 14 A -11 A -6 A -3"," H 38 H 20 H 17 H 17"
"29","Illinois","Eastern Illinois","25","1","",""
"30","Indiana","Western Michigan","19","1"," A -1"," A -14"
"31","Iowa","Montana","34","1","",""
"32","Kansas","Northwestern State","31","1"," A 1"," A 37"
"33","Kansas State","Illinois State","1","1","",""
"34","Louisiana State","Louisiana-Lafayette","42","1","",""
"35","Maryland","William &amp; Mary","13","1","",""
"36","Michigan","Vanderbilt","20","1","",""
"37","Michigan State","Idaho","10","1","",""
"38","Missouri","Murray State","40","1","",""
"39","Colorado","Montana State","-9","1","",""
"40","Navy","East Carolina","5","1"," H -1"," H -21"
"41","Nebraska","Louisiana Tech","39","1"," H 49 A -1"," H 10 A 31"
"42","Nevada-Las Vegas","Idaho State","44","1","",""
"43","North Carolina State","Appalachian State","13","1","",""
