"","V1","V2","V3","V4","V5","V6"
"1","Ball State","Northeastern","34","1","",""
"2","Buffalo","Texas-El Paso","25","1","",""
"3","Central Michigan","Eastern Illinois","19","1","",""
"4","Cincinnati","Eastern Kentucky","-12","1","",""
"5","Connecticut","Hofstra","4","1","",""
"6","Eastern Michigan","Indiana State","42","1","",""
"7","Georgia Tech","Jacksonville State","27","1","",""
"8","Iowa State","South Dakota State","27","1","",""
"9","Miami (FL)","Charleston Southern","0","1","",""
"10","South Carolina","North Carolina State","24","1","",""
"11","Stanford","Oregon State","7","1"," A 24 A -6 H -1 A 1 H 48 H -21"," H 0 A -21 A -1 A 17 H 51 H 4"
"12","Middle Tennessee State","Troy","-14","1"," H 0 A 9 H 1 A -9 H 39"," A -13 H 9 A -1 H -36 A -28"
"13","Miami (OH)","Vanderbilt","-21","1","",""
"14","Baylor","Wake Forest","-28","1","",""
"15","Rice","Southern Methodist","28","1"," A -5 A 33 A -25 A -4"," H -4 H -4 A 6 A 25"
"16","Army","Temple","17","1"," H 3 A 1"," H 6 A 1"
"17","Air Force","Southern Utah","-11","1","",""
"18","0","0","0","0","0","0"
"19","Arizona","Idaho","58","1","",""
"20","Arizona State","Northern Arizona","17","1","",""
"21","Arkansas","Western Illinois","2","1","",""
"22","Texas A&amp;M","Arkansas State","-3","1","",""
"23","Auburn","Louisiana-Monroe","24","1"," A -36"," A 49"
"24","Boise State","Idaho State","-3","1","",""
"25","0","0","0","0","0","0"
"26","Pittsburgh","Bowling Green State","-9","1"," H 10"," H -4"
"27","Brigham Young","Northern Iowa","24","1","",""
"28","San Diego State","Cal Poly","0","1","",""
"29","California","Michigan State","5","1","",""
"30","Central Florida","South Carolina State","6","1","",""
"31","Duke","James Madison","-21","1","",""
"32","0","0","0","0","0","0"
"33","Florida","Hawaii","45","1","",""
"34","Georgia","Georgia Southern","23","1","",""
"35","Houston","Southern","24","1","",""
"36","Indiana","Western Kentucky","18","1"," H 14 H -21"," H -4 H 29"
"37","Iowa","Maine","15","1","",""
"38","Kansas","Florida International","29","1"," A 1"," H 38"
"39","Kansas State","North Texas","-6","1"," H 6"," H -27"
"40","Louisiana State","Appalachian State","28","1","",""
"41","Louisiana Tech","Mississippi State","7","1"," H 14"," H 23"
"42","Marshall","Illinois State","24","1","",""
"43","Maryland","Delaware","-39","1","",""
"44","Minnesota","Northern Illinois","3","1"," A -25"," H 2"
"45","Mississippi","Memphis","16","1","",""
"46","0","0","0","0","0","0"
"47","Navy","Towson","28","1","",""
"48","Nebraska","Western Michigan","22","1","",""
"49","Nevada","Grambling State","36","1","",""
"50","Nevada-Las Vegas","Utah State","9","1"," A 20 H -21 A 5"," H -47 A 27 H -20"
"51","North Carolina","McNeese State","7","1","",""
"52","Northwestern","Syracuse","19","1","",""
"53","Ohio State","Youngstown State","33","1","",""
"54","Oklahoma","Chattanooga","37","1","",""
"55","0","0","0","0","0","0"
"56","Oregon","Washington","33","1"," A -48 A 33 H 6 A -33 H 6 H 9"," A 2 A 46 H 26 H -20 H -6 A 34"
"57","Penn State","Coastal Carolina","53","1","",""
"58","San Jose State","California-Davis","1","1","",""
"59","South Florida","Tennessee-Martin","4","1","",""
"60","Virginia","Southern California","0","1","",""
"61","Southern Mississippi","Louisiana-Lafayette","29","1"," A -1 H -1"," H 3 H -12"
"62","Texas","Florida Atlantic","41","1","",""
"63","New Mexico","Texas Christian","6","1"," H 13 A -11 H 16 H -1 A 5"," H 2 H -20 H -11 A 1 A -30"
"64","Texas Tech","Eastern Washington","24","1","",""
"65","Alabama-Birmingham","Tulsa","-22","1"," A 24 A -16"," A 36 H 4"
"66","Michigan","Utah","0","1","",""
"67","West Virginia","Villanova","26","1","",""
"68","Wisconsin","Akron","21","1","",""
"69","Wyoming","Ohio","-1","1"," H -29"," H 4"
"70","0","0","0","0","0","0"
"71","Louisville","Kentucky","-6","1"," H 18"," H 5"
"72","Rutgers","Fresno State","29","1","",""
"73","UCLA","Tennessee","1","1","",""
"74","0","0","0","0","0","0"
"75","Vanderbilt","South Carolina","6","2"," A -5 A 9 H -28 A -6 H -8"," A -6 H 39 A 5 A -6 H -25"
"76","Ball State","Navy","11","2","",""
