"","V1","V2","V3","V4","V5","V6"
"1","Ball State","Illinois State","23","1","",""
"2","Bowling Green State","Tulsa","27","1","",""
"3","Central Florida","Akron","31","1","",""
"4","Fresno State","Rutgers","1","1","",""
"5","Indiana","Indiana State","38","1","",""
"6","Kent State","Liberty","7","1","",""
"7","Middle Tennessee State","Western Carolina","21","1","",""
"8","Minnesota","Nevada-Las Vegas","28","1"," H 17 H 19"," H 31 H -10"
"9","Vanderbilt","Mississippi","-4","1"," H -23 A 32"," H -14 H -3"
"10","San Jose State","Sacramento State","24","1","",""
"11","South Carolina","North Carolina","17","1","",""
"12","Hawaii","Southern California","-17","1"," A 19 A 37"," A -17 H 3"
"13","South Alabama","Southern Utah","-1","1","",""
"14","Connecticut","Towson","-15","1","",""
"15","Tulane","Jackson State","27","1","",""
"16","Utah","Utah State","4","1"," H 63 A -7 A 16"," H 64 H -17 A 3"
"17","Wake Forest","Presbyterian","24","1","",""
"18","Arizona","Northern Arizona","35","1","",""
"19","Army","Morgan State","16","1","",""
"20","Houston","Southern","49","1","",""
"21","Miami (FL)","Florida Atlantic","28","1"," A -28"," A -18"
"22","Michigan State","Western Michigan","13","1"," A -12 A -24"," A 56 A 21"
"23","Kansas State","North Dakota State","-3","1","",""
"24","Georgia State","Samford","-10","1","",""
"25","Southern Methodist","Texas Tech","-18","1"," A 31"," H 10"
"26","Air Force","Colgate","25","1","",""
"27","0","0","0","0","0","0"
"28","Arkansas","Louisiana","20","1","",""
"29","Arkansas State","Arkansas-Pine Bluff","51","1","",""
"30","Auburn","Washington State","7","1","",""
"31","Baylor","Wofford","66","1","",""
"32","Boston College","Villanova","10","1","",""
"33","Cincinnati","Purdue","35","1"," A 28"," H -4"
"34","Clemson","Georgia","3","1","",""
"35","Duke","North Carolina Central","45","1","",""
"36","East Carolina","Old Dominion","14","1","",""
"37","San Diego State","Eastern Illinois","-21","1","",""
"38","Eastern Michigan","Howard","10","1","",""
"39","Oregon State","Eastern Washington","-3","1","",""
"40","Florida","Toledo","18","1"," A 19"," A 15"
"41","Georgia Tech","Elon","70","1","",""
"42","Illinois","Southern Illinois","8","1","",""
"43","0","0","0","0","0","0"
"44","Marshall","Miami (OH)","38","1"," A 3"," A 25"
"45","Maryland","Florida International","33","1","",""
"46","South Florida","McNeese State","-32","1","",""
"47","Michigan","Central Michigan","50","1","",""
"48","Missouri","Murray State","44","1","",""
"49","Nebraska","Wyoming","3","1","",""
"50","North Carolina State","Louisiana Tech","26","1","",""
"51","North Texas","Idaho","34","1","",""
"52","Iowa","Northern Illinois","-3","1"," A -24"," A -31"
"53","Iowa State","Northern Iowa","-8","1","",""
"54","California","Northwestern","-14","1"," H -18"," H -10"
"55","Notre Dame","Temple","22","1","",""
"56","Ohio State","Buffalo","20","1","",""
"57","Oklahoma","Louisiana-Monroe","34","1"," A 29"," A 63"
"58","0","0","0","0","0","0"
"59","Oregon","Nicholls State","63","1","",""
"60","0","0","0","0","0","0"
"61","Tennessee","Austin Peay","45","1"," H -4"," A 35"
"62","Texas","New Mexico State","49","1","",""
"63","Texas A&M","Rice","21","1"," H 50"," H 38"
"64","Southern Mississippi","Texas State","-7","1","",""
"65","New Mexico","Texas-San Antonio","-8","1"," A -7"," A -19"
"66","Troy","Alabama-Birmingham","3","1","",""
"67","UCLA","Nevada","38","1","",""
"68","Virginia","Brigham Young","3","1"," H -10"," H 18"
"69","Washington","Boise State","32","1","",""
"70","West Virginia","William & Mary","7","1","",""
"71","0","0","0","0","0","0"
"72","Wisconsin","Massachusetts","45","1","",""
"73","0","0","0","0","0","0"
"74","Louisville","Ohio","42","1","",""
"75","Pittsburgh","Florida State","-28","1"," A -1"," H 56"
"76","Arizona State","Sacramento State","55","2","",""
"77","East Carolina","Florida Atlantic","18","2"," A -7 A 3 H 41 H 49"," H -7 H 17 A -34 A -14"
"78","Boston College","Wake Forest","14","2"," H -14 H 21 A 10 H 17 A -3"," H -56 A -14 A 49 H 15 H 24"
"79","Florida International","Central Florida","-38","2"," A 72"," A -3"
"80","Akron","James Madison","2","2","",""
"81","Nevada-Las Vegas","Arizona","-45","2","",""
"82","Arkansas","Samford","10","2","",""
"83","Auburn","Arkansas State","29","2","",""
"84","Ball State","Army","26","2"," A -31"," H 25"
"85","Baylor","Buffalo","57","2","",""
"86","Boise State","Tennessee-Martin","49","2","",""
"87","Kent State","Bowling Green State","-19","2"," A 9 H 18"," H 17 A -42"
"88","Brigham Young","Texas","19","2","",""
"89","California","Portland State","7","2","",""
"90","Central Michigan","New Hampshire","3","2","",""
"91","Georgia State","Chattanooga","-28","2","",""
"92","Clemson","South Carolina State","39","2","",""
"93","Colorado","Central Arkansas","14","2","",""
"94","Memphis","Duke","-14","2","",""
"95","Fresno State","Cal Poly","16","2","",""
"96","Georgia","South Carolina","11","2"," A -3 H -15 A 4 H 42"," A 2 A -3 H 10 H 7"
"97","Temple","Houston","-9","2"," A 3 H -3"," A -35 A 5"
"98","Illinois","Cincinnati","28","2"," H 36 A -4"," A -14 H 35"
"99","Iowa","Missouri State","14","2","",""
"100","Kansas","South Dakota","17","2","",""
"101","Kansas State","Louisiana","21","2","",""
"102","Kentucky","Miami (OH)","34","2","",""
"103","Louisiana State","Alabama-Birmingham","39","2","",""
"104","Louisiana Tech","Lamar","13","2","",""
"105","Louisiana-Monroe","Grambling State","38","2","",""
"106","Louisville","Eastern Kentucky","37","2","",""
"107","Massachusetts","Maine","-10","2","",""
"108","Marshall","Gardner-Webb","55","2","",""
"109","Maryland","Old Dominion","37","2","",""
"110","Miami (FL)","Florida","5","2","",""
"111","Michigan","Notre Dame","11","2"," A 23"," H 4"
"112","Michigan State","South Florida","15","2","",""
"113","New Mexico State","Minnesota","-23","2","",""
"114","Mississippi","Southeast Missouri State","18","2","",""
"115","Mississippi State","Alcorn State","44","2","",""
"116","Missouri","Toledo","15","2"," H 19"," A 18"
"117","Indiana","Navy","-6","2","",""
"118","Nebraska","Southern Mississippi","43","2","",""
"119","Nevada","California-Davis","29","2","",""
"120","Texas-El Paso","New Mexico","-7","2"," A -21 H -19 A 17"," H 49 H -8 H -24"
"121","Western Michigan","Nicholls State","-4","2","",""
"122","North Carolina","Middle Tennessee State","20","2"," H -24"," H -7"
"123","North Carolina State","Richmond","2","2","",""
"124","Northwestern","Syracuse","21","2","",""
"125","Ohio","North Texas","6","2","",""
"126","Ohio State","San Diego State","35","2","",""
"127","Oklahoma","West Virginia","9","2"," H 3 A -15 H 8 A 29 A -10"," A -3 A 12 H -10 A 31 A 23"
"128","Texas-San Antonio","Oklahoma State","-21","2","",""
"129","Virginia","Oregon","-49","2","",""
"130","Oregon State","Hawaii","19","2"," A -4 H -17"," H -7 H -17"
"131","Penn State","Eastern Michigan","38","2","",""
"132","Purdue","Indiana State","6","2","",""
"133","Rutgers","Norfolk State","38","2","",""
"134","Tulane","South Alabama","-2","2"," A -17"," H 22"
"135","Southern Methodist","Montana State","1","2","",""
"136","Stanford","San Jose State","21","2","",""
"137","Tennessee","Western Kentucky","32","2"," H 7"," A 7"
"138","Texas A&M","Sam Houston State","37","2","",""
"139","Texas Christian","Southeastern Louisiana","21","2","",""
"140","Texas State","Prairie View A&M","25","2","",""
"141","Texas Tech","Stephen F. Austin","48","2","",""
"142","Troy","Savannah State","63","2","",""
"143","Tulsa","Colorado State","3","2"," A -14"," H 17"
"144","Utah","Weber State","63","2","",""
"145","Air Force","Utah State","-32","2"," A 22 H -33 A 8 H -20"," H -11 H 28 A -35 A -4"
"146","Vanderbilt","Austin Peay","35","2"," A -4"," A 45"
"147","Virginia Tech","Western Carolina","42","2","",""
"148","Southern California","Washington State","-3","2"," A 21 H 7 H 16 A -17 A -34"," H -34 A -7 H 12 H -28 A -22"
"149","Wisconsin","Tennessee Tech","48","2","",""
"150","Wyoming","Idaho","32","2"," A 21 H -38"," H -16 H -47"
"151","Arkansas State","Troy","7","3"," H -16 A -1 A -28 H 2"," A 5 H 1 H -12 A -7"
"152","Texas Tech","Texas Christian","10","3"," A -18 A -38 H 7 A -10 A 8 H -18 H -23"," H 31 H 10 A -4 H -3 A 3 A 14 A 2"
"153","Louisiana Tech","Tulane","-9","3"," A -3 H -15 H -10"," H 42 H 3 H 7"
"154","Boise State","Air Force","22","3"," A -11 H 17 H 41 A 3"," H -32 A 3 H -33 H -7"
"155","Texas A&M","Alabama","-7","3"," A -12 A -3 H 10 A 24"," H 52 H 25 A -13 H 21"
"156","Arizona","Texas-San Antonio","25","3","",""
"157","Arizona State","Wisconsin","2","3","",""
"158","Arkansas","Southern Mississippi","21","3","",""
"159","Auburn","Mississippi State","4","3"," A 14 A -4 A -18"," H -33 A 10 A -7"
"160","Florida International","Bethune-Cookman","-21","3","",""
"161","Buffalo","Stony Brook","3","3","",""
"162","Penn State","Central Florida","-3","3","",""
"163","Cincinnati","Northwestern State","57","3","",""
"164","Colorado State","Cal Poly","17","3","",""
"165","South Florida","Florida Atlantic","-18","3"," H -28"," A 28"
"166","Florida State","Nevada","55","3","",""
"167","Temple","Fordham","-1","3","",""
"168","Colorado","Fresno State",NA,"3","",""
"169","Duke","Georgia Tech","-24","3"," H -3 A -13 A -3 H 18"," H 11 A -10 H -7 A 15"
"170","Indiana","Bowling Green State","32","3","",""
"171","Iowa State","Iowa","-6","3","",""
"172","Kansas State","Massachusetts","30","3","",""
"173","Louisiana","Nicholls State","63","3","",""
"174","Louisiana State","Kent State","32","3","",""
"175","Wake Forest","Louisiana-Monroe","-2","3","",""
"176","Kentucky","Louisville","-14","3","",""
"177","Connecticut","Maryland","-11","3","",""
"178","Michigan","Akron","4","3","",""
"179","Michigan State","Youngstown State","38","3","",""
"180","Middle Tennessee State","Memphis","2","3","",""
"181","Minnesota","Western Illinois","17","3","",""
"182","Texas","Mississippi","-21","3","",""
"183","Navy","Delaware","44","3","",""
"184","Nevada-Las Vegas","Central Michigan","10","3","",""
"185","North Texas","Ball State","7","3","",""
"186","Idaho","Northern Illinois","-10","3","",""
"187","Northwestern","Western Michigan","21","3"," A 7 H -24"," A 56 A 13"
"188","Purdue","Notre Dame","-7","3"," A 14"," H 4"
"189","Ohio","Marshall","3","3"," H 25"," H 38"
"190","California","Ohio State","-18","3"," H -14"," A -10"
"191","Oklahoma","Tulsa","31","3"," H 38"," H -17"
"192","Oklahoma State","Lamar","56","3","",""
"193","Oregon","Tennessee","45","3","",""
"194","Utah","Oregon State","-3","3"," H 6 A 16 H -1 A 12"," H -8 H -17 A 13 A -28"
"195","Pittsburgh","New Mexico","22","3","",""
"196","Rice","Kansas","9","3"," H 38"," H 3"
"197","Rutgers","Eastern Michigan","18","3","",""
"198","South Alabama","Western Kentucky","7","3"," A 7 A 1 A 2 A 28 H 22 A -21"," A 32 H -6 A -31 H 12 A -21 A -16"
"199","South Carolina","Vanderbilt","10","3"," A 11 H 7 A 2 A -3 H 5"," H 4 H 16 A -4 H -23 A -17"
"200","Southern California","Boston College","28","3","",""
"201","Army","Stanford","-14","3","",""
"202","Syracuse","Wagner","54","3","",""
"203","New Mexico State","Texas-El Paso","-21","3"," A 49 H -26"," H -7 A 38"
"204","Toledo","Eastern Washington","12","3","",""
"205","Nebraska","UCLA","-20","3","",""
"206","Utah State","Weber State","64","3","",""
"207","East Carolina","Virginia Tech","-5","3"," A -24"," H 10"
"208","0","0","0","0","0","0"
"209","Washington State","Southern Utah","38","3","",""
"210","West Virginia","Georgia State","34","3","",""
"211","Wyoming","Northern Colorado","28","3","",""
"212","North Carolina State","Clemson","-12","4"," A 15 H -14 A 32 A 17"," H 49 A -35 H -37 H 10"
"213","Fresno State","Boise State","1","4"," A -7 H 18 A -38"," A 3 H 17 H 41"
"214","Alabama","Colorado State","25","4","",""
"215","Alabama-Birmingham","Northwestern State","24","4","",""
"216","Eastern Michigan","Ball State","-31","4"," A 25 A 39 A 39 H 3"," H 26 A 21 H 7 A -21"
"217","Baylor","Louisiana-Monroe","63","4"," H 29"," A 34"
"218","Bowling Green State","Murray State","41","4","",""
"219","Miami (OH)","Cincinnati","-14","4"," A 36"," A 28"
"220","Florida","Tennessee","14","4"," A 19 H -17 A 5"," A 28 H -4 H 2"
"221","Florida State","Bethune-Cookman","48","4","",""
"222","Georgia","North Texas","24","4","",""
"223","Georgia Tech","North Carolina","8","4"," H -7 A 15 A -10 H 11"," A 10 H -4 H 31 A -7"
"224","0","0","0","0","0","0"
"225","Iowa","Western Michigan","56","4"," H -12 H 7"," A 13 A 21"
