Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Sep 3 2015,Thu,(22) Arizona,42,,Texas-San Antonio,32,
2,1,Sep 3 2015,Thu,Ball State,48,,Virginia Military Institute,36,
3,1,Sep 3 2015,Thu,Connecticut,20,,Villanova,15,
4,1,Sep 3 2015,Thu,Duke,37,@,Tulane,7,
5,1,Sep 3 2015,Thu,Florida International,15,@,Central Florida,14,
6,1,Sep 3 2015,Thu,Fresno State,34,,Abilene Christian,13,
7,1,Sep 3 2015,Thu,(16) Georgia Tech,69,,Alcorn State,6,
8,1,Sep 3 2015,Thu,Hawaii,28,,Colorado,20,
9,1,Sep 3 2015,Thu,Nevada,31,,California-Davis,17,
10,1,Sep 3 2015,Thu,Ohio,45,@,Idaho,28,
11,1,Sep 3 2015,Thu,Oklahoma State,24,@,Central Michigan,13,
12,1,Sep 3 2015,Thu,San Jose State,43,,New Hampshire,13,
13,1,Sep 3 2015,Thu,South Carolina,17,,North Carolina,13,X
14,1,Sep 3 2015,Thu,(2) Texas Christian,23,@,Minnesota,17,
15,1,Sep 3 2015,Thu,Utah,24,,Michigan,17,
16,1,Sep 3 2015,Thu,Utah State,12,,Southern Utah,9,
17,1,Sep 3 2015,Thu,Wake Forest,41,,Elon,3,
18,1,Sep 3 2015,Thu,Western Kentucky,14,@,Vanderbilt,12,
19,1,Sep 4 2015,Fri,(4) Baylor,56,@,Southern Methodist,21,
20,1,Sep 4 2015,Fri,(23) Boise State,16,,Washington,13,
21,1,Sep 4 2015,Fri,Charlotte,23,@,Georgia State,20,
22,1,Sep 4 2015,Fri,Fordham,37,@,Army,35,
24,1,Sep 4 2015,Fri,(5) Michigan State,37,@,Western Michigan,24,
25,1,Sep 4 2015,Fri,Oregon State,26,,Weber State,7,
26,1,Sep 4 2015,Fri,Syracuse,47,,Rhode Island,0,
27,1,Sep 5 2015,Sat,Air Force,63,,Morgan State,7,
28,1,Sep 5 2015,Sat,(3) Alabama,35,,(20) Wisconsin,17,X
29,1,Sep 5 2015,Sat,Appalachian State,49,,Howard,0,
30,1,Sep 5 2015,Sat,(18) Arkansas,48,,Texas-El Paso,13,
31,1,Sep 5 2015,Sat,(6) Auburn,31,,Louisville,24,X
32,1,Sep 5 2015,Sat,Boston College,24,,Maine,3,
33,1,Sep 5 2015,Sat,Brigham Young,33,@,Nebraska,28,
34,1,Sep 5 2015,Sat,Buffalo,51,,Albany,14,
35,1,Sep 5 2015,Sat,California,73,,Grambling State,14,
36,1,Sep 5 2015,Sat,Cincinnati,52,,Alabama A&amp;M,10,
37,1,Sep 5 2015,Sat,(12) Clemson,49,,Wofford,10,
38,1,Sep 5 2015,Sat,Colorado State,65,,Savannah State,13,
39,1,Sep 5 2015,Sat,East Carolina,28,,Towson,20,
40,1,Sep 5 2015,Sat,Florida,61,,New Mexico State,13,
41,1,Sep 5 2015,Sat,(10) Florida State,59,,Texas State,16,
42,1,Sep 5 2015,Sat,(9) Georgia,51,,Louisiana-Monroe,14,
43,1,Sep 5 2015,Sat,Houston,52,,Tennessee Tech,24,
44,1,Sep 5 2015,Sat,Illinois,52,,Kent State,3,
45,1,Sep 5 2015,Sat,Indiana,48,,Southern Illinois,47,
46,1,Sep 5 2015,Sat,Iowa,31,,Illinois State,14,
47,1,Sep 5 2015,Sat,Iowa State,31,,Northern Iowa,7,
48,1,Sep 5 2015,Sat,Kansas State,34,,South Dakota,0,
49,1,Sep 5 2015,Sat,Kentucky,40,,Louisiana-Lafayette,33,
50,1,Sep 5 2015,Sat,Louisiana Tech,62,,Southern,15,
51,1,Sep 5 2015,Sat,Maryland,50,,Richmond,21,
53,1,Sep 5 2015,Sat,Memphis,63,,Missouri State,7,
54,1,Sep 5 2015,Sat,Miami (FL),45,,Bethune-Cookman,0,
55,1,Sep 5 2015,Sat,Miami (OH),26,,Presbyterian,7,
56,1,Sep 5 2015,Sat,Middle Tennessee State,70,,Jackson State,14,
57,1,Sep 5 2015,Sat,(17) Mississippi,76,,Tennessee-Martin,3,
58,1,Sep 5 2015,Sat,Mississippi State,34,@,Southern Mississippi,16,
59,1,Sep 5 2015,Sat,(24) Missouri,34,,Southeast Missouri State,3,
60,1,Sep 5 2015,Sat,Navy,48,,Colgate,10,
61,1,Sep 5 2015,Sat,New Mexico,66,,Mississippi Valley State,0,
62,1,Sep 5 2015,Sat,North Carolina State,49,,Troy,21,
63,1,Sep 5 2015,Sat,North Dakota,24,@,Wyoming,13,
64,1,Sep 5 2015,Sat,Northern Illinois,38,,Nevada-Las Vegas,30,
65,1,Sep 5 2015,Sat,Northwestern,16,,(21) Stanford,6,
66,1,Sep 5 2015,Sat,(11) Notre Dame,38,,Texas,3,
67,1,Sep 5 2015,Sat,(19) Oklahoma,41,,Akron,3,
68,1,Sep 5 2015,Sat,Old Dominion,38,@,Eastern Michigan,34,
69,1,Sep 5 2015,Sat,(7) Oregon,61,,Eastern Washington,42,
70,1,Sep 5 2015,Sat,Pittsburgh,45,,Youngstown State,37,
71,1,Sep 5 2015,Sat,Portland State,24,@,Washington State,17,
72,1,Sep 5 2015,Sat,Rice,56,,Wagner,16,
73,1,Sep 5 2015,Sat,Rutgers,63,,Norfolk State,13,
74,1,Sep 5 2015,Sat,San Diego State,37,,San Diego,3,
75,1,Sep 5 2015,Sat,South Alabama,33,,Gardner-Webb,23,
76,1,Sep 5 2015,Sat,South Dakota State,41,@,Kansas,38,
77,1,Sep 5 2015,Sat,South Florida,51,,Florida A&amp;M,3,
78,1,Sep 5 2015,Sat,(8) Southern California,55,,Arkansas State,6,
79,1,Sep 5 2015,Sat,Temple,27,,Penn State,10,
80,1,Sep 5 2015,Sat,(25) Tennessee,59,,Bowling Green State,30,X
81,1,Sep 5 2015,Sat,Texas A&amp;M,38,,(15) Arizona State,17,X
