"","V1","V2","V3","V4","V5","V6"
"1","Ball State","Southeast Missouri State","17","1","",""
"2","Buffalo","Rhode Island","31","1","",""
"3","Central Michigan","Hampton","33","1","",""
"4","Alabama-Birmingham","Florida Atlantic","-1","1","",""
"5","Idaho","North Dakota","45","1","",""
"6","Indiana","Towson","34","1","",""
"7","Iowa State","Northern Illinois","17","1","",""
"8","Kent State","Murray State","31","1","",""
"9","Miami (FL)","Florida A&M","45","1","",""
"10","Middle Tennessee State","Minnesota","-7","1","",""
"11","Nevada","Eastern Washington","25","1","",""
"12","Ohio State","Marshall","38","1"," H 36"," H 1"
"13","Rutgers","Norfolk State","31","1","",""
"14","South Carolina","Southern Mississippi","28","1","",""
"15","Hawaii","Southern California","-13","1","",""
"16","Tulane","Southeastern Louisiana","6","1","",""
"17","Utah","Pittsburgh","3","1"," A 25"," A 6"
"18","Wake Forest","Presbyterian","40","1","",""
"19","Toledo","Arizona","-39","1","",""
"20","Temple","Villanova","7","1","",""
"21","Air Force","Northwestern State","44","1","",""
"22","Alabama","San Jose State","45","1","",""
"23","Arizona State","Portland State","45","1","",""
"24","Arkansas","Tennessee Tech","41","1","",""
"25","Eastern Michigan","Army","-4","1","",""
"26","Auburn","Arkansas State","26","1"," H 49"," H 14"
"27","Baylor","Sam Houston State","31","1","",""
"28","Boston College","Weber State","18","1","",""
"29","Brigham Young","Washington","6","1","",""
"30","California","California-Davis","49","1","",""
"31","Central Florida","South Dakota","31","1","",""
"32","Clemson","North Texas","25","1","",""
"33","0","0","0","0","0","0"
"34","0","0","0","0","0","0"
"35","Duke","Elon","14","1","",""
"36","Florida","Miami (OH)","22","1","",""
"37","Florida State","Samford","53","1","",""
"38","Fresno State","Cincinnati","14","1","",""
"39","Georgia","Louisiana","48","1","",""
"40","Georgia Tech","South Carolina State","31","1","",""
"41","Houston","Texas State","40","1","",""
"42","Iowa","Eastern Illinois","30","1","",""
"43","Mississippi","Jacksonville State","-1","1","",""
"44","Kansas State","UCLA","9","1"," H 25"," A -22"
"45","Louisville","Kentucky","-7","1","",""
"46","0","0","0","0","0","0"
"47","Louisiana Tech","Grambling State","14","1","",""
"48","Michigan","Connecticut","20","1","",""
"49","Michigan State","Western Michigan","24","1"," H 3"," A 24"
"50","Mississippi State","Memphis","42","1"," A -23 H 5"," H -39 A 16"
"51","0","0","0","0","0","0"
"52","Nebraska","Western Kentucky","39","1","",""
"53","North Carolina State","Western Carolina","41","1","",""
"54","Kansas","North Dakota State","-3","1","",""
"55","Vanderbilt","Northwestern","-2","1","",""
"56","Notre Dame","Purdue","11","1"," H -4 A 3"," H -11 A 4"
"57","Ohio","Wofford","23","1","",""
"58","Oklahoma","Utah State","7","1","",""
"59","Oklahoma State","Washington State","48","1","",""
"60","Oregon","New Mexico","72","1","",""
"61","Penn State","Youngstown State","30","1","",""
"62","San Diego State","Nicholls State","47","1","",""
"63","South Florida","Stony Brook","45","1","",""
"64","Stanford","Sacramento State","35","1","",""
"65","Akron","Syracuse","-26","1","",""
"66","Tennessee","Tennessee-Martin","50","1","",""
"67","Rice","Texas","-17","1"," H -17"," H -8"
"68","Texas A&M","Stephen F. Austin","41","1","",""
"69","Texas Christian","Oregon State","9","1","",""
"70","Texas-El Paso","Arkansas-Pine Bluff","21","1","",""
"71","Troy","Bowling Green State","3","1","",""
"72","Virginia","Richmond","21","1","",""
"73","West Virginia","Coastal Carolina","31","1","",""
"74","Nevada-Las Vegas","Wisconsin","-20","1","",""
"75","Wyoming","Southern Utah","8","1","",""
"76","East Carolina","Tulsa","2","1"," H 22 A 24"," A -41 H 37"
"77","Texas Tech","Southern Methodist","8","1","",""
"78","Virginia Tech","Boise State","-3","1","",""
"79","0","0","0","0","0","0"
"80","Mississippi State","Auburn","-3","2"," A 22 H 12 H 7 H -7"," H 7 H 18 A -3 H 22"
"81","Temple","Central Michigan","3","2"," A 14 H 1"," A 26 H -3"
"82","Houston","Texas-El Paso","30","2"," H 19 A 3 A -25 A -39"," H -10 H 20 H 14 H 3"
"83","Marshall","West Virginia","-3","2","",""
"84","Air Force","Brigham Young","21","2"," A -6 H 22 A 2 A 31 H 25"," H 5 A -39 H 3 A 28 H 33"
"85","Alabama","Penn State","21","2","",""
"86","Arizona","Citadel","46","2","",""
"87","Arizona State","Northern Arizona","21","2","",""
"88","0","0","0","0","0","0"
"89","Baylor","Buffalo","28","2","",""
"90","Boston College","Kent State","13","2","",""
"91","California","Colorado","45","2","",""
"92","Cincinnati","Indiana State","33","2","",""
"93","Clemson","Presbyterian","37","2","",""
"94","Connecticut","Texas Southern","59","2","",""
"95","East Carolina","Memphis","22","2"," H 2 A -1 H 27 A -12"," H -41 H -22 A 15 A 16"
"96","Florida","South Florida","24","2","",""
"97","Akron","Gardner-Webb","-1","2","",""
"98","Army","Hawaii","-3","2","",""
"99","Illinois","Southern Illinois","32","2","",""
"100","Iowa","Iowa State","28","2","",""
"101","Virginia Tech","James Madison","-5","2","",""
"102","Kansas","Georgia Tech","3","2","",""
"103","Kansas State","Missouri State","24","2","",""
"104","Kentucky","Western Kentucky","35","2","",""
"105","Ball State","Liberty","-4","2","",""
"106","Louisiana","Arkansas State","7","2"," H -20 A -1 A 7 H -33 A 1"," H 27 A -5 A 7 H -1 H 21"
"107","Vanderbilt","Louisiana State","-24","2"," A -14 H -41 H -14"," H 7 A -4 H 2"
"108","Louisville","Eastern Kentucky","10","2","",""
"109","Maryland","Morgan State","59","2","",""
"110","Miami (OH)","Eastern Michigan","7","2"," A -7 H -21 A -12"," H -38 H -13 A -4"
"111","Notre Dame","Michigan","-4","2"," H 11 A 3"," A -11 H -17"
"112","Michigan State","Florida Atlantic","13","2","",""
"113","0","0","0","0","0","0"
"114","Middle Tennessee State","Austin Peay","23","2","",""
"115","Tulane","Mississippi","-14","2","",""
"116","Missouri","McNeese State","44","2","",""
"117","Navy","Georgia Southern","6","2","",""
"118","Nebraska","Idaho","21","2","",""
"119","Nevada","Colorado State","45","2"," A -14 A -18 A -46"," H -39 H 33 H 2"
"120","Central Florida","North Carolina State","-7","2"," H 14"," A 6"
"121","Northern Illinois","North Dakota","6","2","",""
"122","Northwestern","Illinois State","34","2","",""
"123","Ohio State","Miami (FL)","12","2","",""
"124","Oklahoma","Florida State","30","2","",""
"125","Oklahoma State","Troy","3","2"," A -26"," H 7"
"126","Tennessee","Oregon","-35","2","",""
"127","Pittsburgh","New Hampshire","22","2","",""
"128","Purdue","Western Illinois","10","2","",""
"129","North Texas","Rice","-1","2","",""
"130","Florida International","Rutgers","-5","2"," A 27"," A 20"
"131","New Mexico State","San Diego State","-20","2"," H 2 A 5"," A -10 H 34"
"132","South Carolina","Georgia","11","2"," A 8 A 3 A -14 H 14 H -21"," A 18 A -13 H 43 H 27 H -7"
"133","Minnesota","South Dakota","-3","2","",""
"134","Southern California","Virginia","3","2","",""
"135","Southern Methodist","Alabama-Birmingham","21","2"," A 14 H 14 A -7"," H 15 H -14 H -12"
"136","Southern Mississippi","Prairie View A&M","27","2","",""
"137","UCLA","Stanford","-35","2"," H 14 A 28 A 47 H -8 A 17 A 21"," H 10 A -34 A 21 H 25 A -41 A -4"
"138","Texas","Wyoming","27","2","",""
"139","Texas A&M","Louisiana Tech","32","2","",""
"140","Texas Christian","Tennessee Tech","55","2","",""
"141","New Mexico","Texas Tech","-35","2","",""
"142","Ohio","Toledo","-7","2"," A -13 H 24"," A -35 H 19"
"143","Tulsa","Bowling Green State","13","2","",""
"144","Utah","Nevada-Las Vegas","28","2"," A -42 A -24 H 53 A -5 H -40 A -4"," H 35 H 26 A 33 H -15 H -42 A 34"
"145","Utah State","Idaho State","21","2","",""
"146","Wake Forest","Duke","6","2"," H -4 H -1 A 31 A 48 H -10"," A 10 A -3 A 37 A 5 H -5"
"147","Washington","Syracuse","21","2","",""
"148","Washington State","Montana State","1","2","",""
"149","Western Michigan","Nicholls State","35","2","",""
"150","Wisconsin","San Jose State","13","2","",""
"151","North Carolina State","Cincinnati","11","3","",""
"152","Nevada","California","21","3","",""
"153","Southern Mississippi","Kansas","15","3","",""
"154","Duke","Alabama","-49","3","",""
"155","Alabama-Birmingham","Troy","1","3","",""
"156","Arizona","Iowa","7","3","",""
"157","Georgia","Arkansas","-7","3"," A 11 A 12 H 43 A 18"," A -21 A -7 H 35 A 22"
"158","Arkansas State","Louisiana-Monroe","14","3"," A 26 A 7 A -5 H 21 H 27 H -1"," A 49 H 14 H 12 H 3 A 28 A -5"
"159","Army","North Texas","24","3","",""
"160","Auburn","Clemson","3","3","",""
"161","Wyoming","Boise State","-45","3"," A -5"," H 43"
"162","Bowling Green State","Marshall","16","3"," A 24"," H 1"
"163","Buffalo","Central Florida","-14","3","",""
"164","Eastern Michigan","Central Michigan","-38","3"," A 7 A -3 A 15"," H -7 H -14 H 4"
"165","Colorado","Hawaii","18","3","",""
"166","Tennessee","Florida","-14","3"," A 2 H -31 A 14 A -14"," H -4 A 25 H -22 A -41"
"167","Florida State","Brigham Young","24","3","",""
"168","Utah State","Fresno State","-17","3"," A 18 H -38 A 14 H 5 A -4 H -22"," A -6 H -22 H -1 H 23 A -15 H 3"
"169","North Carolina","Georgia Tech","-6","3"," H 5 A -34 A 23 H -16 H -4"," A 14 H 12 H -25 A 7 H -17"
"170","Idaho","Nevada-Las Vegas","23","3"," A 2 H -46"," A 33 H -18"
"171","Illinois","Northern Illinois","6","3"," H -4"," A -11"
"172","Western Kentucky","Indiana","-17","3"," A -1"," H 2"
"173","Kansas State","Iowa State","7","3"," H -35 A -52 H 25 A 8"," H -1 H 12 A -7 A 20"
"174","Kentucky","Akron","37","3","",""
"175","Louisiana State","Mississippi State","22","3"," A -4 A 7 H 3"," A -3 H -3 A 20"
"176","Memphis","Middle Tennessee State","7","3","",""
"177","Miami (OH)","Colorado State","21","3","",""
"178","Michigan","Massachusetts","5","3","",""
"179","Michigan State","Notre Dame","3","3"," H 24 A -17 H 4"," H 24 H -4 H 11"
"180","Missouri","San Diego State","3","3","",""
"181","Louisiana Tech","Navy","-14","3","",""
"182","Washington","Nebraska","-35","3","",""
"183","Rice","Northwestern","-17","3","",""
"184","Ohio State","Ohio","36","3"," H 38 H 53"," A 1 A -13"
"185","Oklahoma","Air Force","3","3","",""
"186","Oklahoma State","Tulsa","37","3","",""
"187","Oregon","Portland State","69","3","",""
"188","Oregon State","Louisville","7","3","",""
"189","Penn State","Kent State","24","3"," H 9"," H -18"
"190","Purdue","Ball State","11","3"," H -11"," A 7"
"191","San Jose State","Southern Utah","5","3","",""
"192","South Carolina","Furman","19","3","",""
"193","Minnesota","Southern California","-11","3","",""
"194","Southern Methodist","Washington State","14","3","",""
"195","Stanford","Wake Forest","44","3","",""
"196","Syracuse","Maine","24","3","",""
"197","Temple","Connecticut","14","3"," A -42"," H 24"
"198","Texas Tech","Texas","-10","3"," A 14 H -17"," H -7 H -17"
"199","Texas A&M","Florida International","7","3","",""
"200","Texas Christian","Baylor","35","3","",""
"201","Texas-El Paso","New Mexico State","32","3"," A -18"," H 2"
"202","Western Michigan","Toledo","-13","3"," A -29 H -7 H 15 H 35"," H 7 A 35 A -35 H 13"
"203","UCLA","Houston","18","3","",""
"204","New Mexico","Utah","-42","3"," A 35 H -10 A 24 H 3 A 25"," H 28 A -4 H 53 A -24 A -5"
"205","Mississippi","Vanderbilt","-14","3"," H 7 A 14 A 38 A 7"," A 18 A 35 H -14 H -24"
"206","Virginia Tech","East Carolina","22","3"," A -11 A -16"," H 6 A 25"
"207","West Virginia","Maryland","14","3","",""
"208","Wisconsin","Arizona State","1","3","",""
"209","Pittsburgh","Miami (FL)","-28","4","",""
"210","Southern Methodist","Texas Christian","-17","4","",""
"211","Wyoming","Air Force","-6","4"," A 45 H -24 A 5 H -10 A 3"," A 31 H -5 H 21 A 2 H 25"
"212","Arkansas","Alabama","-4","4"," H 14 A -21 A -7"," H 13 A 14 H 20"
