"","V1","V2","V3","V4","V5","V6"
"1","Jacksonville State","Texas-El Paso","3","1"," A -7 A -15 H 3 A -25 H 39"," A -3 A 4 H -8 A -13 H -14"
"2","Louisiana Tech","Florida International","5","1"," H -3 A -14 A 8 H -3 A 26 H -15"," H 7 H -13 A 34 A 17 H -32 A -6"
"3","New Mexico State","Massachusetts","-11","1"," A 16 A -10 A -21"," A 24 H -3 A 45"
"4","0","0","0","0","0","0"
"5","San Diego State","Ohio","7","1","",""
"6","Southern California","San Jose State","28","1","",""
"7","Vanderbilt","Hawaii","7","1"," A 3"," A 24"
"8","Alabama-Birmingham","North Carolina A&T","29","2","",""
"9","Arizona State","Southern Utah","3","2","",""
"10","Central Florida","Kent State","50","2","",""
"11","Georgia State","Rhode Island","7","2","",""
"12","Minnesota","Nebraska","3","2"," A 3 H -42 H 15 H -1 A 19"," H 8 H -38 A 3 A -13 H 17"
"13","Missouri","South Dakota","25","2","",""
"14","Connecticut","North Carolina State","-10","2"," H -34"," A 21"
"15","Tulsa","Arkansas-Pine Bluff","35","2","",""
"16","Utah","Florida","13","2","",""
"17","Wake Forest","Elon","20","2","",""
"18","Western Michigan","St. Francis (PA)","18","2","",""
"19","Eastern Michigan","Howard","10","2","",""
"20","Kansas","Missouri State","31","2","",""
"21","Georgia Tech","Louisville","-5","2"," A -3 H -15 A -28"," A -7 H 28 H 7"
"22","Miami (FL)","Miami (OH)","35","2","",""
"23","Michigan State","Central Michigan","24","2","",""
"24","Hawaii","Stanford","-13","2"," A 45"," H -36"
"25","Air Force","Robert Morris","35","2","",""
"26","Alabama","Middle Tennessee State","49","2","",""
"27","Appalachian State","Gardner-Webb","21","2","",""
"28","Arizona","Northern Arizona","35","2","",""
"29","Arkansas","Western Carolina","43","2","",""
"30","Auburn","Massachusetts","45","2"," H -21"," A -11"
"31","Brigham Young","Sam Houston","14","2","",""
"32","North Texas","California","-37","2","",""
"33","Charlotte","South Carolina State","21","2","",""
"34","Cincinnati","Eastern Kentucky","53","2","",""
"35","Texas Christian","Colorado","-3","2","",""
"36","Florida Atlantic","Monmouth","22","2","",""
"37","Florida International","Maine","2","2","",""
