"","V1","V2","V3","V4","V5","V6"
"1","0","0","0","0","0","0"
"2","San Jose State","Grambling State","29","1","",""
"3","0","0","0","0","0","0"
"4","Ball State","Indiana State","24","2","",""
"5","Bowling Green State","Eastern Kentucky","50","2","",""
"6","Brigham Young","Georgia Tech","11","2","",""
"7","Eastern Michigan","East Tennessee State","7","2","",""
"8","Middle Tennessee State","Florida Atlantic","-1","2","",""
"9","Akron","Kent State","-3","2"," A 25 H 14 A 1 A 18"," H -8 H 20 H -3 A 16"
"10","0","0","0","0","0","0"
"11","Northern Illinois","Maryland","7","2","",""
"12","Ohio","Southeast Missouri State","14","2","",""
"13","Oregon State","Sacramento State","33","2","",""
"14","Utah","Utah State","20","2"," H -12 H 30"," A 27 H -27"
"15","Nevada-Las Vegas","Toledo","10","2","",""
"16","Air Force","Wofford","49","2","",""
"17","0","0","0","0","0","0"
"18","Baylor","Alabama-Birmingham","-5","2","",""
"19","Arizona","Texas-El Paso","35","2","",""
"20","California","Southern Mississippi","32","2","",""
"21","0","0","0","0","0","0"
"22","Connecticut","Indiana","24","2","",""
"23","Florida","San Jose State","62","2","",""
"24","North Carolina","Florida State","-37","2"," A 13 H -25 A 8 A 38 H 8 A 17"," H 6 A -5 A 16 H 25 H 24 H 1"
"25","Clemson","Georgia","-30","2"," H 23"," H 19"
"26","Hawaii","Appalachian State","23","2","",""
"27","Houston","Rice","34","2","",""
"28","Iowa","Miami (OH)","18","2"," H 49"," H 56"
"29","Iowa State","Northern Iowa","7","2","",""
"30","Kansas State","Troy","36","2"," H -7 A -29"," H 9 A 30"
"31","Louisiana State","Louisiana-Monroe","42","2"," H 24 A -3"," A 66 A 45"
"32","Marshall","Hofstra","24","2","",""
"33","Memphis","Tennessee Tech","30","2","",""
"34","Michigan","Central Michigan","38","2","",""
"35","Michigan State","Western Michigan","5","2","",""
"36","Minnesota","Tulsa","39","2","",""
"37","Vanderbilt","Mississippi","-3","2"," H -38 A 11 A 18"," A -4 H 3 A -3"
"38","0","0","0","0","0","0"
"39","Navy","Virginia Military Institute","27","2","",""
"40","Nebraska","Oklahoma State","10","2"," H 36 A 24 A -21 H -29"," A -28 H -39 H 23 H 4"
"41","Nevada","Southern Utah","1","2","",""
"42","New Mexico","Texas State","64","2","",""
"43","North Carolina State","Western Carolina","39","2","",""
"44","Kansas","Northwestern","-8","2","",""
"45","Ohio State","Washington","19","2"," A -29"," H 25"
"46","Oklahoma","North Texas","34","2"," H 38"," H 38"
"47","Mississippi State","Oregon","-8","2","",""
"48","Penn State","Temple","13","2"," H -13"," H -25"
"49","Rutgers","Buffalo","14","2"," A 7"," H -31"
"50","San Diego State","Eastern Washington","10","2","",""
"51","South Carolina","Louisiana-Lafayette","7","2","",""
"52","Auburn","Southern California","-23","2","",""
"53","Tennessee","Fresno State","18","2","",""
"54","Texas A&amp;M","Arkansas State","15","2","",""
"55","Texas Tech","Southern Methodist","48","2"," A 2 A -48"," H -46 A 3"
"56","Virginia","Duke","27","2"," H 3 A 3 H -5 A 14 A 10 H 12"," H -29 A 33 H -49 H -7 A 13 H 24"
"57","Boston College","Wake Forest","-4","2"," A -10"," H -34"
"58","0","0","0","0","0","0"
"59","West Virginia","Wisconsin","-7","2","",""
"60","Wyoming","Montana State","11","2","",""
"61","Kentucky","Louisville","-16","2","",""
"62","Texas","New Mexico State","59","2"," H -10"," A 28"
"63","Virginia Tech","Central Florida","21","2"," H 44 A 21"," A 24 A 18"
"64","Cincinnati","East Carolina","37","2"," A -2 H 4 A 7 A 5"," H -41 A -6 H -1 A 17"
"65","Tulane","Texas Christian","-3","2"," A -17 H -3 A 19 A 18 A -14 A 14"," H 27 A -7 H 3 H 14 H 3 A 12"
"66","0","0","0","0","0","0"
"67","Alabama-Birmingham","Southern Mississippi","-5","3"," A -14 H 17 A 3 H -14 A -3"," H 17 A -2 H 12 H 14 H 21"
"68","Eastern Michigan","Western Illinois","-22","3","",""
"69","Fresno State","Oregon State","2","3"," H -14"," H 2"
"70","Northwestern","Air Force","-1","3","",""
"71","Arizona State","Northern Arizona","20","3","",""
"72","Arkansas","Tulsa","32","3","",""
"73","Arkansas State","Tennessee-Martin","57","3","",""
"74","Boise State","Idaho State","62","3","",""
"75","Penn State","Boston College","-13","3"," H 13"," A -25"
"76","Purdue","Bowling Green State","-1","3"," A 3"," A 7"
"77","Texas-El Paso","Cal Poly","-21","3","",""
"78","Central Michigan","New Hampshire","7","3","",""
"79","Clemson","Furman","11","3","",""
"80","Colorado","UCLA","2","3"," H -21 H -14"," A 18 A 35"
"81","California","Colorado State","-2","3"," A 7"," H -7"
"82","Army","Connecticut","-27","3"," H -15"," H 7"
"83","Duke","Western Carolina","26","3","",""
"84","Idaho","Eastern Washington","-3","3","",""
"85","Florida State","Maryland","25","3"," A -37 H 1 A -49 A -5 A 16 H 6"," H 38 A 4 H 13 H 10 H 14 A -2"
"86","Georgia","Middle Tennessee State","19","3"," A -30"," A 23"
"87","Georgia Tech","Auburn","14","3"," A -7"," A -38"
"88","Illinois","Illinois State","27","3","",""
"89","Iowa","Buffalo","49","3"," H 18"," A 56"
"90","Iowa State","Ohio","28","3"," A 8"," A 7"
"91","Kansas","Nevada-Las Vegas","22","3","",""
"92","Kansas State","McNeese State","41","3","",""
"93","Kentucky","Murray State","31","3","",""
"94","Arizona","Louisiana State","-46","3","",""
"95","Louisiana-Lafayette","Louisiana Tech","-31","3","",""
"96","Memphis","Mississippi","10","3"," H 22"," H 55"
"97","Miami (FL)","Florida","5","3"," H -4"," H -14"
"98","Michigan","Houston","47","3","",""
"99","Michigan State","Rutgers","16","3","",""
"100","Minnesota","Troy","41","3","",""
"101","Ball State","Missouri","-28","3","",""
"102","Nebraska","Utah State","24","3"," H 30"," H -9"
"103","New Mexico State","Western New Mexico","45","3","",""
"104","North Texas","Baylor","38","3"," A 34"," A 38"
"105","Northern Illinois","Tennessee Tech","25","3","",""
"106","Notre Dame","Washington State","3","3"," H -31 A -50"," A 27 A -10"
"107","Ohio State","San Diego State","3","3","",""
"108","Alabama","Oklahoma","-7","3","",""
"109","Oklahoma State","Wyoming","24","3"," H 23"," H -7"
"110","Oregon","Nevada","8","3"," A 32"," A -11"
"111","Pittsburgh","Kent State","40","3"," H 21"," H -17"
"112","South Carolina","Virginia","24","3","",""
"113","South Florida","Nicholls State","10","3","",""
"114","Southern California","Brigham Young","17","3"," H 23 A -31"," H -4 A 19"
"115","Stanford","San Jose State","21","3","",""
"116","Louisiana-Monroe","Stephen F. Austin","-2","3","",""
"117","North Carolina","Syracuse","-2","3","",""
"118","Tennessee","Marshall","10","3","",""
"119","Texas A&amp;M","Utah","2","3","",""
"120","Texas Christian","Navy","14","3"," A -3 H 16"," H 18 A -10"
"121","Texas Tech","New Mexico","14","3","",""
"122","Toledo","Liberty","46","3","",""
"123","Tulane","Northwestern State","3","3","",""
"124","Vanderbilt","Chattanooga","45","3","",""
"125","Temple","Villanova","-3","3","",""
"126","Virginia Tech","James Madison","43","3","",""
"127","Wake Forest","North Carolina State","14","3"," A 3 H -17 A -29 A 24 H 28 A 8 H -34"," H 14 A 8 A -7 A 6 H 2 H 13 H 7"
"128","Washington","Indiana","25","3"," A 19"," H -29"
"129","East Carolina","West Virginia","-41","3"," A 37 A 35"," H -2 A 2"
"130","Western Michigan","William &amp; Mary","32","3","",""
"131","Wisconsin","Akron","17","3","",""
"132","0","0","0","0","0","0"
"133","Utah","California","7","4"," A -7 H 4"," H -2 A 4"
"134","Marshall","Toledo","-7","4"," A -10 A -20"," H 27 H 17"
"135","Air Force","North Texas","13","4","",""
"136","Akron","Eastern Michigan","7","4"," H 14 A -12"," H 6 A 28"
"137","Alabama","Kentucky","10","4"," H -3 A 14 A -38"," H -8 A 20 H 25"
"138","Arizona State","Utah State","10","4","",""
"139","Texas","Arkansas","-10","4"," H 59"," H 28"
"140","Arkansas State","Southeast Missouri State","18","4","",""
"141","Vanderbilt","Auburn","-38","4"," H -3 H -7 A 9 H -19"," H -4 A 14 H 32 A 19"
"142","Baylor","Southern Methodist","3","4"," H -48"," A 48"
"143","Idaho","Boise State","-14","4","",""
"144","Connecticut","Boston College","-10","4"," H 7"," A -10"
"145","Bowling Green State","Liberty","59","4","",""
"146","New Mexico","Brigham Young","-3","4"," A -23 H -2 H 3 H 12"," A -8 A -7 H -45 H -14"
"147","Central Florida","Florida Atlantic","4","4","",""
"148","Central Michigan","Eastern Kentucky","1","4","",""
"149","West Virginia","Cincinnati","-2","4"," A -41"," H 37"
"150","Clemson","Middle Tennessee State","23","4"," H -30"," A 19"
"151","Buffalo","Colgate","-23","4","",""
"152","Colorado State","Weber State","24","4","",""
"153","Duke","Rice","3","4","",""
"154","Florida","Florida A&amp;M","60","4","",""
"155","Florida State","Georgia Tech","1","4"," A -37 H 25 A -49 A -5 H 24 A 16 H 6"," H 17 H 4 A 24 A 12 A -17 H -36 H 8"
"156","Georgia","South Carolina","24","4"," A 7 A -27 A -19 H 3 H 20"," H -26 A 3 H 11 H 32 H 6"
"157","Louisiana-Lafayette","Houston","-7","4"," A 45"," H -21"
"158","Indiana","Indiana State","30","4","",""
"159","Iowa State","Iowa","-19","4","",""
"160","Wyoming","Kansas","-7","4"," A 24"," A 23"
"161","Kansas State","Massachusetts","31","4","",""
"162","Kent State","Youngstown State","3","4","",""
"163","Louisiana State","Western Illinois","28","4","",""
"164","Michigan State","Louisiana Tech","-1","4","",""
"165","Syracuse","Louisville","-10","4"," H 24"," H 9"
"166","Maryland","Citadel","61","4","",""
"167","Miami (FL)","East Carolina","35","4"," H 2"," H -41"
"168","Northwestern","Miami (OH)","-30","4","",""
"169","Michigan","Notre Dame","38","4"," H 28 A -7"," A 13 H -6"
"170","Ohio","Minnesota","-22","4","",""
"171","Mississippi","Louisiana-Monroe","45","4"," H 55 A -4 H -3"," A 3 A 66 A 42"
"172","Missouri","Eastern Illinois","37","4","",""
"173","Nebraska","Penn State","8","4","",""
"174","Wisconsin","Nevada-Las Vegas","-18","4","",""
"175","Ohio State","North Carolina State","6","4","",""
"176","Oklahoma","Fresno State","24","4","",""
