"","V1","V2","V3","V4","V5","V6"
"1","Florida State","Louisiana Tech","34","1","",""
"2","Texas","North Carolina State","-3","1","",""
"3","Notre Dame","Kansas","35","1","",""
"4","Penn State","Arizona","34","1","",""
"5","0","0","0","0","0","0"
"6","Central Michigan","Eastern Illinois","16","2","",""
"7","0","0","0","0","0","0"
"8","Iowa State","Indiana State","26","2","",""
"9","Temple","Maryland","-6","2"," A 3"," H 33"
"10","Michigan State","Oregon","7","2","",""
"11","North Texas","Nevada-Las Vegas","-23","2"," A 13 A 13"," A -3 A 14"
"12","New Mexico State","New Mexico Highlands","66","2","",""
"13","Toledo","Syracuse","-23","2"," A -19"," H 40"
"14","Northern Illinois","Western Illinois","-6","2","",""
"15","Air Force","Villanova","24","2","",""
"16","Vanderbilt","Alabama","-11","2"," A -3 H -28 A 7"," A -6 H 12 A -1"
"17","Southern Methodist","Arkansas","-26","2","",""
"18","Auburn","Appalachian State","7","2","",""
"19","Boston College","Baylor","1","2","",""
"20","California","Rutgers","14","2","",""
"21","Cincinnati","Kent State","38","2"," A -10"," H -7"
"22","0","0","0","0","0","0"
"23","0","0","0","0","0","0"
"24","Florida","Western Michigan","29","2","",""
"25","Fresno State","Portland State","28","2","",""
"26","Georgia","Utah State","31","2","",""
"27","Navy","Georgia Tech","-35","2","",""
"28","Houston","Rice","25","2","",""
"29","Illinois","Arkansas State","38","2","",""
"30","Indiana","Ball State","12","2"," A 59"," A 40"
"31","Louisiana State","San Jose State","8","2","",""
"32","Louisiana-Monroe","Nicholls State","17","2","",""
"33","Kentucky","Louisville","-28","2","",""
"34","Clemson","Marshall","-3","2","",""
"35","Miami (FL)","Florida A&M","54","2","",""
"36","Northwestern","Miami (OH)","-25","2","",""
"37","Michigan","Notre Dame","4","2"," H 26 A 3"," A 5 H -10"
"38","Minnesota","Ohio","26","2"," H -3"," A 24"
"39","Memphis","Mississippi","-3","2"," H 5 A -42"," H 24 H 7"
"40","Mississippi State","Middle Tennessee State","33","2"," A 5"," A 52"
"41","Missouri","Alabama-Birmingham","3","2"," A -10"," H -24"
"42","Iowa","Nebraska","-35","2"," A 7"," H 35"
"43","North Carolina State","South Carolina","10","2","",""
"44","Oklahoma State","Louisiana","17","2"," H 20"," H -21"
"45","Nevada","Oregon State","-15","2"," H -25"," H 23"
"46","Penn State","Akron","46","2","",""
"47","Pittsburgh","Bowling Green State","20","2"," H 7"," A 14"
"48","Central Florida","Purdue","-34","2","",""
"49","San Diego State","South Florida","29","2","",""
"50","Hawaii","Southern California","-55","2","",""
"51","Tennessee","Wyoming","25","2","",""
"52","Texas","Stanford","52","2","",""
"53","Louisiana Tech","Texas A&M","-20","2","",""
"54","Texas-El Paso","New Mexico","3","2"," H 31"," H -7"
"55","Tulsa","Missouri State","24","2","",""
"56","UCLA","Boise State","31","2","",""
"57","Washington State","Utah","-20","2","",""
"58","North Carolina","Virginia","-3","2"," H -32 A 11 A 7 H -16"," H -25 A 19 H 7 H 28"
"59","Virginia Tech","James Madison","47","2","",""
"60","Wisconsin","Murray State","39","2","",""
