Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes,,
356,7,Oct 5 2018,Fri,Middle Tennessee State,34,@,Marshall,24,,,
357,7,Oct 5 2018,Fri,Utah State,45,@,Brigham Young,20,,,
358,7,Oct 6 2018,Sat,Air Force,35,,Navy,7,,,
359,7,Oct 6 2018,Sat,(1) Alabama,65,@,Arkansas,31,,,
360,7,Oct 6 2018,Sat,Alabama-Birmingham,28,@,Louisiana Tech,7,,,
361,7,Oct 6 2018,Sat,Arizona,24,,California,17,,,
362,7,Oct 6 2018,Sat,Baylor,37,,Kansas State,34,,,
363,7,Oct 6 2018,Sat,Buffalo,34,@,Central Michigan,24,,,
364,7,Oct 6 2018,Sat,(12) Central Florida,48,,Southern Methodist,20,,,
365,7,Oct 6 2018,Sat,Cincinnati,37,,Tulane,21,,,
366,7,Oct 6 2018,Sat,(4) Clemson,63,@,Wake Forest,3,,,
367,7,Oct 6 2018,Sat,(21) Colorado,28,,Arizona State,21,,,
368,7,Oct 6 2018,Sat,Colorado State,42,@,San Jose State,30,,,
369,7,Oct 6 2018,Sat,(20) Florida,27,,(5) Louisiana State,19,,,
370,7,Oct 6 2018,Sat,Florida Atlantic,52,,Old Dominion,33,,,
371,7,Oct 6 2018,Sat,Fresno State,21,@,Nevada,3,,,
372,7,Oct 6 2018,Sat,(2) Georgia,41,,Vanderbilt,13,,,
373,7,Oct 6 2018,Sat,Georgia Southern,48,,South Alabama,13,,,
374,7,Oct 6 2018,Sat,Hawaii,17,,Wyoming,13,,,
375,7,Oct 6 2018,Sat,Illinois,38,@,Rutgers,17,,,
376,7,Oct 6 2018,Sat,Iowa,48,@,Minnesota,31,,,
377,7,Oct 6 2018,Sat,Iowa State,48,@,(25) Oklahoma State,42,,,
378,7,Oct 6 2018,Sat,Louisiana,42,@,Texas State,27,,,
379,7,Oct 6 2018,Sat,Memphis,55,,Connecticut,14,,,
380,7,Oct 6 2018,Sat,(17) Miami (FL),28,,Florida State,27,,,
381,7,Oct 6 2018,Sat,Miami (OH),41,@,Akron,17,,,
382,7,Oct 6 2018,Sat,(15) Michigan,42,,Maryland,21,,,
383,7,Oct 6 2018,Sat,Mississippi,70,,Louisiana-Monroe,21,,,
384,7,Oct 6 2018,Sat,Mississippi State,23,,(8) Auburn,9,,,
385,7,Oct 6 2018,Sat,New Mexico,50,@,Nevada-Las Vegas,14,,,
386,7,Oct 6 2018,Sat,New Mexico State,49,,Liberty,41,,,
387,7,Oct 6 2018,Sat,(23) North Carolina State,28,,Boston College,23,,,
388,7,Oct 6 2018,Sat,North Texas,27,@,Texas-El Paso,24,,,
389,7,Oct 6 2018,Sat,Northern Illinois,24,@,Ball State,16,,,
390,7,Oct 6 2018,Sat,Northwestern,29,@,(20) Michigan State,19,,,
391,7,Oct 6 2018,Sat,(6) Notre Dame,45,@,(24) Virginia Tech,23,,,
392,7,Oct 6 2018,Sat,Ohio,27,@,Kent State,26,,,
393,7,Oct 6 2018,Sat,(3) Ohio State,49,,Indiana,26,,,
394,7,Oct 6 2018,Sat,Pittsburgh,44,,Syracuse,37,,,
395,7,Oct 6 2018,Sat,San Diego State,19,@,Boise State,13,,,
396,7,Oct 6 2018,Sat,South Carolina,37,,Missouri,35,,,
397,7,Oct 6 2018,Sat,South Florida,58,@,Massachusetts,42,,,
398,7,Oct 6 2018,Sat,Temple,49,,East Carolina,6,,,
399,7,Oct 6 2018,Sat,(19) Texas,48,,(7) Oklahoma,45,X,,
400,7,Oct 6 2018,Sat,Texas A&M,20,,(13) Kentucky,14,,,
401,7,Oct 6 2018,Sat,Texas-San Antonio,20,@,Rice,3,,,
402,7,Oct 6 2018,Sat,Toledo,52,,Bowling Green State,36,,,
403,7,Oct 6 2018,Sat,Utah,40,@,(14) Stanford,21,,,
404,7,Oct 6 2018,Sat,(10) Washington,31,@,UCLA,24,,,
405,7,Oct 6 2018,Sat,Washington State,56,@,Oregon State,37,,,
406,7,Oct 6 2018,Sat,(9) West Virginia,38,,Kansas,22,,,
407,7,Oct 6 2018,Sat,Western Michigan,27,,Eastern Michigan,24,,,
408,7,Oct 6 2018,Sat,(16) Wisconsin,41,,Nebraska,24,,,
409,8,Oct 9 2018,Tue,Appalachian State,35,@,Arkansas State,9,,,
410,8,Oct 11 2018,Thu,Georgia Southern,15,@,Texas State,13,,,
411,8,Oct 11 2018,Thu,Texas Tech,17,@,Texas Christian,14,,,
412,8,Oct 12 2018,Fri,San Diego State,21,,Air Force,17,,,
413,8,Oct 12 2018,Fri,(23) South Florida,25,@,Tulsa,24,,,
414,8,Oct 12 2018,Fri,Utah,42,,Arizona,10,,,
415,8,Oct 13 2018,Sat,(1) Alabama,39,,Missouri,10,,,
416,8,Oct 13 2018,Sat,Alabama-Birmingham,42,@,Rice,0,,,
417,8,Oct 13 2018,Sat,Army,52,,San Jose State,3,,,
418,8,Oct 13 2018,Sat,Ball State,24,@,Central Michigan,23,,,
419,8,Oct 13 2018,Sat,Boise State,31,@,Nevada,27,,,
420,8,Oct 13 2018,Sat,Boston College,38,,Louisville,20,,,
421,8,Oct 13 2018,Sat,Brigham Young,49,,Hawaii,23,,,
422,8,Oct 13 2018,Sat,Buffalo,24,,Akron,6,,,
423,8,Oct 13 2018,Sat,(10) Central Florida,31,@,Memphis,30,,,
424,8,Oct 13 2018,Sat,Charlotte,40,,Western Kentucky,14,,,
425,8,Oct 13 2018,Sat,Colorado State,20,,New Mexico,18,,,
426,8,Oct 13 2018,Sat,Duke,28,@,Georgia Tech,14,,,
427,8,Oct 13 2018,Sat,Eastern Michigan,28,,Toledo,26,,,
428,8,Oct 13 2018,Sat,(14) Florida,37,@,Vanderbilt,27,,,
429,8,Oct 13 2018,Sat,Florida International,24,,Middle Tennessee State,21,,,
430,8,Oct 13 2018,Sat,Fresno State,27,,Wyoming,3,,,
431,8,Oct 13 2018,Sat,Houston,42,@,East Carolina,20,,,
432,8,Oct 13 2018,Sat,Iowa,42,@,Indiana,16,,,
433,8,Oct 13 2018,Sat,Iowa State,30,,(6) West Virginia,14,,,
434,8,Oct 13 2018,Sat,Kansas State,31,,Oklahoma State,12,,,
435,8,Oct 13 2018,Sat,Liberty,22,,Troy,16,,,
436,8,Oct 13 2018,Sat,Louisiana,66,,New Mexico State,38,,,
437,8,Oct 13 2018,Sat,(13) Louisiana State,36,,(2) Georgia,16,,,
438,8,Oct 13 2018,Sat,Louisiana Tech,31,@,Texas-San Antonio,3,,,
439,8,Oct 13 2018,Sat,Louisiana-Monroe,45,@,Coastal Carolina,20,,,
440,8,Oct 13 2018,Sat,Marshall,42,@,Old Dominion,20,,,
441,8,Oct 13 2018,Sat,Maryland,34,,Rutgers,7,,,
442,8,Oct 13 2018,Sat,Miami (OH),31,,Kent State,6,,,
443,8,Oct 13 2018,Sat,(12) Michigan,38,,(15) Wisconsin,13,,,
444,8,Oct 13 2018,Sat,Michigan State,21,@,(8) Penn State,17,,,
445,8,Oct 13 2018,Sat,Mississippi,37,@,Arkansas,33,,,
446,8,Oct 13 2018,Sat,North Texas,30,,Southern Mississippi,7,,,
447,8,Oct 13 2018,Sat,Northern Illinois,24,,Ohio,21,,,
448,8,Oct 13 2018,Sat,Northwestern,34,,Nebraska,31,,,
449,8,Oct 13 2018,Sat,(5) Notre Dame,19,,Pittsburgh,14,,,
450,8,Oct 13 2018,Sat,(3) Ohio State,30,,Minnesota,14,,,
451,8,Oct 13 2018,Sat,(17) Oregon,30,,(7) Washington,27,,,
452,8,Oct 13 2018,Sat,Purdue,46,@,Illinois,7,,,
453,8,Oct 13 2018,Sat,South Alabama,45,,Alabama State,7,,,
454,8,Oct 13 2018,Sat,Southern California,31,,(19) Colorado,20,,,
455,8,Oct 13 2018,Sat,Temple,24,@,Navy,17,,,
456,8,Oct 13 2018,Sat,Tennessee,30,@,(21) Auburn,24,,,
457,8,Oct 13 2018,Sat,(9) Texas,23,,Baylor,17,,,
458,8,Oct 13 2018,Sat,(22) Texas A&M,26,@,South Carolina,23,,,
459,8,Oct 13 2018,Sat,UCLA,37,@,California,7,,,
460,8,Oct 13 2018,Sat,Utah State,59,,Nevada-Las Vegas,28,,,
461,8,Oct 13 2018,Sat,Virginia,16,,(16) Miami (FL),13,,,
462,8,Oct 13 2018,Sat,Virginia Tech,22,@,North Carolina,19,,,
463,8,Oct 13 2018,Sat,Western Michigan,42,@,Bowling Green State,35,,,
464,9,Oct 18 2018,Thu,Arkansas State,51,,Georgia State,35,,,
465,9,Oct 18 2018,Thu,Stanford,20,@,Arizona State,13,,,
466,9,Oct 19 2018,Fri,Air Force,41,@,Nevada-Las Vegas,35,,,
467,9,Oct 19 2018,Fri,Boise State,56,,Colorado State,28,,,
468,9,Oct 20 2018,Sat,Akron,24,@,Kent State,23,,,
469,9,Oct 20 2018,Sat,(1) Alabama,58,@,Tennessee,21,,,
470,9,Oct 20 2018,Sat,Alabama-Birmingham,29,,North Texas,21,,,
471,9,Oct 20 2018,Sat,Appalachian State,27,,Louisiana,17,,,
472,9,Oct 20 2018,Sat,Arkansas,23,,Tulsa,0,,,
473,9,Oct 20 2018,Sat,Army,31,,Miami (OH),30,,,
474,9,Oct 20 2018,Sat,Auburn,31,@,Mississippi,16,,,
475,9,Oct 20 2018,Sat,Buffalo,31,@,Toledo,17,,,
476,9,Oct 20 2018,Sat,California,49,@,Oregon State,7,,,
477,9,Oct 20 2018,Sat,(10) Central Florida,37,@,East Carolina,10,,,
478,9,Oct 20 2018,Sat,(3) Clemson,41,,(16) North Carolina State,7,,,
479,9,Oct 20 2018,Sat,Coastal Carolina,24,@,Massachusetts,13,,,
480,9,Oct 20 2018,Sat,Eastern Michigan,42,@,Ball State,20,,,
481,9,Oct 20 2018,Sat,Florida International,36,,Rice,17,,,
482,9,Oct 20 2018,Sat,Florida State,38,,Wake Forest,17,,,
483,9,Oct 20 2018,Sat,Fresno State,38,@,New Mexico,7,,,
484,9,Oct 20 2018,Sat,Georgia Southern,48,@,New Mexico State,31,,,
485,9,Oct 20 2018,Sat,Houston,49,@,Navy,36,,,
486,9,Oct 20 2018,Sat,(19) Iowa,23,,Maryland,0,,,
487,9,Oct 20 2018,Sat,(14) Kentucky,14,,Vanderbilt,7,,,
488,9,Oct 20 2018,Sat,Liberty,48,,Idaho State,41,,,
489,9,Oct 20 2018,Sat,(5) Louisiana State,19,,(22) Mississippi State,3,,,
490,9,Oct 20 2018,Sat,Louisiana Tech,31,,Texas-El Paso,24,,,
491,9,Oct 20 2018,Sat,Louisiana-Monroe,20,,Texas State,14,,,
492,9,Oct 20 2018,Sat,Marshall,31,,Florida Atlantic,7,,,
493,9,Oct 20 2018,Sat,(6) Michigan,21,@,(24) Michigan State,7,,,
494,9,Oct 20 2018,Sat,Middle Tennessee State,21,,Charlotte,13,,,
495,9,Oct 20 2018,Sat,Missouri,65,,Memphis,33,,,
496,9,Oct 20 2018,Sat,Nebraska,53,,Minnesota,28,,,
497,9,Oct 20 2018,Sat,Nevada,40,@,Hawaii,22,,,
498,9,Oct 20 2018,Sat,Northwestern,18,@,Rutgers,15,,,
499,9,Oct 20 2018,Sat,Ohio,49,,Bowling Green State,14,,,
500,9,Oct 20 2018,Sat,(9) Oklahoma,52,@,Texas Christian,27,,,
501,9,Oct 20 2018,Sat,Old Dominion,37,@,Western Kentucky,34,,,
502,9,Oct 20 2018,Sat,(18) Penn State,33,@,Indiana,28,,,
503,9,Oct 20 2018,Sat,Purdue,49,,(2) Ohio State,20,,,
504,9,Oct 20 2018,Sat,San Diego State,16,,San Jose State,13,,,
505,9,Oct 20 2018,Sat,(21) South Florida,38,,Connecticut,30,,,
506,9,Oct 20 2018,Sat,Southern Methodist,27,@,Tulane,23,,,
507,9,Oct 20 2018,Sat,Southern Mississippi,27,,Texas-San Antonio,17,,,
508,9,Oct 20 2018,Sat,Syracuse,40,,North Carolina,37,,,
509,9,Oct 20 2018,Sat,Temple,24,,(20) Cincinnati,17,,,
510,9,Oct 20 2018,Sat,Texas Tech,48,,Kansas,16,,,
511,9,Oct 20 2018,Sat,UCLA,31,,Arizona,30,,,
512,9,Oct 20 2018,Sat,Utah,41,,Southern California,28,,,
513,9,Oct 20 2018,Sat,Utah State,24,@,Wyoming,16,,,
514,9,Oct 20 2018,Sat,Virginia,28,@,Duke,14,,,
515,9,Oct 20 2018,Sat,(15) Washington,27,,Colorado,13,,,
516,9,Oct 20 2018,Sat,(25) Washington State,34,,(12) Oregon,20,,,
517,9,Oct 20 2018,Sat,Western Michigan,35,@,Central Michigan,10,,,
518,9,Oct 20 2018,Sat,(23) Wisconsin,49,,Illinois,20,,,
519,10,Oct 23 2018,Tue,Troy,38,@,South Alabama,17,,,
520,10,Oct 25 2018,Thu,Georgia Southern,34,,(25) Appalachian State,14,,,
521,10,Oct 25 2018,Thu,Georgia Tech,49,@,Virginia Tech,28,,,
522,10,Oct 25 2018,Thu,Ohio,52,,Ball State,14,,,
523,10,Oct 25 2018,Thu,Toledo,51,@,Western Michigan,24,,,
524,10,Oct 25 2018,Thu,(13) West Virginia,58,,Baylor,14,,,
525,10,Oct 26 2018,Fri,Boston College,27,,Miami (FL),14,,,
526,10,Oct 26 2018,Fri,Minnesota,38,,Indiana,31,,,
527,10,Oct 26 2018,Fri,(23) Utah,41,@,UCLA,10,,,
528,10,Oct 26 2018,Fri,Wyoming,34,@,Colorado State,21,,,
529,10,Oct 27 2018,Sat,Akron,17,,Central Michigan,10,,,
530,10,Oct 27 2018,Sat,Alabama-Birmingham,19,@,Texas-El Paso,0,,,
531,10,Oct 27 2018,Sat,Arizona,44,,(19) Oregon,15,,,
532,10,Oct 27 2018,Sat,Arizona State,38,@,Southern California,35,,,
533,10,Oct 27 2018,Sat,Army,37,@,Eastern Michigan,22,,,
534,10,Oct 27 2018,Sat,Boise State,48,@,Air Force,38,,,
535,10,Oct 27 2018,Sat,California,12,,(15) Washington,10,,,
536,10,Oct 27 2018,Sat,Charlotte,20,,Southern Mississippi,17,,,
537,10,Oct 27 2018,Sat,Cincinnati,26,@,Southern Methodist,20,,,
538,10,Oct 27 2018,Sat,(2) Clemson,59,@,Florida State,10,,,
539,10,Oct 27 2018,Sat,Coastal Carolina,37,@,Georgia State,34,,,
540,10,Oct 27 2018,Sat,Florida International,38,@,Western Kentucky,17,,,
541,10,Oct 27 2018,Sat,Fresno State,50,,Hawaii,20,,,
542,10,Oct 27 2018,Sat,(7) Georgia,36,,(9) Florida,17,X,,
543,10,Oct 27 2018,Sat,Houston,57,,(21) South Florida,36,,,
544,10,Oct 27 2018,Sat,Iowa State,40,,Texas Tech,31,,,
545,10,Oct 27 2018,Sat,Kansas,27,,Texas Christian,26,,,
546,10,Oct 27 2018,Sat,(12) Kentucky,15,@,Missouri,14,,,
547,10,Oct 27 2018,Sat,Louisiana,47,,Arkansas State,43,,,
548,10,Oct 27 2018,Sat,Louisiana Tech,21,@,Florida Atlantic,13,,,
549,10,Oct 27 2018,Sat,Maryland,63,,Illinois,33,,,
550,10,Oct 27 2018,Sat,Massachusetts,22,@,Connecticut,17,,,
551,10,Oct 27 2018,Sat,Michigan State,23,,Purdue,13,,,
552,10,Oct 27 2018,Sat,Middle Tennessee State,51,@,Old Dominion,17,,,
553,10,Oct 27 2018,Sat,Mississippi State,28,,(16) Texas A&M,13,,,
554,10,Oct 27 2018,Sat,Nebraska,45,,Bethune-Cookman,9,,,
555,10,Oct 27 2018,Sat,Nevada,28,,San Diego State,24,,,
556,10,Oct 27 2018,Sat,North Texas,41,,Rice,17,,,
557,10,Oct 27 2018,Sat,Northern Illinois,7,@,Brigham Young,6,,,
558,10,Oct 27 2018,Sat,Northwestern,31,,(20) Wisconsin,17,X,,
559,10,Oct 27 2018,Sat,(3) Notre Dame,44,,Navy,22,,,
560,10,Oct 27 2018,Sat,(8) Oklahoma,51,,Kansas State,14,,,
561,10,Oct 27 2018,Sat,Oklahoma State,38,,(6) Texas,35,,,
562,10,Oct 27 2018,Sat,Oregon State,41,@,Colorado,34,,,
563,10,Oct 27 2018,Sat,(17) Penn State,30,,(18) Iowa,24,,,
564,10,Oct 27 2018,Sat,Pittsburgh,54,,Duke,45,,,
565,10,Oct 27 2018,Sat,San Jose State,50,,Nevada-Las Vegas,37,,,
566,10,Oct 27 2018,Sat,South Carolina,27,,Tennessee,24,,,
567,10,Oct 27 2018,Sat,Syracuse,51,,(22) North Carolina State,41,,,
568,10,Oct 27 2018,Sat,Texas State,27,,New Mexico State,20,,,
569,10,Oct 27 2018,Sat,Tulane,24,@,Tulsa,17,,,
570,10,Oct 27 2018,Sat,Utah State,61,,New Mexico,19,,,
571,10,Oct 27 2018,Sat,Vanderbilt,45,@,Arkansas,31,,,
572,10,Oct 27 2018,Sat,Virginia,31,,North Carolina,21,,,
573,10,Oct 27 2018,Sat,Wake Forest,56,@,Louisville,35,,,
574,10,Oct 27 2018,Sat,(14) Washington State,41,@,(24) Stanford,38,,,
575,11,Oct 30 2018,Tue,Buffalo,51,,Miami (OH),42,,,
576,11,Oct 30 2018,Tue,Kent State,35,@,Bowling Green State,28,,,
577,11,Oct 31 2018,Wed,Toledo,45,,Ball State,13,,,
578,11,Nov 1 2018,Thu,(9) Central Florida,52,,Temple,40,,,
579,11,Nov 1 2018,Thu,Northern Illinois,36,@,Akron,26,,,
580,11,Nov 1 2018,Thu,Ohio,59,@,Western Michigan,14,,,
581,11,Nov 2 2018,Fri,Arizona,42,,Colorado,34,,,
582,11,Nov 2 2018,Fri,Middle Tennessee State,29,,Western Kentucky,10,,,
583,11,Nov 2 2018,Fri,Pittsburgh,23,@,(23) Virginia,13,,,
584,11,Nov 3 2018,Sat,(1) Alabama,29,@,(4) Louisiana State,0,,,
585,11,Nov 3 2018,Sat,Alabama-Birmingham,52,,Texas-San Antonio,3,,,
586,11,Nov 3 2018,Sat,Appalachian State,23,@,Coastal Carolina,7,,,
587,11,Nov 3 2018,Sat,Arizona State,38,,(16) Utah,20,,,
588,11,Nov 3 2018,Sat,Arkansas State,38,,South Alabama,14,,,
589,11,Nov 3 2018,Sat,Army,17,,Air Force,14,,,
590,11,Nov 3 2018,Sat,Auburn,28,,(25) Texas A&M,24,,,
591,11,Nov 3 2018,Sat,Baylor,35,,Oklahoma State,31,,,
592,11,Nov 3 2018,Sat,Boise State,21,,Brigham Young,16,,,
593,11,Nov 3 2018,Sat,(24) Boston College,31,@,Virginia Tech,21,,,
594,11,Nov 3 2018,Sat,Cincinnati,42,,Navy,0,,,
595,11,Nov 3 2018,Sat,(2) Clemson,77,,Louisville,16,,,
596,11,Nov 3 2018,Sat,Duke,20,@,Miami (FL),12,,,
597,11,Nov 3 2018,Sat,Eastern Michigan,17,,Central Michigan,7,,,
598,11,Nov 3 2018,Sat,Florida Atlantic,49,@,Florida International,14,,,
599,11,Nov 3 2018,Sat,(20) Fresno State,48,@,Nevada-Las Vegas,3,,,
600,11,Nov 3 2018,Sat,(6) Georgia,34,@,(11) Kentucky,17,,,
601,11,Nov 3 2018,Sat,Georgia Tech,38,@,North Carolina,28,,,
602,11,Nov 3 2018,Sat,Illinois,55,,Minnesota,31,,,
603,11,Nov 3 2018,Sat,Iowa State,27,@,Kansas,3,,,
604,11,Nov 3 2018,Sat,Louisiana-Monroe,44,,Georgia Southern,25,,,
605,11,Nov 3 2018,Sat,Massachusetts,62,,Liberty,59,,,
606,11,Nov 3 2018,Sat,Memphis,59,@,East Carolina,41,,,
607,11,Nov 3 2018,Sat,(5) Michigan,42,,(14) Penn State,7,,,
608,11,Nov 3 2018,Sat,Michigan State,24,@,Maryland,3,,,
609,11,Nov 3 2018,Sat,(21) Mississippi State,45,,Louisiana Tech,3,,,
610,11,Nov 3 2018,Sat,Missouri,38,@,(13) Florida,17,,,
611,11,Nov 3 2018,Sat,New Mexico State,52,,Alcorn State,42,,,
612,11,Nov 3 2018,Sat,North Carolina State,47,,Florida State,28,,,
613,11,Nov 3 2018,Sat,(3) Notre Dame,31,@,Northwestern,21,,,
614,11,Nov 3 2018,Sat,(8) Ohio State,36,,Nebraska,31,,,
615,11,Nov 3 2018,Sat,(7) Oklahoma,51,@,Texas Tech,46,,,
616,11,Nov 3 2018,Sat,Oregon,42,,UCLA,21,,,
617,11,Nov 3 2018,Sat,Purdue,38,,(19) Iowa,36,,,
618,11,Nov 3 2018,Sat,San Diego State,31,@,New Mexico,23,,,
619,11,Nov 3 2018,Sat,South Carolina,48,@,Mississippi,44,,,
620,11,Nov 3 2018,Sat,Southern California,38,@,Oregon State,21,,,
621,11,Nov 3 2018,Sat,Southern Methodist,45,,(17) Houston,31,,,
622,11,Nov 3 2018,Sat,Southern Mississippi,26,,Marshall,24,,,
623,11,Nov 3 2018,Sat,(22) Syracuse,41,@,Wake Forest,24,,,
624,11,Nov 3 2018,Sat,Tennessee,14,,Charlotte,3,,,
625,11,Nov 3 2018,Sat,Texas Christian,14,,Kansas State,13,,,
626,11,Nov 3 2018,Sat,Texas State,40,@,Georgia State,31,,,
627,11,Nov 3 2018,Sat,Texas-El Paso,34,@,Rice,26,,,
628,11,Nov 3 2018,Sat,Troy,26,,Louisiana,16,,,
629,11,Nov 3 2018,Sat,Tulane,41,@,South Florida,15,,,
630,11,Nov 3 2018,Sat,Tulsa,49,,Connecticut,19,,,
631,11,Nov 3 2018,Sat,(18) Utah State,56,@,Hawaii,17,,,
632,11,Nov 3 2018,Sat,Washington,27,,Stanford,23,,,
633,11,Nov 3 2018,Sat,(10) Washington State,19,,California,13,,,
634,11,Nov 3 2018,Sat,(12) West Virginia,42,@,(15) Texas,41,,,
635,11,Nov 3 2018,Sat,Wisconsin,31,,Rutgers,17,,,
636,11,Nov 3 2018,Sat,Wyoming,24,,San Jose State,9,,,
637,12,Nov 6 2018,Tue,Buffalo,48,,Kent State,14,,,
638,12,Nov 7 2018,Wed,Miami (OH),30,,Ohio,28,,,
639,12,Nov 7 2018,Wed,Northern Illinois,38,,Toledo,15,,,
640,12,Nov 8 2018,Thu,Wake Forest,27,@,(22) North Carolina State,23,,,
641,12,Nov 9 2018,Fri,Boise State,24,,(16) Fresno State,17,,,
642,12,Nov 9 2018,Fri,(13) Syracuse,54,,Louisville,23,,,
643,12,Nov 10 2018,Sat,Air Force,42,,New Mexico,24,,,
644,12,Nov 10 2018,Sat,(1) Alabama,24,,(18) Mississippi State,0,,,
645,12,Nov 10 2018,Sat,Alabama-Birmingham,26,,Southern Mississippi,23,,,
646,12,Nov 10 2018,Sat,Appalachian State,38,@,Texas State,7,,,
647,12,Nov 10 2018,Sat,Arizona State,31,,UCLA,28,,,
648,12,Nov 10 2018,Sat,Arkansas State,44,@,Coastal Carolina,16,,,
649,12,Nov 10 2018,Sat,Army,31,,Lafayette,13,,,
650,12,Nov 10 2018,Sat,Bowling Green State,24,@,Central Michigan,13,,,
651,12,Nov 10 2018,Sat,Brigham Young,35,@,Massachusetts,16,,,
652,12,Nov 10 2018,Sat,California,15,@,Southern California,14,,,
653,12,Nov 10 2018,Sat,(11) Central Florida,35,,Navy,24,,,
654,12,Nov 10 2018,Sat,(25) Cincinnati,35,,South Florida,23,,,
655,12,Nov 10 2018,Sat,(2) Clemson,27,@,(17) Boston College,7,,,
656,12,Nov 10 2018,Sat,Duke,42,,North Carolina,35,,,
657,12,Nov 10 2018,Sat,Eastern Michigan,27,,Akron,7,,,
658,12,Nov 10 2018,Sat,(19) Florida,35,,South Carolina,31,,,
659,12,Nov 10 2018,Sat,Florida Atlantic,34,,Western Kentucky,15,,,
660,12,Nov 10 2018,Sat,Florida International,45,@,Texas-San Antonio,7,,,
661,12,Nov 10 2018,Sat,(5) Georgia,27,,Auburn,10,,,
662,12,Nov 10 2018,Sat,Georgia Tech,27,,Miami (FL),21,,,
663,12,Nov 10 2018,Sat,Indiana,34,,Maryland,32,,,
664,12,Nov 10 2018,Sat,(23) Iowa State,28,,Baylor,14,,,
665,12,Nov 10 2018,Sat,Kansas State,21,,Kansas,17,,,
666,12,Nov 10 2018,Sat,Louisiana,36,,Georgia State,22,,,
667,12,Nov 10 2018,Sat,(9) Louisiana State,24,@,Arkansas,17,,,
668,12,Nov 10 2018,Sat,Louisiana Tech,28,,Rice,13,,,
669,12,Nov 10 2018,Sat,Louisiana-Monroe,38,@,South Alabama,10,,,
670,12,Nov 10 2018,Sat,Marshall,30,,Charlotte,13,,,
671,12,Nov 10 2018,Sat,Memphis,47,,Tulsa,21,,,
672,12,Nov 10 2018,Sat,(4) Michigan,42,@,Rutgers,7,,,
673,12,Nov 10 2018,Sat,Middle Tennessee State,48,@,Texas-El Paso,32,,,
674,12,Nov 10 2018,Sat,Minnesota,41,,Purdue,10,,,
675,12,Nov 10 2018,Sat,Missouri,33,,Vanderbilt,28,,,
676,12,Nov 10 2018,Sat,Nebraska,54,,Illinois,35,,,
677,12,Nov 10 2018,Sat,Nevada,49,,Colorado State,10,,,
678,12,Nov 10 2018,Sat,Nevada-Las Vegas,27,@,San Diego State,24,,,
679,12,Nov 10 2018,Sat,Northwestern,14,@,Iowa,10,,,
680,12,Nov 10 2018,Sat,(3) Notre Dame,42,,Florida State,13,,,
681,12,Nov 10 2018,Sat,(8) Ohio State,26,@,(24) Michigan State,6,,,
682,12,Nov 10 2018,Sat,(6) Oklahoma,48,,Oklahoma State,47,,,
683,12,Nov 10 2018,Sat,Old Dominion,34,,North Texas,31,,,
684,12,Nov 10 2018,Sat,(21) Penn State,22,,Wisconsin,10,,,
685,12,Nov 10 2018,Sat,Pittsburgh,52,,Virginia Tech,22,,,
686,12,Nov 10 2018,Sat,Southern Methodist,62,@,Connecticut,50,,,
687,12,Nov 10 2018,Sat,Stanford,48,,Oregon State,17,,,
688,12,Nov 10 2018,Sat,Temple,59,@,Houston,49,,,
689,12,Nov 10 2018,Sat,Tennessee,24,,(12) Kentucky,7,,,
690,12,Nov 10 2018,Sat,(15) Texas,41,@,Texas Tech,34,,,
691,12,Nov 10 2018,Sat,Texas A&M,38,,Mississippi,24,,,
692,12,Nov 10 2018,Sat,Troy,35,@,Georgia Southern,21,,,
693,12,Nov 10 2018,Sat,Tulane,24,,East Carolina,18,,,
694,12,Nov 10 2018,Sat,Utah,32,,Oregon,25,,,
695,12,Nov 10 2018,Sat,(14) Utah State,62,,San Jose State,24,,,
696,12,Nov 10 2018,Sat,Virginia,45,,Liberty,24,,,
697,12,Nov 10 2018,Sat,(10) Washington State,31,@,Colorado,7,,,
698,12,Nov 10 2018,Sat,(7) West Virginia,47,,Texas Christian,10,,,
699,13,Nov 13 2018,Tue,Ball State,42,,Western Michigan,41,,,
700,13,Nov 14 2018,Wed,Miami (OH),13,@,Northern Illinois,7,,,
701,13,Nov 14 2018,Wed,Ohio,52,,Buffalo,17,,,
702,13,Nov 15 2018,Thu,Houston,48,,Tulane,17,,,
703,13,Nov 15 2018,Thu,North Texas,41,,Florida Atlantic,38,,,
704,13,Nov 15 2018,Thu,Toledo,56,@,Kent State,34,,,
705,13,Nov 16 2018,Fri,(23) Boise State,45,@,New Mexico,14,,,
706,13,Nov 16 2018,Fri,Memphis,28,@,Southern Methodist,18,,,
707,13,Nov 17 2018,Sat,(1) Alabama,50,,Citadel,17,,,
708,13,Nov 17 2018,Sat,Appalachian State,45,,Georgia State,17,,,
709,13,Nov 17 2018,Sat,Arkansas State,31,,Louisiana-Monroe,17,,,
710,13,Nov 17 2018,Sat,Army,28,,Colgate,14,,,
711,13,Nov 17 2018,Sat,Auburn,53,,Liberty,0,,,
712,13,Nov 17 2018,Sat,Bowling Green State,21,@,Akron,6,,,
713,13,Nov 17 2018,Sat,Brigham Young,45,,New Mexico State,10,,,
714,13,Nov 17 2018,Sat,(11) Central Florida,38,,(19) Cincinnati,13,,,
715,13,Nov 17 2018,Sat,(2) Clemson,35,,Duke,6,,,
