"","V1","V2","V3","V4","V5","V6"
"1","Michigan State","Colorado State","-7","1","",""
"2","Nebraska","Louisiana Tech","29","1"," H 31 A 7"," H 31 A 21"
"3","Southern California","Purdue","10","1","",""
"4","0","0","0","0","0","0"
"5","Hawaii","Arizona","-21","2"," A 22"," A -19"
"6","North Carolina State","Ohio","3","2","",""
"7","Eastern Michigan","Northern Iowa","-3","2","",""
"8","Auburn","Virginia","-19","2","",""
"9","Western Michigan","Northern Illinois","14","2"," A 28 H -2 H 10 A 2 A -1"," H -13 A 16 A -12 H 10 A 5"
"10","Air Force","Wake Forest","42","2"," H 42"," H 12"
"11","Alabama","Brigham Young","7","2","",""
"12","Arkansas","Louisiana","21","2","",""
"13","Boise State","Cal State Northridge","13","2","",""
"14","Georgia Tech","Boston College","-10","2","",""
"15","California","Houston","4","2"," H -12"," H -18"
"16","Louisiana Tech","Central Florida","-34","2"," H 63 A 15"," A -32 A 4"
"17","Clemson","Furman","33","2","",""
"18","0","0","0","0","0","0"
"19","Duke","Western Carolina","14","2","",""
"20","Florida","Citadel","39","2","",""
"21","Georgia","Kent State","53","2","",""
"22","Idaho","Eastern Washington","17","2","",""
"23","Iowa","Central Michigan","38","2","",""
"24","Kansas State","Indiana State","66","2","",""
"25","Louisville","Kentucky","-34","2","",""
"26","Louisiana-Monroe","Nicholls State","34","2","",""
"27","Akron","Marshall","-11","2"," H 38 A -29 A 14 A 1 A 37 H 3"," H 32 H 35 A -7 H 28 A 21 A -3"
"28","Maryland","James Madison","8","2","",""
"29","Miami (FL)","East Tennessee State","49","2","",""
"30","North Carolina","Miami (OH)","-3","2","",""
"31","Minnesota","Arkansas State","3","2"," H 27"," A 16"
"32","Mississippi","Memphis","20","2"," H 13 A 34"," H 16 H -14"
"33","Mississippi State","Vanderbilt","42","2"," A -38 A 2 H 12"," H 3 A 38 A 25"
"34","Missouri","Bowling Green State","37","2","",""
"35","Nebraska","Alabama-Birmingham","31","2"," H 29 H 41"," A 31 H -2"
"36","New Mexico","Idaho State","29","2","",""
"37","Northwestern","Nevada-Las Vegas","34","2"," A -9 A 31"," A 22 A 45"
"38","Notre Dame","Michigan","16","2"," A 22"," H 12"
"39","West Virginia","Ohio State","-17","2","",""
"40","Oklahoma","North Texas","28","2"," A 29"," A 19"
"41","Kansas","Oklahoma State","-10","2"," H -3 H -48"," H -11 A 32"
"42","Oregon","Michigan State","34","2","",""
"43","Oregon State","Nevada","42","2"," A -4"," A -5"
"44","Penn State","Southern Mississippi","28","2","",""
"45","Pittsburgh","Villanova","7","2","",""
"46","Rice","Southern Methodist","6","2"," H 4 A 10 H 12 A -2 H 22"," H 30 A 5 H -22 H 4 H 3"
"47","Rutgers","Richmond","1","2","",""
"48","Stanford","San Jose State","-12","2"," A 35"," A 55"
"49","South Carolina","Ball State","18","2"," H -3"," A 32"
"50","Syracuse","Tennessee","-1","2","",""
"51","Texas","New Mexico State","30","2","",""
"52","Iowa State","Texas Christian","-10","2"," A 3"," H -1"
"53","Texas Tech","Texas-El Paso","32","2"," H 6"," A 26"
"54","Toledo","Temple","12","2"," A -7"," H -7"
"55","Cincinnati","Tulane","-18","2"," A 17 A 43 A 18 H 1"," A -14 H 6 A -10 H 28"
"56","Tulsa","Missouri State","35","2","",""
"57","Utah State","Utah","-8","2"," A 3 A 14"," A -34 H -3"
"58","Virginia Tech","East Carolina","35","2"," A -41"," H 19"
"59","Arizona State","Washington","-4","2"," A 20 H 21 A 11 H 33 A 32"," H 10 H 1 A 23 H 8 A 5"
"60","Washington State","Illinois","7","2","",""
"61","San Diego State","Wisconsin","-12","2","",""
"62","Wake Forest","Navy","12","3"," A 42"," A 42"
"63","Nevada-Las Vegas","Air Force","-42","3"," A 22 H -3 A 3 H -4"," H 3 A -7 H 24 A -21"
"64","Temple","Akron","-7","3"," A 12 A -1"," H -7 A 35"
"65","Alabama","Vanderbilt","25","3"," H -6 H 3 A 12"," H -32 H -24 A 42"
"66","Stanford","Arizona","-17","3"," A 35 H -7 A 4 H 10"," H 35 A -21 H -24 H 34"
"67","Mississippi","Auburn","-17","3"," H 6 A 34 A 7"," H -12 H -3 H -11"
"68","Boston College","Rutgers","27","3"," H 24 H -17 H -1 A 18 A -8"," H 11 A 56 A -3 H -36 A -4"
"69","Brigham Young","Arizona State","20","3"," A 10"," H -4"
"70","Central Florida","Eastern Illinois","48","3","",""
"71","Central Michigan","Western Illinois","21","3","",""
"72","Colorado","Fresno State","8","3"," H 2"," A 6"
"73","Nevada","Colorado State","-12","3"," A -11 H -3"," H 22 A -19"
"74","Northwestern","Duke","-34","3","",""
"75","East Carolina","Chattanooga","31","3","",""
"76","Ball State","Eastern Michigan","-6","3"," A 38 H 5 A 32 H -1"," A 3 H -12 H -3 A 10"
"77","Florida","Louisiana-Monroe","32","3","",""
"78","South Carolina","Georgia","-14","3"," A 2 A 5 A 3 H -35"," H 7 A -2 H 25 H -19"
"79","Georgia Tech","New Mexico State","35","3","",""
"80","San Jose State","Idaho","-5","3","",""
"81","Illinois","Middle Tennessee State","28","3","",""
"82","Indiana","Western Michigan","15","3","",""
"83","Iowa","Iowa State","-18","3","",""
"84","Kansas State","Northern Illinois","66","3","",""
"85","Kentucky","Eastern Kentucky","45","3","",""
"86","Louisiana State","Arkansas State","36","3"," H 33 A 6"," H -38 A 13"
"87","Marshall","Troy","30","3","",""
"88","Cincinnati","Miami (FL)","-26","3","",""
"89","Army","Miami (OH)","-1","3"," H 17"," A -41"
"90","Michigan State","Notre Dame","22","3"," A 12 H -1"," H 16 H 1"
"91","Houston","Minnesota","-7","3"," H 21"," H 27"
"92","Memphis","Mississippi State","-8","3"," H -14"," H 1"
"93","Missouri","Kansas","18","3"," A 7 H 24 A 3"," A 41 H 16 H -3"
"94","California","Nebraska","-21","3"," A 8"," H 48"
"95","New Mexico","Utah State","3","3"," A 1 H -34"," A -3 H -8"
"96","North Carolina State","Florida State","17","3"," H -23 H 3 A 10 A -7 H 11"," A -27 H 49 H 31 H 48 A -17"
"97","Louisiana","Northwestern State","-2","3","",""
"98","Ohio State","Toledo","49","3","",""
"99","Texas Christian","Oklahoma","-1","3"," A -10"," H 3"
"100","Texas-El Paso","Oregon","-7","3"," H 7"," H 55"
"101","Oregon State","Baylor","10","3","",""
"102","Penn State","Bowling Green State","45","3","",""
"103","Purdue","Rice","2","3"," A -35"," H -9"
"104","Southern California","San Diego State","29","3","",""
"105","Michigan","Syracuse","-10","3","",""
"106","Texas A&M","Louisiana Tech","21","3"," H 7"," A 29"
"107","North Texas","Texas Tech","-30","3"," A 19"," A 7"
"108","Southern Methodist","Tulane","-10","3","",""
"109","Tulsa","Oklahoma State","15","3","",""
"110","UCLA","Texas","18","3","",""
"111","Utah","Louisville","23","3","",""
"112","Virginia","Maryland","12","3"," H 2 A -24 A 3 A -21 A 31 H 17"," A 23 A -17 H -17 H -10 H -14 A 11"
"113","Clemson","Virginia Tech","-37","3","",""
"114","Boise State","Washington State","-12","3","",""
"115","Wisconsin","Ohio","45","3","",""
"116","Wyoming","Montana State","8","3","",""
"117","Kent State","Youngstown State","-14","3","",""
"118","Air Force","Colorado State","3","4"," A -42 A 1 A -21 A -7"," H 22 H 21 H 27 H -8"
