"","V1","V2","V3","V4","V5","V6"
"1","Brigham Young","Texas A&amp;M","4","1","",""
"2","Penn State","Southern California","17","1","",""
"3","Central Florida","William &amp; Mary","6","2","",""
"4","Western Michigan","Eastern Illinois","-8","2","",""
"5","Kansas","Ball State","25","2","",""
"6","Louisiana-Monroe","Nicholls State","2","2","",""
"7","New Mexico State","New Mexico","-21","2","",""
"8","Ohio","Akron","30","2"," A -9 H 38 A -38 A 16"," A 15 H 7 H 20 H 3"
"9","Wake Forest","Appalachian State","6","2","",""
"10","Cincinnati","Tulane","-20","2"," A 2 H 11 A -3 A 4"," A 7 H -3 H -3 H -3"
"11","Air Force","San Jose State","45","2"," A 3 H 27 H -1 A -6"," H -23 A -21 A 23 A 10"
"12","Alabama","Bowling Green State","14","2","",""
"13","Arizona","Texas-El Paso","20","2","",""
"14","Auburn","Alabama-Birmingham","29","2","",""
"15","Hawaii","Boston College","-3","2","",""
"16","Brigham Young","Arkansas State","49","2","",""
"17","Boise State","Central Michigan","-21","2","",""
"18","Colorado","Washington State","18","2","",""
"19","Colorado State","Chattanooga","42","2","",""
"20","Florida","Louisiana-Lafayette","34","2","",""
"21","Houston","Sam Houston State","18","2","",""
"22","Kansas State","Texas Tech","7","2"," H -36 A -3 A -26"," H -14 A -3 A -13"
"23","Louisiana Tech","Middle Tennessee State","20","2","",""
"24","Kentucky","Louisville","-24","2"," A 21"," H -3"
"25","Maryland","Northern Illinois","24","2","",""
"26","Memphis","Miami (FL)","-23","2","",""
"27","Miami (OH)","Kent State","58","2"," A -10 H -4 H 32 A -10 A 3"," A 44 A 7 H -1 A 41 H 15"
"28","Michigan","Illinois","12","2"," A 1 H 7 A -34 H 16"," A 3 H 3 A 2 A 28"
"29","Michigan State","Purdue","38","2"," A -18 H 17 A 16"," H 3 A 8 H 6"
"30","Mississippi","Idaho State","24","2","",""
"31","North Carolina","Clemson","45","2"," H 16 A 13 A -39 H 31 H 32 A 3"," H 3 A 31 H 11 H 32 H 23 A -8"
"32","Oklahoma State","Missouri State","3","2","",""
"33","Fresno State","Oregon","-3","2"," H -22"," H 7"
"34","Rutgers","Villanova","10","2","",""
"35","Southern Methodist","Tulsa","7","2"," H -4 A 28 H 21 A -30"," A 26 H -25 H -11 A -17"
"36","Georgia","Southern Mississippi","-4","2","",""
"37","Eastern Michigan","Temple","-4","2","",""
"38","Tennessee","Nevada-Las Vegas","59","2","",""
"39","Texas","Missouri","30","2"," H 57 A 4 H 5"," H 7 H -28 A -7"
"40","Utah State","Utah","3","2","",""
"41","Pittsburgh","West Virginia","-34","2"," A 45 H 1 A 48 H 7"," H -3 A -20 H -23 H 17"
"42","Wyoming","Idaho","2","2"," A 4"," A 19"
"43","Vanderbilt","Notre Dame","-7","3","",""
"44","Nevada-Las Vegas","Air Force","-48","3"," A 19 H -12 A 10 H -11"," H -1 A 3 H 27 A -6"
"45","Alabama","Southern Mississippi","10","3","",""
"46","Arizona State","Washington","3","3"," H 21 A -8 H 13 A -32 A -15"," A -19 H 20 A -11 H 21 H 39"
"47","Arkansas State","Austin Peay","24","3","",""
"48","Auburn","Fresno State","62","3","",""
"49","Louisiana Tech","Baylor","-8","3"," A 50"," H -17"
"50","Boise State","Portland State","11","3","",""
"51","San Jose State","California","-20","3"," A 36 H -29"," A 3 H 5"
"52","Cincinnati","Kentucky","21","3"," A -3"," H -24"
"53","Clemson","Furman","16","3","",""
"54","Colorado State","Colorado","-14","3","",""
"55","East Carolina","East Tennessee State","24","3","",""
"56","Florida","Georgia Southern","48","3","",""
"57","Florida State","Duke","37","3"," A -34 H 31 H 7 A -46 H 37 H 38"," A 22 H -7 H -24 A 26 A 1 H -3"
