Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Aug 28 1994,Sun,(4) Nebraska,31,N,(24) West Virginia,0,
2,1,Aug 29 1994,Mon,(20) Ohio State,34,N,Fresno State,10,
3,2,Sep 1 1994,Thu,(7) Arizona,19,@,Georgia Tech,14,
4,2,Sep 1 1994,Thu,Kansas,35,@,Houston,13,
5,2,Sep 1 1994,Thu,North Carolina State,20,,Bowling Green State,15,
6,2,Sep 1 1994,Thu,Oklahoma State,31,@,Northern Illinois,14,
7,2,Sep 1 1994,Thu,Washington State,10,@,(22) Illinois,9,
8,2,Sep 3 1994,Sat,(11) Alabama,42,,Chattanooga,13,
9,2,Sep 3 1994,Sat,Arizona State,22,,Oregon State,16,
10,2,Sep 3 1994,Sat,Arkansas,34,,Southern Methodist,14,
11,2,Sep 3 1994,Sat,(12) Auburn,22,@,Mississippi,17,
12,2,Sep 3 1994,Sat,Baylor,44,,Louisiana Tech,3,
13,2,Sep 3 1994,Sat,Brigham Young,13,@,Hawaii,12,
14,2,Sep 3 1994,Sat,(24) Clemson,27,,Furman,6,
15,2,Sep 3 1994,Sat,(8) Colorado,48,,Louisiana-Monroe,13,
16,2,Sep 3 1994,Sat,Colorado State,34,@,Air Force,21,
17,2,Sep 3 1994,Sat,Duke,49,,Maryland,16,
18,2,Sep 3 1994,Sat,(1) Florida,70,,New Mexico State,21,
19,2,Sep 3 1994,Sat,(4) Florida State,41,,Virginia,17,
20,2,Sep 3 1994,Sat,Fresno State,45,,San Jose State,13,
21,2,Sep 3 1994,Sat,Georgia,24,@,South Carolina,21,
22,2,Sep 3 1994,Sat,Indiana,28,,Cincinnati,3,
23,2,Sep 3 1994,Sat,Iowa,52,,Central Michigan,21,
24,2,Sep 3 1994,Sat,Kansas State,34,,Louisiana,6,
25,2,Sep 3 1994,Sat,Kentucky,20,,Louisville,14,
26,2,Sep 3 1994,Sat,(6) Miami (FL),56,,Georgia Southern,0,
27,2,Sep 3 1994,Sat,(5) Michigan,34,,Boston College,26,
28,2,Sep 3 1994,Sat,Mississippi State,17,@,Memphis,6,
29,2,Sep 3 1994,Sat,Nevada,30,,Northern Arizona,27,
30,2,Sep 3 1994,Sat,Nevada-Las Vegas,17,,Eastern Michigan,3,
31,2,Sep 3 1994,Sat,(18) North Carolina,27,,Texas Christian,17,
32,2,Sep 3 1994,Sat,Northern Iowa,28,@,Iowa State,14,
33,2,Sep 3 1994,Sat,(3) Notre Dame,42,@,Northwestern,15,
34,2,Sep 3 1994,Sat,(16) Oklahoma,30,@,Syracuse,29,
35,2,Sep 3 1994,Sat,Oregon,58,,Portland State,16,
36,2,Sep 3 1994,Sat,Pacific,24,,California-Davis,7,
37,2,Sep 3 1994,Sat,(9) Penn State,56,@,Minnesota,3,
38,2,Sep 3 1994,Sat,Rutgers,28,,Kent State,6,
39,2,Sep 3 1994,Sat,San Diego State,56,,Navy,14,
40,2,Sep 3 1994,Sat,(17) Southern California,24,,(23) Washington,17,
41,2,Sep 3 1994,Sat,Southern Mississippi,25,@,Tulane,10,
42,2,Sep 3 1994,Sat,Temple,32,@,Akron,7,
43,2,Sep 3 1994,Sat,(19) Texas,30,@,Pittsburgh,28,
44,2,Sep 3 1994,Sat,(15) Texas A&M,18,@,Louisiana State,13,
45,2,Sep 3 1994,Sat,Texas Tech,37,,New Mexico,31,
46,2,Sep 3 1994,Sat,Toledo,20,,Indiana State,17,
47,2,Sep 3 1994,Sat,Tulsa,20,@,Missouri,17,
48,2,Sep 3 1994,Sat,(14) UCLA,25,,(13) Tennessee,23,
49,2,Sep 3 1994,Sat,Utah,32,@,Utah State,17,
50,2,Sep 3 1994,Sat,Vanderbilt,35,,Wake Forest,14,
51,2,Sep 3 1994,Sat,(21) Virginia Tech,34,,Arkansas State,7,
52,2,Sep 3 1994,Sat,West Virginia,16,,Ball State,14,
53,2,Sep 3 1994,Sat,Western Michigan,28,@,Miami (OH),25,
54,2,Sep 3 1994,Sat,Wyoming,36,,Texas-El Paso,13,
55,3,Sep 8 1994,Thu,(1) Nebraska,42,@,Texas Tech,16,
56,3,Sep 8 1994,Thu,Western Michigan,43,,Western Illinois,7,
57,3,Sep 10 1994,Sat,(11) Alabama,17,,Vanderbilt,7,
58,3,Sep 10 1994,Sat,(9) Arizona,44,,New Mexico State,0,
59,3,Sep 10 1994,Sat,Army,49,,Holy Cross,3,
60,3,Sep 10 1994,Sat,(12) Auburn,44,,Louisiana-Monroe,12,
61,3,Sep 10 1994,Sat,Baylor,54,@,San Jose State,20,
62,3,Sep 10 1994,Sat,Bowling Green State,45,@,Akron,0,
63,3,Sep 10 1994,Sat,Brigham Young,45,@,Air Force,21,
64,3,Sep 10 1994,Sat,Central Michigan,35,,Nevada-Las Vegas,23,
65,3,Sep 10 1994,Sat,Colorado State,41,,Utah State,16,
66,3,Sep 10 1994,Sat,Duke,13,,East Carolina,10,
