"","V1","V2","V3","V4","V5","V6"
"1","Florida Atlantic","Charlotte","30","1"," H 3 A 3 H 7 A -45 A 28"," A -33 H -6 A 14 H -19 A 10"
"2","Florida State","Duquesne","40","1","",""
"3","Illinois","Wyoming","32","1","",""
"4","New Mexico State","Nevada","-11","1"," H 19"," A 15"
"5","Nevada-Las Vegas","Idaho State","31","1","",""
"6","North Carolina","Florida A&M","32","1","",""
"7","Texas-El Paso","North Texas","-18","1"," A 10 H 3 A 7 H 34"," H 20 H 17 H 4 H 38"
"8","0","0","0","0","0","0"
"9","Utah State","Connecticut","11","1","",""
"10","Hawaii","Vanderbilt","-53","1","",""
"11","Western Kentucky","Austin Peay","11","1","",""
"12","Akron","St. Francis (PA)","7","2","",""
"13","Alabama-Birmingham","Alabama A&M","59","2","",""
"14","Arizona State","Northern Arizona","37","2","",""
"15","Central Florida","South Carolina State","46","2","",""
"16","Florida International","Bryant","1","2","",""
"17","Fresno State","Cal Poly","28","2","",""
"18","Minnesota","New Mexico State","38","2","",""
"19","Missouri","Louisiana Tech","28","2","",""
"20","Northern Illinois","Eastern Illinois","7","2","",""
"21","Oklahoma State","Central Michigan","14","2","",""
"22","Purdue","Penn State","-4","2"," A -10 A -2 H 8"," H 28 H 30 H 10"
"23","Pittsburgh","West Virginia","7","2"," H 16"," A -23"
"24","San Jose State","Portland State","4","2","",""
"25","Tennessee","Ball State","49","2","",""
"26","Toledo","Long Island","37","2","",""
"27","Wake Forest","Virginia Military Institute","34","2","",""
"28","Duke","Temple","30","2","",""
"29","Eastern Michigan","Eastern Kentucky","8","2","",""
"30","Indiana","Illinois","3","2"," A 14 H -21 A -8"," A -17 A 2 H -8"
"31","Kansas","Tennessee Tech","46","2","",""
"32","Michigan State","Western Michigan","22","2","",""
"33","Old Dominion","Virginia Tech","3","2","",""
"34","Colorado","Texas Christian","-25","2","",""
"35","Charlotte","William & Mary","-17","2","",""
"36","Air Force","Northern Iowa","31","2","",""
"37","Alabama","Utah State","55","2","",""
"38","San Diego State","Arizona","-18","2"," A 28"," A 25"
"39","Arkansas","Cincinnati","7","2","",""
"40","Arkansas State","Grambling State","55","2","",""
"41","Auburn","Mercer","26","2","",""
"42","Baylor","Albany","59","2","",""
"43","South Florida","Brigham Young","-29","2","",""
"44","California","California-Davis","21","2","",""
"45","Coastal Carolina","Army","10","2"," A -17 A -7"," H -17 H 24"
"46","Connecticut","Central Connecticut State","25","2","",""
"47","Navy","Delaware","-7","2","",""
