"","V1","V2","V3","V4","V5","V6"
"1","0","0","0","0","0","0"
"2","Central Michigan","Presbyterian","46","2","",""
"3","Cincinnati","Tennessee-Martin","21","2","",""
"4","Connecticut","Maine","3","2","",""
"5","Idaho","Montana State","3","2","",""
"6","Florida International","Indiana","-21","2"," H -27"," H 6"
"7","Louisville","Charlotte","56","2"," A -31"," A -3"
"8","Minnesota","Oregon State","7","2","",""
"9","Nevada-Las Vegas","Jackson State","50","2","",""
"10","New Mexico","South Dakota","27","2","",""
"11","North Carolina State","William & Mary","34","2","",""
"12","Vanderbilt","South Carolina","-3","2"," H -7 A 7 A -1 A 9"," A 13 A 7 H -14 H 10"
"13","Tennessee","Appalachian State","7","2","",""
"14","Utah","Southern Utah","24","2","",""
"15","Utah State","Weber State","39","2","",""
"16","Wake Forest","Tulane","4","2","",""
"17","Western Kentucky","Rice","32","2"," A 3 A -49 H 38"," A 45 H -17 H -7"
"18","Buffalo","Albany","-6","2","",""
"19","Temple","Army","-15","2","",""
"20","Georgia State","Ball State","-10","2","",""
"21","Baylor","Northwestern State","48","2","",""
"22","0","0","0","0","0","0"
"23","Eastern Michigan","Mississippi Valley State","47","2","",""
"24","Michigan State","Furman","15","2","",""
"25","Nevada","Cal Poly","3","2","",""
"26","Stanford","Kansas State","13","2","",""
"27","Syracuse","Colgate","26","2","",""
"28","Arkansas State","Toledo","-21","2","",""
"29","Air Force","Abilene Christian","16","2","",""
"30","Akron","Virginia Military Institute","23","2","",""
"31","0","0","0","0","0","0"
"32","Arizona State","Northern Arizona","31","2","",""
"33","Arkansas","Louisiana Tech","1","2","",""
"34","Louisiana","Boise State","-35","2","",""
"35","0","0","0","0","0","0"
"36","Central Florida","South Carolina State","38","2","",""
"37","Auburn","Clemson","-6","2","",""
"38","Duke","North Carolina Central","43","2","",""
"39","East Carolina","Western Carolina","45","2","",""
"40","Washington State","Eastern Washington","-3","2","",""
"41","Florida","Massachusetts","17","2"," H 13"," A 6"
"42","Florida Atlantic","Southern Illinois","8","2","",""
"43","0","0","0","0","0","0"
"44","Georgia Southern","Savannah State","54","2","",""
"45","0","0","0","0","0","0"
"46","0","0","0","0","0","0"
"47","Illinois","Murray State","49","2","",""
