"Team","Wins","Losses","Distribution"
"Western Illinois","0","2","0.000731202509225651"
"Southeastern Louisiana","0","2","0.000728692337728461"
"Bryant","1","1","0.000709346559236463"
"Nicholls State","0","2","0.000709120427553066"
"Tarleton State","1","0","0.000699479761537666"
"Portland State","0","2","0.000694088791691435"
"Lindenwood","0","2","0.00068201321212046"
"East Texas A&M","0","2","0.000657072379019919"
"Maine","0","2","0.000650965115750606"
"Lafayette","0","2","0.000632263954596573"
"McNeese State","0","2","0.000621899808225806"
"Albany","0","1","0.000617854121405603"
"Wagner","0","2","0.000615101085097355"
"Murray State","0","2","0.000588353887715063"
"Morgan State","0","2","0.000586180588232874"
"Northern Arizona","0","1","0.000569928841530659"
"Campbell","0","2","0.000567031653369485"
"Illinois State","0","1","0.000547740182429775"
"Northern Colorado","0","1","0.000514209142689323"
"Youngstown State","0","1","0.000491965820664361"
"Duquesne","0","2","0.000489261176494074"
"Holy Cross","0","1","0.000488637015384039"
"Sacramento State","0","1","0.000486816256568665"
"Southern Illinois","0","1","0.00048658431823135"
"Montana State","0","1","0.000478751047432219"
"St. Francis (PA)","0","2","0.00046097599651296"
"Stephen F. Austin","0","1","0.000458665056834385"
"Tennessee Tech","0","1","0.000443286216712095"
"Elon","0","1","0.000424795741574401"
"Towson","0","1","0.000419053988574649"
"Cal Poly","0","1","0.000417916678730011"
"Jackson State","0","1","0.000406793726482641"
"New Hampshire","0","1","0.000406089720046108"
"Alabama State","0","1","0.00040589295043197"
"Arkansas-Pine Bluff","0","1","0.000392458043126701"
"Northwestern State","0","2","0.000392372920129607"
"Citadel","0","1","0.000390295409919981"
"William & Mary","0","1","0.000389515001323164"
"Chattanooga","0","1","0.000386803012494173"
"Western Carolina","0","1","0.00038399589105328"
"Samford","0","1","0.000379742053590101"
"Villanova","0","1","0.000379343461656649"
"Southeast Missouri State","0","1","0.000378502852666651"
"Incarnate Word","0","1","0.000372796519633598"
"Northern Iowa","0","1","0.000361539963437074"
"Monmouth","0","1","0.000356759214593182"
"Delaware State","0","1","0.000351045292575747"
"Eastern Washington","0","1","0.000349294791995092"
"Alabama A&M","0","1","0.000336376682450506"
"Texas Southern","0","1","0.000334803278366804"
"Wofford","0","1","0.000334590822534926"
"Grambling State","0","1","0.000325667775597332"
"South Dakota","0","1","0.0003253796316323"
"Indiana State","0","1","0.000323300333711185"
"Stony Brook","0","1","0.000321640428940371"
"Prairie View A&M","0","1","0.000321518067279315"
"Rhode Island","0","1","0.000319414229894276"
"Central Arkansas","0","1","0.000315958822203902"
"East Tennessee State","0","1","0.000315881662014078"
"Lamar","0","1","0.000313853297168011"
"Houston Baptist","0","1","0.000301423003907416"
"Robert Morris","0","1","0.000295787475094132"
"California-Davis","0","1","0.000289238667644438"
"Richmond","0","1","0.000287035881552238"
"Bucknell","0","1","0.000285944802762779"
"North Carolina Central","0","1","0.000278194095924213"
"Virginia Military Institute","0","1","0.000269823729917624"
"Norfolk State","0","1","0.000262303167293291"
"Colgate","0","1","0.000260556896997271"
"Central Connecticut State","0","1","0.000256664729765005"
"Southern","0","1","0.000241650046981007"
"Florida A&M","0","1","0.000228861905731451"
"Alcorn State","0","1","0.000227069606407536"
"Howard","0","1","0.000225242078745504"
"North Alabama","0","1","0.000213131983532778"
"North Carolina A&T","0","1","0.000208702043811517"
"Fordham","0","1","0.000185258294941119"
