"x"
"Louisiana State",0.0134045157756991
"Missouri",0.0129061616009042
"Florida",0.0126429392355215
"Oklahoma",0.0126291122797945
"West Virginia",0.0126176136092775
"Kansas",0.0125042499238731
"South Florida",0.0120782762834553
"Ohio State",0.0119545324534842
"Cincinnati",0.0113959123094171
"Georgia",0.0108518594596091
"Clemson",0.0106408138039006
"Tennessee",0.0105312599140029
"Oregon",0.0104400749733539
"Southern California",0.0103600139233095
"Virginia Tech",0.0102986361940691
"Arkansas",0.0102612619201802
"Arizona State",0.0102019955633937
"Texas Tech",0.0101979405148118
"Auburn",0.0101466674432626
"Illinois",0.0100744801894584
"Texas",0.00993143100281308
"Penn State",0.00988075993243149
"Boston College",0.00977876654637943
"Brigham Young",0.00965375180212113
"Kentucky",0.00963966286975028
"Boise State",0.00947759319439363
"Utah",0.00943103865087207
"Michigan",0.00936051876873871
"Connecticut",0.00935482906680115
"South Carolina",0.00932287854923106
"Oklahoma State",0.00932032566593455
"Washington",0.00920186851071815
"Alabama",0.00919725846089982
"Wisconsin",0.00910718823152572
"Arizona",0.0090951187605839
"Michigan State",0.0090848084725498
"Central Florida",0.00903172635416005
"Maryland",0.00896312502902004
"Rutgers",0.00895804054609107
"Texas A&M",0.00894545403432128
"Louisville",0.0089364899650014
"Troy",0.00889671188619094
"Florida State",0.00879654129884535
"Hawaii",0.00878950140474069
"Kansas State",0.00876566720916144
"Wake Forest",0.00874167192951155
"Air Force",0.00864459227076335
"Virginia",0.00862816296312359
"California",0.00859927298057329
"Texas Christian",0.00850994119460861
"Purdue",0.00847213065346903
"Georgia Tech",0.00842908824230364
"Colorado",0.00842033112007821
"Oregon State",0.00836898206318609
"UCLA",0.00832912835082989
"Mississippi State",0.00827265285902997
"Vanderbilt",0.00808253212952492
"Nebraska",0.00807461916165722
"Tulsa",0.00801038996066225
"Indiana",0.00782146081925524
"Ball State",0.00773938913040705
"Fresno State",0.00765766943915604
"North Carolina",0.00758351552754927
"New Mexico",0.00756117742231899
"Iowa",0.00755105386564819
"Central Michigan",0.00750216925171679
"Washington State",0.00745384208750505
"Mississippi",0.00741585843784073
"Navy",0.00725433466747702
"East Carolina",0.00723930478210937
"Miami (FL)",0.00710620016136279
"Pittsburgh",0.00710453477736737
"Southern Mississippi",0.00709405131018075
"Bowling Green State",0.00706057990909166
"Houston",0.00703225318781657
"Florida Atlantic",0.0069875433668941
"Iowa State",0.00691130532924256
"Colorado State",0.00687982294586628
"North Carolina State",0.00686093959583933
"Wyoming",0.0067488650595478
"Miami (OH)",0.00673606263235176
"Western Michigan",0.00672895614959144
"Northwestern",0.00669943600199288
"Minnesota",0.00662994281649085
"Middle Tennessee State",0.00656143284855971
"Louisiana-Monroe",0.00653866322305115
"Notre Dame",0.00652018956412682
"Ohio",0.00645263452288502
"Western Kentucky",0.00638675708407798
"San Diego State",0.00636064339814733
"Nevada-Las Vegas",0.00631376608921717
"Marshall",0.00630813140706236
"Buffalo",0.00630104130018332
"Stanford",0.00627909793067336
"Arkansas State",0.00625470008016857
"Louisiana",0.00612612870493604
"Duke",0.00612537930960934
"Akron",0.00610251336555635
"Syracuse",0.00605811168004944
"Toledo",0.00603516379151077
"Nevada",0.00602436465003453
"Eastern Michigan",0.00596592317459492
"Texas-El Paso",0.00592971650529041
"Baylor",0.00577721939752551
"Memphis",0.00575466696428538
"San Jose State",0.00572172185458048
"Kent State",0.00568642516392413
"Army",0.00564827966903601
"Utah State",0.00558769371185821
"Louisiana Tech",0.00557888027388234
"Temple",0.00554655638547615
"New Mexico State",0.00549593929532139
"Tulane",0.00542862024683804
"Southern Methodist",0.00528165426039767
"Rice",0.00520377943497547
"Northern Illinois",0.00516527723925309
"Florida International",0.00515148361330809
"Alabama-Birmingham",0.00515138862084947
"Idaho",0.00496917517939492
"North Texas",0.00462573780244073
"North Dakota State",0.0018266510608538
"Chattanooga",0.00106178732426236
"Southeastern Louisiana",0.00105232863466432
"Gardner-Webb",0.000938205093204699
"Appalachian State",0.000913223338683535
"Grambling State",0.000902440083740416
"Western Carolina",0.000882520408766302
"South Carolina State",0.000854530711755865
"Elon",0.00083153596638099
"McNeese State",0.000814542935840193
"Northern Iowa",0.000810943573252727
"Eastern Kentucky",0.000794353565138748
"Illinois State",0.000785665221319342
"Delaware",0.000784159445390419
"Nicholls State",0.000773191834348064
"New Hampshire",0.000771157649997865
"Northwestern State",0.000760431877693543
"Massachusetts",0.000745915899186714
"Sacramento State",0.000650007777037009
"Citadel",0.00063997989848765
"Western Illinois",0.000613286037514248
"Villanova",0.000592275339723971
"Youngstown State",0.000580774673779509
"Furman",0.000561143173359607
"Northern Arizona",0.000553667210674227
"Liberty",0.000553666593483033
"Georgia Southern",0.000546757728693188
"Southern Illinois",0.000514371220718834
"Tennessee Tech",0.000492945039648597
"Texas State",0.000468643363406874
"Texas Southern",0.000465686120030517
"Richmond",0.000462668620573494
"Rhode Island",0.000458183876950262
"Arkansas-Pine Bluff",0.000446711566043584
"Indiana State",0.000443663285573129
"Montana State",0.000443591692425008
"James Madison",0.000443097324391784
"Eastern Washington",0.000441015017890717
"Tennessee-Martin",0.000423086155243462
"Wofford",0.000417661098061501
"Sam Houston State",0.000417140537001355
"William & Mary",0.000416007650792088
"Cal Poly",0.000403095470194676
"Maine",0.000401860464478167
"Central Arkansas",0.000370489609312446
"Northeastern",0.000360614366205981
"California-Davis",0.000355527430096274
"Jacksonville State",0.000350316525850867
"Howard",0.000348583000403801
"Southeast Missouri State",0.000338439915596265
"Weber State",0.000324916774375093
